mutation	kind	valid_mutation	corpus	target_observable	operation	expected	minimal_witness
M01-cross-kind-id-capture	negative	true	C06-cross-family-id-collisions	typed-reference-graph	retarget destination-use from destination-node to clip-path sharing source label	Violated	destination edge resolves to incompatible clip-path kind instead of its homologous node
M02-defs-reorder	metamorphic	false	all-six-corpora	determinism-reordering	reverse definitions and traversal order without changing typed edges or payloads	Preserved	canonical typed graph geometry RGBA and verdict vector retain the same digest
M03-pending-local-reference	negative	true	C01-tiling-clip-link	typed-reference-graph	remove the sole compatible destination node while retaining its local href edge	Violated	one required destination edge is pending in the page-local graph
M04-transform-zero	negative	true	C03-glyph-link-transform	page-space-transform	omit the nested ancestor rotation	Violated	asymmetric glyph contour landmark occupies the unrotated rather than declared page-space quadrant
M05-transform-double	negative	true	C03-glyph-link-transform	page-space-transform	apply the nested ancestor rotation twice	Violated	asymmetric glyph contour landmark and bounds match doubled rotation
M06-fill-stroke-swap	negative	true	C04-embedded-svg-tiling-stroke	visible-paint-role	exchange complex stroke and fill roles	Violated	round cap bevel join and dash gaps disappear into an opaque filled region
M07-alpha-removed	negative	true	C02-paint-image-cover	visible-alpha	force translucent gradient alpha from 0.5 to 1.0	Violated	transparent-background RGBA landmark becomes opaque while RGB carrier remains
M08-clip-wrong-space	negative	true	C02-paint-image-cover	page-space-clip	rebase cover clip through the ancestor translation a second time	Violated	inside landmark disappears and an intended overflow landmark becomes visible
M09-font-by-index	negative	true	C03-glyph-link-transform	font-identity	resolve glyph_id 37 from collection index zero instead of complete FontKey Beta	Violated	hollow Alpha triangle replaces the Beta solid-circle contour after font order reversal
M10-raster-image-omitted	negative	true	C05-two-page-locality	visible-raster	omit the finite clipped raster resource and its visible use	Violated	required green raster landmark is absent inside the valid clip
M11-embedded-svg-omitted	negative	true	C04-embedded-svg-tiling-stroke	visible-embedded-svg	omit the self-contained nested SVG resource and use	Violated	red rectangle blue translucent circle and text landmark all disappear
M12-unknown-promoted	negative	true	G01-unknown-policy	verdict-vector	change predeclared cross-page-without-route verdict from Unknown to Preserved	Violated	opaque component enters positive count without route authority or observable edge
M13-alpha-rename	metamorphic	false	C06-cross-family-id-collisions	typed-reference-graph	bijectively rename all local IDs and references while preserving semantic kinds	Preserved	canonical typed graph and visible witnesses retain the same digest
