fixture_id	numeric	raster	direct_mismatches	direct_max_u8	contradiction_class	direct_sample_status	failing_axes	causal_status
regression-linear-linear-rgb-alpha-first-square-fill	pass	pass	2	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NONE	NO-BLOCKING-FAILURE
regression-linear-linear-rgb-alpha-last-tall-fill	fail	fail	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-linear-rgb-alpha-mid-wide-stroke	fail	fail	2	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-linear-rgb-base-square-fill	pass	fail	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-linear-linear-rgb-coincident-tall-fill	pass	fail	1	209	FIXTURE-EXPANSION	OUT-OF-BUDGET	DIRECT+RASTER	L1-SAMPLE;RASTER-UNRESOLVED
regression-linear-linear-rgb-two-wide-stroke	fail	fail	0	0	FIXTURE-EXPANSION	EXACT	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-oklab-alpha-first-square-fill	fail	pass	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC	SVG-NUMERIC-UNRESOLVED
regression-linear-oklab-alpha-last-tall-fill	fail	fail	0	0	FIXTURE-EXPANSION	EXACT	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-oklab-alpha-mid-wide-stroke	fail	fail	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-oklab-base-square-fill	fail	fail	0	0	FIXTURE-EXPANSION	EXACT	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-oklab-coincident-tall-fill	fail	fail	1	209	FIXTURE-EXPANSION	OUT-OF-BUDGET	DIRECT+NUMERIC+RASTER	L1-SAMPLE;SVG-OR-RASTER-UNRESOLVED
regression-linear-oklab-two-wide-stroke	fail	fail	0	0	FIXTURE-EXPANSION	EXACT	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-linear-srgb-alpha-first-square-fill	pass	pass	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NONE	NO-BLOCKING-FAILURE
regression-linear-srgb-alpha-last-tall-fill	pass	fail	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-linear-srgb-alpha-mid-wide-stroke	pass	fail	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-linear-srgb-base-square-fill	pass	fail	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-linear-srgb-coincident-tall-fill	pass	fail	7	209	FIXTURE-EXPANSION	OUT-OF-BUDGET	DIRECT+RASTER	L1-SAMPLE;RASTER-UNRESOLVED
regression-linear-srgb-two-wide-stroke	pass	fail	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-radial-hsv-alpha-first-square-fill	fail	pass	2	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC	SVG-NUMERIC-UNRESOLVED
regression-radial-hsv-alpha-last-tall-fill	fail	pass	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC	SVG-NUMERIC-UNRESOLVED
regression-radial-hsv-alpha-mid-wide-stroke	fail	fail	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC+RASTER	SVG-OR-RASTER-UNRESOLVED
regression-radial-hsv-base-square-fill	fail	pass	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NUMERIC	SVG-NUMERIC-UNRESOLVED
regression-radial-hsv-coincident-tall-fill	fail	pass	3	209	FIXTURE-EXPANSION	OUT-OF-BUDGET	DIRECT+NUMERIC	L1-SAMPLE;SVG-NUMERIC-UNRESOLVED
regression-radial-hsv-two-wide-stroke	pass	fail	2	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-radial-srgb-alpha-first-square-fill	pass	pass	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NONE	NO-BLOCKING-FAILURE
regression-radial-srgb-alpha-last-tall-fill	pass	pass	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NONE	NO-BLOCKING-FAILURE
regression-radial-srgb-alpha-mid-wide-stroke	pass	fail	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
regression-radial-srgb-base-square-fill	pass	pass	4	1	FIXTURE-EXPANSION	WITHIN-BUDGET	NONE	NO-BLOCKING-FAILURE
regression-radial-srgb-coincident-tall-fill	pass	pass	7	209	FIXTURE-EXPANSION	OUT-OF-BUDGET	DIRECT	L1-SAMPLE
regression-radial-srgb-two-wide-stroke	pass	fail	1	1	FIXTURE-EXPANSION	WITHIN-BUDGET	RASTER	RASTER-UNRESOLVED
