gate	population_or_command	result	artifact	sha256
C1-contract-repair	non-dyadic Oklab probe control	PASS byte-identical; 40 lines including header	/tmp/p1271-p1266.tsv	2cec35c38a9547a89d7302bced839b11ea457c2b3c86b513103dd86d3872d7c1
P1271-focused	cargo test -p typst-core p1271_ --offline	PASS; 4 tests	01_core owners	n/a
P1270-causal	24 fixtures;28 frozen failed metrics;8 counterfactual variants	all 196 serialized/control rows Preserved; raw diagnostic 20 Preserved/8 Violated	/tmp/p1270-causal/p1270-counterfactuals.tsv	e7aca4c2937e450e00b0cdfc8d3bcfc2ba82e8e03400851fadbff83483faa4dd
P1266-generalization	96 fixtures;4 independent pairs	graph 96/96;numeric 96/96;raster 96/96;determinism 192/192;mutants 24/24 rejected	/tmp/p1271-p1266.lR88Lo/p1266-summary.json	7f86cbcc184067827ffc2753671bc22348e2bdc541db992cba1e193ef0f19117
P1266-classification	96 fixtures	40 Preserved;56 Violated only by cost/validity;four Unknown-generalization;zero productive promotion	/tmp/p1271-p1266.lR88Lo/p1266-pairs.tsv	46600031ceb78099467133b7687dd27d3b127309c3bb0a585365e29b00675fa6
P1234-repeat	15 fixtures;30 probes;two executions	PASS byte-identical;public_divergences=0	/tmp/p1271-p1234.840kFq/summary.json	1240006fabb97b9e904c5af7f3320c1b9035f381e35c1b149bf586a3cc95a77c
P1236-repeat	6 fixtures;42 pairs;two executions	PASS byte-identical;luma_max=0;unknown=0	/tmp/p1271-p1236.wz268I/summary.json	ea14d76b78b7455f920112842c6d5cf272fa67c5b46a24147c51d4557cf1fb78
P1237-frozen-recompute	24 fixtures;4 pairs	PASS; frozen pre-correction classification reproduced	/tmp/p1271-p1237.pQA3L3/summary.json	3fa9ed98deecdc4152a1e9b43e59928a14086d8425b4df33a830bae8db44dd9d
P1264-consolidation	24 fixtures;4 pair-local gates	PASS; four Preserved-fragment;7/7 integration mutants rejected;no promotion	/tmp/p1271-p1264.cHQDHQ/p1264-summary.json	f2955ad649543b895da928975f577b0b2faa5e3ca306ff41cc97ed3fdce7a574
workspace-tests	cargo test --workspace --offline	PASS on clean rerun; initial run had one watcher timeout and isolated rerun passed	workspace	n/a
workspace-build	cargo build --workspace --offline	PASS	workspace	n/a
format	cargo fmt --all -- --check	PASS	workspace	n/a
diff-check	git diff --check	PASS	workspace	n/a
tekt-focus	crystalline-lint --checks v1,v5,v15,v26 .	PASS; zero violations	workspace	n/a
tekt-full	crystalline-lint .	PASS; zero violations; informational V16-V20 remain	workspace	n/a
