pair	scenario	system	argv	binary_sha256	exit_status	stdout_sha256	stderr_sha256
linear/hsl	alpha-first	candidate	"[""target/debug/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	1ca120604797e49d79ed37770c082ef9859a78830b6374dfe765e6a1b4dfb2a0	0	bf9f85619c6d97400743971ced641d98020cc8ffce236b1e12badc1d0044290b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	alpha-first	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	f28f3b236373639a4b4b9acc585d2de4fd265aa69bbec912e2f6850a0d41810f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	alpha-last	candidate	"[""target/debug/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	1ca120604797e49d79ed37770c082ef9859a78830b6374dfe765e6a1b4dfb2a0	0	f235b28efc43301503d41505759f35f185ff1fc53c6dfc911cb286a26f1bdbb8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	alpha-last	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	1c077ac59d2fceab9e6c2a0c172b35d4619c63d6f5119f8a74f666fac95d4e2d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	low-chroma	candidate	"[""target/debug/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(128,128,128),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	1ca120604797e49d79ed37770c082ef9859a78830b6374dfe765e6a1b4dfb2a0	0	2372c95588179eb3907005cd747eb5c6df69a37c058ec8c3e17560002328a121	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	low-chroma	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(128,128,128),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	2e9b3c0a44b82af401b673c92de0c408c2135e4dc8bfc9b4081a682cdb3ad3a5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	no-wrap	candidate	"[""target/debug/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,128,0),0%),(rgb(0,255,128),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	1ca120604797e49d79ed37770c082ef9859a78830b6374dfe765e6a1b4dfb2a0	0	a72b1a790526219134eb2b8c6a00d413c73eaf945977418dcd2de2008407662f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	no-wrap	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,128,0),0%),(rgb(0,255,128),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	a72b1a790526219134eb2b8c6a00d413c73eaf945977418dcd2de2008407662f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	seam-forward	candidate	"[""target/debug/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	1ca120604797e49d79ed37770c082ef9859a78830b6374dfe765e6a1b4dfb2a0	0	ccac7828390b8bf533a5fb4884616b8feb2da236dea3aad9233917b601698c78	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
linear/hsl	seam-forward	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""let norm = x => if type(x) == ratio { x / 100% } else if type(x) == angle { x / 1deg } else { x }; let g = gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg); (0.000000000000%,0.000100000000%,25.000000000000%,50.000000000000%,75.000000000000%,99.999900000000%,100.000000000000%).map(t => g.sample(t).components(alpha:true).map(norm))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	be58c8d58944e526ca50f31e98854993b0f7b1fe19b01cfdc8740ba001635960	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
