id	fixture_or_domain	classification	observable	acceptance	unknown_or_gap_policy	source_basis
C00	all fixtures	contract-policy	verdict vocabulary	Each observation returns exactly PASS, FAIL, Unknown, or CONTRACT-GAP; only PASS contributes to a positive claim; FAIL rejects the candidate; Unknown and CONTRACT-GAP never pass implicitly.	Unknown is reserved for a representable input whose observation cannot be resolved by the probe, parser, renderer, environment, or fixed budget. CONTRACT-GAP is reserved for information absent from the current public model or explicitly scoped out/rejected by its L0. Neither may be coerced to solid-color equivalence.	typst-passo-1243.md; ADR-0107; ADR-0108
C01	TilingBody::Color; explicit finite nonzero size; zero spacing; relative=self	language-morphology	paint-server graph and reference	The painted role references a locally resolved SVG pattern; the reference graph has no dangling edge and reaches a tile containing the requested solid color. IDs, definition order, XML spelling, and byte equality are non-observable.	Missing or unparsable graph is Unknown. A solid fill/stroke with no pattern is FAIL, including when its color matches the body.	export/svg L0 P1227; vanilla paint.rs write_fill/push_tiling/write_tilings
C02	same as C01	language-morphology	pattern coordinate system	The effective pattern uses user-space coordinates; equivalent SVG encodings are accepted when rendering establishes the same user-space grid.	If coordinate semantics cannot be derived from SVG or bounded rendering, Unknown; object-bounding-box behavior is FAIL.	vanilla paint.rs write_tilings
C03	color; explicit size=(sx,sy); spacing=(gx,gy)	language-morphology	tile pitch	The effective horizontal and vertical repetition periods are sx+gx and sy+gy respectively; sx,sy are positive finite, gx,gy finite, and asymmetric axes must remain distinguishable. Attribute equality is evidence, not the obligation.	If periodicity is occluded by a uniform-color tile, use a boundary-bearing color fixture; if the current public body cannot express that boundary, record CONTRACT-GAP for visual pitch and retain structural graph measurement as Unknown, never PASS.	entities/tiling L0 size+spacing; vanilla tiling.rs; vanilla paint.rs
C04	color; explicit size; nonzero spacing	language-morphology	cell extent versus pitch	The painted tile occupies the declared size while repetition advances by size+spacing, so positive spacing yields a gap and spacing below a body extent may overlap when such morphology is representable.	A flat color body cannot distinguish cell extent from pitch visually: visual gap/overlap is CONTRACT-GAP for that fixture; do not infer it from successful construction alone.	vanilla tiling.rs spacing docs; tiling-stdlib L0
C05	color; explicit asymmetric size and spacing	language-morphology	view box / tile viewport	The tile viewport maps the repeat cell without swapping axes, clipping the declared cell unexpectedly, or stretching the body contrary to the tile morphology. Exact presence or spelling of viewBox is mechanical.	If the color-only body supplies no internal landmark, viewport mapping is Unknown; it cannot become PASS from width/height attributes alone.	vanilla paint.rs write_tilings; ADR-0107
C06	color; explicit size; relative=self; two painted boxes of different origin/extent	language-semantics	bounding-box anchoring and phase	Each usage is anchored to the element it paints: translating or resizing one box does not force it to share the other box's phase. Compare rendered phase at matched local coordinates, not IDs or transforms.	If uniform color makes phase unobservable, Unknown. If the current model cannot provide a phase landmark, CONTRACT-GAP for the fixture; no fabricated landmark/API is allowed.	entities/tiling L0 relative; vanilla tiling.rs relative docs
C07	color; explicit size; relative=parent; two sibling painted boxes under one parent	language-semantics	parent-relative continuity	At matched parent coordinates the pattern phase is continuous across siblings, independent of their local origins; a control with relative=self must remain distinguishable when morphology permits.	If parent identity/geometry does not reach the observable pipeline, CONTRACT-GAP. If it is present but the probe cannot isolate phase, Unknown.	entities/tiling L0; vanilla tiling.rs unwrap_relative/docs
C08	color with non-unit alpha; explicit size	language-morphology	alpha	The repeated tile preserves the body's alpha independently of its RGB and of the element's geometry; compositing over two known backgrounds must agree within the renderer's declared quantization tolerance.	If alpha cannot be extracted or rendered under the fixed probe, Unknown. Replacing translucent color by opaque RGB is FAIL.	export/svg L0 P1227; ADR-0107
C09	color; explicit size; role=fill	language-morphology	fill role	Only fill references the tiling pattern; stroke remains the declared control paint or absent. A fallback diagnostic on fill means Unknown, not preserved tiling.	Unresolved role or fallback marker is Unknown; attaching the pattern solely to stroke is FAIL.	export/svg L0 P1227
C10	color; explicit size; role=stroke	language-morphology	stroke role	Only stroke references the tiling pattern and fill remains the declared control paint or absent; the stroke's visible repeated paint is preserved along its geometry.	If the current public pipeline cannot transport tiling as stroke, CONTRACT-GAP. A fallback diagnostic on stroke is Unknown; boolean "some url exists" is insufficient.	typst-passo-1243.md; export/svg L0 P1227
C11	color; explicit size; element transform plus tiling defaults	language-morphology	transform application count	The item transform affects the painted geometry and its pattern exactly once; the default absent offset and angle introduce no additional phase shift or rotation. Matrix spelling/order is not itself the observable.	If a phase landmark is unavailable, Unknown. Offset or angle beyond their implicit zero defaults is CONTRACT-GAP because the public crystalline model has no such fields.	entities/tiling L0; tiling-stdlib L0; vanilla tiling.rs transform; vanilla paint.rs push_tiling
C12	color; size=auto/None	contract-boundary	resolved tile size	No parity claim is admitted unless a finite nonzero tile size can be derived from body morphology already represented by the public model.	For a flat color body, intrinsic geometry is absent: CONTRACT-GAP. Compiler success, arbitrary unit size, painted bbox, or generic fallback cannot promote it.	entities/tiling L0 None=auto; vanilla tiling.rs layout/frame size checks
C13	TilingBody::Image	contract-boundary	image tile morphology	Image tiling may be tested only if existing public data supplies decodable image content, intrinsic or explicit tile geometry, and the exporter exposes a resolved repeated image graph without invented fields.	The current L0 marks the real Image consumer scope-out and fallback black; therefore any missing geometry/content path is CONTRACT-GAP. A black/color pattern or successful constructor is not equivalence.	entities/tiling L0 sections 3-5; tiling-stdlib L0
C14	TilingBody::Gradient	contract-boundary	gradient tile morphology	Gradient tiling may be tested only if the existing constructor accepts it and the body retains the gradient server inside each repeated cell with its role and alpha.	The current constructor L0 rejects gradient and the entity calls it placeholder/scope-out: CONTRACT-GAP. A first-stop color pattern or compilation success is not equivalence.	entities/tiling L0; tiling-stdlib L0
C15	arbitrary Content body	contract-boundary	arbitrary cell content	No claim is made because arbitrary content/frame morphology is not representable by the current TilingBody enum.	Always CONTRACT-GAP until a separately authorized public-contract change exists; P1243 must not create one.	vanilla tiling.rs body Content; typst-passo-1243.md
C16	nonzero offset or angle	contract-boundary	grid displacement and rotation	No claim is made beyond verifying that absent fields mean zero displacement and zero angle in C11.	Always CONTRACT-GAP for nonzero values because current public entities/constructor expose neither field; do not encode them indirectly in size, spacing, relative, body, or item transform.	typst-passo-1243.md; entities/tiling L0; vanilla tiling.rs
C17	all representable fixtures	language-morphology	repetition and coverage	Within the painted geometry, the pattern repeats to cover fill or stroke rather than rendering one tile only; outside the painted geometry it does not create new painted area. Test with a body/edge landmark only when representable.	Uniform body with no edge landmark makes repetition count Unknown; lack of representable landmark is CONTRACT-GAP. Do not use exact element counts as the obligation.	vanilla tiling.rs docs; ADR-0107
C18	all fixtures	mechanics-excluded	non-observables	No rejection or promotion may depend solely on XML bytes, exact IDs, defs order, use of href versus duplication, exact transform text, internal dedup key, Rust equality, or number of render passes.	If these are the only available comparisons, verdict is Unknown, not PASS or FAIL.	ADR-0107; ADR-0108; vanilla paint.rs comments
C19	all fixtures	contract-policy	fallback and diagnostics	A data-crystalline-fill-fallback or data-crystalline-stroke-fallback annotation classifies the affected role as Unknown; an unannotated solid-color reduction of an eligible color tiling is FAIL because the server morphology disappeared.	For Image, Gradient, arbitrary Content, nonzero angle/offset, auto color size, or unavailable parent anchoring, use CONTRACT-GAP when the cause is absent public information; use Unknown only when the information exists but observation is inconclusive.	export/svg L0 P1227; typst-passo-1243.md
C20	all fixtures	contract-policy	constructor evidence	Construction success/failure is only an eligibility observation and cannot by itself establish SVG equivalence. Eligibility requires body variant, size, spacing and relative to be recoverable from the existing public value.	Opaque values, parser omissions, or unsupported probe syntax are Unknown; explicitly rejected/scope-out variants are CONTRACT-GAP.	tiling-stdlib L0; ADR-0108
