gate	command_or_basis	population	result	artifact_or_identity
protected-input-audit	sha256sum P1268 preseal/contract/observables/Unknown/budgets/cost/coincidence/degenerates/attacks/opaque plus P1266 matrix/harness and vanilla	15 protected identities	PASS;all match frozen P1269/P1268 identities	p1272-input-manifest.tsv
candidate-build	cargo build --workspace --offline	workspace	PASS;candidate sha256 f152d0dead810054996bdc8e1450022746b7dd2405d73d3237baa024297ae555	target/debug/typst
probe-build	cargo build --manifest-path lab/parity/matrix/p1266_probe/Cargo.toml --offline	probe	PASS;final source a01ed3a4830cbe56eaa8079738146f4c57f66d9830853e1a9e3d7a1d5eef87e1;binary 5a52332be8048ecef1ffaba1f6a2b4bc56cdfd57478fa613c05a298e7002b827	lab/parity/matrix/p1266_probe
first-envelope-invalidated	p1266_generalize.py then p1269-adjudicator.py	96 fixtures	DISCARDED after probe source formatting changed protected-input bytes	No certificate uses first run
final-envelope	python3 lab/parity/matrix/p1266_generalize.py with frozen P1266 inputs and final probe	96 valid;24 per pair	graph/numeric/raster 96/96;invalid 28/28;determinism 192/192;raw old global-cap status excluded	p1272-raw-summary.json
v2-adjudication	python3 00_nucleo/diagnosticos/p1269-adjudicator.py --controls-status Preserved	G01-G13 x 96	96/96 conjunction;384/384 numeric metrics;1224/1224 interval receipts	p1272-fixture-gates.tsv;p1272-numeric.tsv;p1272-interval-cost.tsv
declared-stops	P1268 G04A/G04B	96 fixtures	96/96 original stops/order/multiplicity;180/180 coincidence/right-continuity witnesses	p1272-public-stops.tsv;p1272-coincidence.tsv
degenerates	P1268 G06/G07A/G07B	S20/S21 x 4 pairs	S20 stroke positive support 1920 pixels each;S21 fill zero support;all Preserved	p1272-raster.tsv
interval-cost	per-original-interval formula	1224 intervals	M=1320;R=848;E=11188;sum_a_i=9868;max s_i=64,a_i=31,d_i=63,b_i=62,q_i=125	p1272-interval-cost.tsv
attacks	P1268 materialized adversary suite	24 valid negatives plus 1 positive control	24/24 rejected;mutation_score=1.0;positive control Preserved	p1272-mutants.tsv
opacity	P1268 explicit opaque suite	10 cases	10/10 ExplicitOpacity;0 count as success	p1272-opaque.tsv
product-boundary	current product SVG output	96 fixtures	96/96 fallback preserved;zero promotion	p1272-product-boundary.tsv
historical-controls	P1271 receipts plus byte-identical current candidate and unchanged frozen artifacts	P1234;P1236;P1237;P1264;sRGB	Preserved-by-identity;temporary source directories unavailable for a fresh corpus run	p1272-controls.tsv
focused-tests	cargo test -p typst-core p1271_ --offline	4 tests	PASS;4/4	workspace
workspace-tests	cargo test --workspace --offline	workspace	PASS;zero failed;3 doc tests ignored	workspace
workspace-build	cargo build --workspace --offline	workspace	PASS	workspace
format	cargo fmt --all -- --check;cargo fmt --manifest-path lab/parity/matrix/p1266_probe/Cargo.toml -- --check	workspace plus probe	PASS	workspace
python-syntax	python3 -m py_compile p1266_generalize.py p1269-adjudicator.py p1268-adversary-attack-runner.py	3 diagnostic runners	PASS	workspace
diff-check	git diff --check	working tree	PASS	workspace
tekt-focus	crystalline-lint --checks v1,v5,v15,v26 .	repository	PASS;zero violations	repository
tekt-full	crystalline-lint .	repository	PASS;zero violations;informational V16-V20 only	repository
