historical_preflight_gate	required_at_initial_attempt	observed_at_initial_attempt	archival_verdict
P1240-verdict	PRESEAL_SEALED	PRESEAL_REJECTED	FAIL
P1240-mutation-score	1.0	7/10	FAIL
P1240-raster-controls	executed and stable at 1x/2x/4x	not executed	FAIL
P1240-transform-mutants	all rejected	ancestral transform composition survived	FAIL
P1240-mask-stroke-mutants	all rejected	stroke/mask coverage survived	FAIL
P1240-access-audit	complete	incomplete	FAIL
P1240-canonical-receipt	present and hash-verifiable	absent; report cites 133b087a... but no p1240 TSV exists	FAIL
P1241-contract-freeze	allowed only after predecessor controls pass	not started	BLOCKED
P1241-multispace-campaign	closed universe reexecuted	not executed	BLOCKED
P1241-final-gates	P1229-P1241 SVG gradient build fmt lint DSM	not executed because causal precondition failed	BLOCKED
whitelist	preserve last proven state	no write	PASS
parity-map	update only from segregated verdict	no write	PASS
implementation-queue	update only from segregated verdict	no write	PASS
