fixture_id	probe_slot	system	argv	declared_reads	fixture_sha256	binary_sha256	exit_status	stdout_sha256
candidate-linear-luma-alpha-first-square-fill	endpoint_first	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(0.000000000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;/usr/local/bin/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-first-square-fill	endpoint_first	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(0.000000000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;target/debug/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	6d022a113e1a3a61e7c775d4af151c83770c58bf9ecadd2e946d7927627961bd
candidate-linear-luma-alpha-first-square-fill	epsilon_after_first	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(0.000100000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;/usr/local/bin/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	9987b36ed7c95123ef11add086f2f11ed54dfb3b85b4775bf654aac2aa965991
candidate-linear-luma-alpha-first-square-fill	epsilon_after_first	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(0.000100000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;target/debug/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	6d022a113e1a3a61e7c775d4af151c83770c58bf9ecadd2e946d7927627961bd
candidate-linear-luma-alpha-first-square-fill	epsilon_before_mid	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(36.999900000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;/usr/local/bin/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_before_mid	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(36.999900000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;target/debug/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	endpoint_mid	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(37.000000000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;/usr/local/bin/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	endpoint_mid	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(37.000000000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;target/debug/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_after_mid	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(37.000100000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;/usr/local/bin/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
candidate-linear-luma-alpha-first-square-fill	epsilon_after_mid	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((red.transparentize(60%),0%),(green,37%),(blue,100%),space:color.luma,angle:0deg)).sample(37.000100000000%).components(alpha:true))""]"	/tmp/p1231-isolation/oracles/fixtures/candidate-linear-luma-alpha-first-square-fill.typ;target/debug/typst	fa40dfbfdd0b5748c99d9d6ee98e413da31d034cdc0ece306bdeacd914153bd7	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	da96377bee7848cabef8a3fd47ff683cc690562cb7c7b4bc5486e81af7dbc3b7
