key	value
verdict	ACCEPTED_DIAGNOSTIC
execution	EXECUTADO SEM ATESTAÇÃO DE ISOLAMENTO
head	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
timestamp	2026-08-27T21:58:24-03:00
working_tree	exact snapshot in p1234-execution-provenance.txt;sha256=57bfcda15393d7e7b184180fa352ae9f20f323a71cd5121e4bbcdceb7c43ea26
fixtures	15
probes	30
boundary_rows	630
l1_causes	0
l3_causes	0
unknown_causes	30
public_divergences	0
mutation_score	NOT_APPLICABLE;synthetic traces removed
execution_checks	5/5 enforced;not mutation testing
determinism	PASS; two executions byte-identical
boundaries_sha256	f5ad989f3dd4c1630748125dcf53302763e7ade1de1a5b89a5571610fea96818
owners_sha256	b42bd2d7da94e07b0c6083e3c5facbdd40f9a033095950d7d2ca9ce309a36a9d
clusters_sha256	7a2ee7f422cf48b2a7a947e471d14b27da8437397eeda67bfda64a00bef0084b
commands_sha256	006074b352e6f68550e7ce21b7a95a5822914dd0431fcb514692b433a71128c3
attacks_sha256	2b100c167f4fe6c0b5ecf4de1830f7ea4a53a5c03f806ee206e1f04d6d7e5789
scope	Only P1233 failing fixtures and B01-B07;all causal owners Unknown;no general equivalence claim
