id	obligation	verdict_rule
R01	Viewport derives only from declared SVG graph and geometry	Raster/color/error-derived crop is Violated
R02	Compose every ancestor transform in SVG order	Dropping or reordering an ancestor is Violated
R03	Painted bbox includes declared stroke width under transform	Ignoring stroke expansion is Violated
R04	Mask geometry is complete and intersects painted geometry	Ignoring or alpha-cropping mask is Violated
R05	Broken mask/use or unsupported painted geometry	Unknown, never Preserved
R06	External translation, IDs and defs order are not observable	Equivalent local rasters must match
R07	Linear, Radial and pattern controls are stable at 1x/2x/4x	Every scale and normal/reverse traversal must match
R08	No erosion, resize, fitting or opportunistic alignment	Any such normalization is Violated
R09	Receipt declares the requested SVG inputs and pinned renderer	This is input provenance, not a syscall access audit
R10	Raster verdict is fragment-local	Passing controls does not promote an SVG color-space pair
ATTACKS	No executable mutation suite in this sanitation	No mutation score or Tekt seal may be claimed
