id	scope	class	input	observable	Preserved	Violated	Unknown	owner
C01	exporter context	architecture	construction and reuse of SvgDestinationContext	immutability and page-local authority	The context is immutable for one exported page, contains only destination facts supplied for that page, and is consumed without layout, filesystem access, routing policy, or mutation during traversal.	The exporter invents or mutates destination facts, consults external state, performs layout, or admits entries belonging to a different page.	The supplied context provenance or page identity cannot be established, so no claim based on it is made.	infra/export/svg
C02	legacy wrappers	compatibility	export_svg or export_svg_with_fonts called without explicit destination context	compatibility with an empty internal-destination context	Each legacy wrapper behaves as its corresponding explicit-context variant with an empty destination context; external URLs, visual children, transforms, and clickable geometry retain their prior semantics.	A wrapper fabricates destinations, changes URL behavior or visible/clickable morphology, or diverges from the empty-context variant for reasons attributable to destination handling.	An internal destination remains unresolved under the empty context and is classified Unknown without a fragment href; this is not preservation of that internal edge.	infra/export/svg
C03	same-page registry	architecture	pipeline has a selected page plus extracted_label_pages and extracted_label_positions	membership of the injected context	The pipeline includes a label exactly when its recorded page is the selected page and a finite representable homologous position exists; no entry from another page is included.	The context includes cross-page labels, includes a label without its measured position, pairs a label with another label's position, or omits a complete same-page destination.	An absent, ambiguous, nonfinite, or unrepresentable page/position association is excluded and remains Unknown rather than synthesized.	infra/pipeline
C04	pipeline phase boundary	architecture	page-local context derivation after PagedDocument layout	unchanged pipeline ownership	The pipeline derives the context from the completed PagedDocument, selects the exported page, and passes immutable data to the explicit exporter variant without moving maps into Page, creating FrameItems, repeating layout, or deciding ID spelling.	Destination handling changes the public Page/FrameItem model, repeats evaluation/layout, or delegates page filtering back to an exporter that lacks document page authority.	If the selected page or homologous destination position is unavailable, the affected destination is omitted as Unknown.	infra/pipeline
C05	local destination identity	semantic graph	two or more distinct same-page labels, including labels with equal positions	identity allocation and collision freedom	Every distinct label that is admitted to the context receives one deterministic local identity; equal labels reuse that identity and distinct labels never collide even when their positions are equal.	Identity depends on traversal accident, rendered text, address, unstable bytes, or position alone; repeated input changes identities; or distinct labels alias one node.	If label identity is opaque or ambiguous, the affected destination is not admitted and no href or node is emitted for it.	infra/export/svg
C06	destination node	language morphology	a representable same-page label and measured position in context	local link target node	Exactly one local node carrying the label's assigned identity is emitted at the measured page-local position; renaming the identity or changing equivalent SVG element spelling is mechanical.	The node is absent, duplicated with conflicting identity, placed at a fabricated/different position, or transformed in a basis different from the measured page-local basis.	An absent, nonfinite, or unrepresentable position yields no invented node and an explicit Unknown disposition for dependent edges.	infra/export/svg
C07	closed internal edge	semantic graph	LinkTarget::Destination(label) whose label has a valid same-page context entry	resolved owner-to-target edge	The link wrapper references the single local identity assigned to that label and exactly one corresponding destination node resolves in the same SVG semantic graph.	The href is dangling, resolves to zero or multiple nodes, resolves to another label or position, bypasses the node, or claims preservation without a closed edge.	If unique local resolution cannot be established, children remain and the internal link is Unknown with no fragment href.	infra/export/svg
C08	missing destination	contract policy	LinkTarget::Destination(label) absent from the page-local context	absence of false internal-link promotion	No fragment href and no fabricated destination node or position are emitted; the wrapper's visual/clickable content is retained and the edge is classified Unknown.	A fragment href is emitted, the label is silently redirected, a position is invented, children are dropped, or the edge is called Preserved.	The required outcome is Unknown; downstream visual resemblance or an empty anchor element cannot promote it.	infra/export/svg
C09	cross-page destination	ownership and routing	LinkTarget::Destination(label) recorded on another page and no explicit caller route exists	absence of invented cross-page routing	The label is excluded from the page-local context; no local fragment, filename, bundle path, URI, or false destination node is invented, while link children remain and the edge is Unknown.	The exporter turns the label into a local fragment, guesses a page filename or route, emits a dangling href, or claims the cross-page edge is preserved.	Cross-page routing remains Unknown until a caller with an explicit route contract supplies it; same-position coincidence across pages is not evidence.	pipeline plus caller policy
C10	external URL	language semantics	LinkTarget::Url carrying a representable URL string	URL destination and clickable wrapper	The semantic URL is preserved independently of internal-destination context, including under an empty context; XML escaping and href versus xlink:href spelling are mechanical when the resolved URL is unchanged.	Destination-context handling removes, rewrites, fragments, aliases, or conditionally suppresses the external URL, or points it to a local destination node.	If the URL carrier itself is outside the representable SVG attribute fragment, the exporter must not substitute an internal destination; no broader URL-equivalence claim is made.	infra/export/svg
