field	value
run	P1267-R2
frozen_at	2026-08-28T21:37:04-03:00
input_manifest	00_nucleo/diagnosticos/p1267r2-input-manifest.tsv sha256:a833d24c1e0e2a0ca08e8c61d6a22e984a07461d0bb79b6e3ed836502fe3ab90
author_contract	/tmp/p1267r2/author/contract-v2.tsv sha256:0ba5d409aa2784184c2604282abb85715e7c6edd00d151f07474c9fefaeb4ce8
author_delta	/tmp/p1267r2/author/delta.tsv sha256:0dd1a1513f709024ae1ab9fab95545d5489ddf437e835af586ec30af57787edc
author_unknown	/tmp/p1267r2/author/unknown-v2.tsv sha256:afee37521719a849d359f0c1caeab132de532319a3c1dfa74af539e3be3deb76
author_observables	/tmp/p1267r2/author/observables.tsv sha256:6690eeae86985c65f39d132dd43cb615c267815340dc1c180fbe03c4bc27bb2e
author_decisions	/tmp/p1267r2/author/decisions.tsv sha256:e3bff81420eaca854e3ae62ceb3a6c1ee3caf58d8b8138166bcf8cf3a1b97846
author_receipt	/tmp/p1267r2/author/receipt.tsv sha256:0e4330d62dbbf5dd964c1a41fcf44590e0277a654fb40ffc6275ea3d8cd1aa11
evidence_derivation	/tmp/p1267r2/evidence/derivation.tsv sha256:14601fbefb87b50bc69482ed8f62c1446842f32293ccf3ffe3afab0efb83fa5c
evidence_receipt	/tmp/p1267r2/evidence/receipt.tsv sha256:d7e5eb4212e34a3b6dcac6f77cc4ca9dbea43756402fa310105e90fd03affc89
mutation_after_freeze	Any byte change in the paths above invalidates the verifier phase.
verifier_write_scope	/tmp/p1267r2/verifier/* only;candidate and evidence paths read-only by protocol
