attack_id	kind	selector_json	before_json	operation_json	after_json	expected	clause	expected_witness	validity	mutation_score
A01-original-offset	negative	{"fixture_id":"S03-linear-oklab"}	{"fixture_id":"S03-linear-oklab","g04a_stops":[{"id":"g0","offset":0.0},{"id":"g1","offset":0.5},{"id":"g2","offset":1.0}]}	[{"op":"replace","path":"/g04a_stops/1/offset","before":0.5,"value":0.51}]	{"fixture_id":"S03-linear-oklab","g04a_stops":[{"id":"g0","offset":0.0},{"id":"g1","offset":0.51},{"id":"g2","offset":1.0}]}	Violated	G04A;O01	g1 semantic offset changed 0.5 -> 0.51	valid-negative	included
A02-original-color	negative	{"fixture_id":"S05-radial-linearrgb"}	{"fixture_id":"S05-radial-linearrgb","g04a_stops":[{"id":"g0","offset":0.0,"color":[1.0,0.0,0.0]},{"id":"g1","offset":1.0,"color":[0.0,0.0,1.0]}]}	[{"op":"replace","path":"/g04a_stops/0/color","before":[1.0,0.0,0.0],"value":[0.95,0.0,0.0]}]	{"fixture_id":"S05-radial-linearrgb","g04a_stops":[{"id":"g0","offset":0.0,"color":[0.95,0.0,0.0]},{"id":"g1","offset":1.0,"color":[0.0,0.0,1.0]}]}	Violated	G04A;O03	g0 encoded-sRGB color changed while semantic offset and identity remain fixed	valid-negative	included
A03-original-alpha	negative	{"fixture_id":"S12-linear-oklab"}	{"fixture_id":"S12-linear-oklab","g04a_stops":[{"id":"g0","offset":0.0,"alpha":0.4},{"id":"g1","offset":1.0,"alpha":1.0}]}	[{"op":"replace","path":"/g04a_stops/0/alpha","before":0.4,"value":0.5}]	{"fixture_id":"S12-linear-oklab","g04a_stops":[{"id":"g0","offset":0.0,"alpha":0.5},{"id":"g1","offset":1.0,"alpha":1.0}]}	Violated	G04A;O03	g0 alpha changed 0.4 -> 0.5 independently of color	valid-negative	included
A04-swap-exact-epsilon	negative	{"fixture_id":"S08-linear-oklab"}	{"fixture_id":"S08-linear-oklab","coincidence":{"offset":0.5,"ordered_ids":["g1-first","g1-last"]},"probes":{"exact_internal":{"selected":"g1-first"},"epsilon_right":{"selected":"g1-last"}}}	[{"op":"replace","path":"/probes/exact_internal/selected","before":"g1-first","value":"g1-last"},{"op":"replace","path":"/probes/epsilon_right/selected","before":"g1-last","value":"g1-first"}]	{"fixture_id":"S08-linear-oklab","coincidence":{"offset":0.5,"ordered_ids":["g1-first","g1-last"]},"probes":{"exact_internal":{"selected":"g1-last"},"epsilon_right":{"selected":"g1-first"}}}	Violated	G04A;G04B;O02;O05	exact internal selects last and epsilon-right selects first, the inverse of the ratified structural branches	valid-negative	included
A05-epsilon-uses-exact	negative	{"fixture_id":"S09-radial-linearrgb"}	{"fixture_id":"S09-radial-linearrgb","coincidence":{"offset":0.75,"ordered_ids":["g2-first","g2-last"]},"probes":{"exact_internal":{"selected":"g2-first"},"epsilon_right":{"selected":"g2-last"}}}	[{"op":"replace","path":"/probes/epsilon_right/selected","before":"g2-last","value":"g2-first"}]	{"fixture_id":"S09-radial-linearrgb","coincidence":{"offset":0.75,"ordered_ids":["g2-first","g2-last"]},"probes":{"exact_internal":{"selected":"g2-first"},"epsilon_right":{"selected":"g2-first"}}}	Violated	G04B;O05	epsilon-right incorrectly reuses exact-point first coincident stop instead of last coincident stop	valid-negative	included
A06-adaptive-inside-envelope-control	positive-control	{"fixture_id":"S01-linear-oklab"}	{"fixture_id":"S01-linear-oklab","owner_interval":[0.0,0.5],"adaptive_stop":{"id":"a0","offset":0.25,"origin":"adaptive"},"metrics":{"color_max":0.0008,"color_limit":0.001001,"alpha_max":0.0,"alpha_limit":0.000001}}	[{"op":"replace","path":"/adaptive_stop/offset","before":0.25,"value":0.26},{"op":"replace","path":"/metrics/color_max","before":0.0008,"value":0.0009}]	{"fixture_id":"S01-linear-oklab","owner_interval":[0.0,0.5],"adaptive_stop":{"id":"a0","offset":0.26,"origin":"adaptive"},"metrics":{"color_max":0.0009,"color_limit":0.001001,"alpha_max":0.0,"alpha_limit":0.000001}}	Preserved	G04B;G05;O04;O05	adaptive carrier moved strictly inside owner interval while published color and alpha metrics remain under frozen limits	valid-positive-control	excluded
A07-adaptive-outside-budget	negative	{"fixture_id":"S01-linear-oklab"}	{"fixture_id":"S01-linear-oklab","owner_interval":[0.0,0.5],"adaptive_stop":{"id":"a0","offset":0.25,"origin":"adaptive"},"metrics":{"color_max":0.0008,"color_limit":0.001001,"color_p95":0.0005,"color_p95_limit":0.001001}}	[{"op":"replace","path":"/adaptive_stop/offset","before":0.25,"value":0.49},{"op":"replace","path":"/metrics/color_max","before":0.0008,"value":0.002},{"op":"replace","path":"/metrics/color_p95","before":0.0005,"value":0.0012}]	{"fixture_id":"S01-linear-oklab","owner_interval":[0.0,0.5],"adaptive_stop":{"id":"a0","offset":0.49,"origin":"adaptive"},"metrics":{"color_max":0.002,"color_limit":0.001001,"color_p95":0.0012,"color_p95_limit":0.001001}}	Violated	G04B;G05;O05	adaptive stop remains interval-local but color_max 0.002 > 0.001001 and color_p95 0.0012 > 0.001001	valid-negative	included
A08-drop-discontinuity	negative	{"fixture_id":"S08-radial-oklab"}	{"fixture_id":"S08-radial-oklab","g04a_stops":[{"id":"g0","offset":0.0},{"id":"g1-first","offset":0.5},{"id":"g1-last","offset":0.5},{"id":"g2","offset":1.0}]}	[{"op":"remove","path":"/g04a_stops/2","before":{"id":"g1-last","offset":0.5}}]	{"fixture_id":"S08-radial-oklab","g04a_stops":[{"id":"g0","offset":0.0},{"id":"g1-first","offset":0.5},{"id":"g2","offset":1.0}]}	Violated	G04A;G04B;O02	coincident multiplicity 2 -> 1 at offset 0.5 and right-hand branch origin disappears	valid-negative	included
A09-reorder-discontinuity	negative	{"fixture_id":"S08-linear-linearrgb"}	{"fixture_id":"S08-linear-linearrgb","g04a_stops":[{"id":"g0","offset":0.0},{"id":"g1-first","offset":0.5,"color":[1,0,0]},{"id":"g1-last","offset":0.5,"color":[0,0,1]},{"id":"g2","offset":1.0}]}	[{"op":"replace","path":"/g04a_stops","before":[{"id":"g0","offset":0.0},{"id":"g1-first","offset":0.5,"color":[1,0,0]},{"id":"g1-last","offset":0.5,"color":[0,0,1]},{"id":"g2","offset":1.0}],"value":[{"id":"g0","offset":0.0},{"id":"g1-last","offset":0.5,"color":[0,0,1]},{"id":"g1-first","offset":0.5,"color":[1,0,0]},{"id":"g2","offset":1.0}]}]	{"fixture_id":"S08-linear-linearrgb","g04a_stops":[{"id":"g0","offset":0.0},{"id":"g1-last","offset":0.5,"color":[0,0,1]},{"id":"g1-first","offset":0.5,"color":[1,0,0]},{"id":"g2","offset":1.0}]}	Violated	G04A;O02	ordered coincident colors reversed, changing exact and epsilon-right structural witnesses	valid-negative	included
A10-truncate-interval	negative	{"fixture_id":"S04-radial-oklab"}	{"fixture_id":"S04-radial-oklab","interval":{"id":"g2:g3","domain":[0.75,1.0],"covered":[0.75,1.0]},"terminal_stop":{"id":"g3","offset":1.0}}	[{"op":"replace","path":"/interval/covered/1","before":1.0,"value":0.875}]	{"fixture_id":"S04-radial-oklab","interval":{"id":"g2:g3","domain":[0.75,1.0],"covered":[0.75,0.875]},"terminal_stop":{"id":"g3","offset":1.0}}	Violated	G04B;O05	positive-width semantic domain [0.75,1.0] has uncovered tail (0.875,1.0)	valid-negative	included
