id	surface	vanilla_paths	crystalline_paths	state	observable	vanilla_evidence	crystalline_evidence	l0_owner	dependency	inference	what_would_refute	implementation_gate	next_step
html-global	html	typst_library::html::*	typst_core::compiler::stdlib::html::*	FEATURE-GATED	module and simple HTML target	/tmp/p1213-vanilla.html	/tmp/p1213-crystalline.html	compiler/stdlib/html.md	feature html	P1210 absence came from asymmetric feature invocation	a symmetric feature run that still rejects or changes the tree	none	fix harness classification only
export-svg	svg	typst_svg::*	typst_infra::export::svg::*	PARTIAL	semantic SVG tree	/tmp/p1213-svg.json	/tmp/p1213-svg.json	infra/export/svg.md	export SVG	both emit SVG but tree/geometry differ	normalized tree equality on broader corpus	continuous-parity	open SVG morphology cluster
export-png	raster	typst_render::*	typst_infra::export::render::*	PARTIAL	dimensions and RGBA pixels	/tmp/p1213-png.json	/tmp/p1213-png.json	infra/export/render.md	render pipeline	11 of 2005644 pixels differ by at most one channel unit on focal case	stable equality or accepted language-level tolerance with authority	continuous-parity	open raster refinement cluster after SVG
export-pdf	pdf	typst_pdf::*	typst_infra::export::*	PARTIAL	pages text geometry embedded font identity	/tmp/p1213-pdf.json	/tmp/p1213-pdf.json	infra/export.md	PDF exporter	text/page/box match; reported font family differs by Identity-H suffix	proof that family spelling is purely mechanical for declared observable	continuous-parity	adjudicate font identity before code
html-harness	html	typst_html::*	typst_core::compiler::html::*	HARNESS-GAP	semantic HTML tree	/tmp/p1213-html-harness.json	/tmp/p1213-html-harness.json	compiler/stdlib/html.md	harness feature symmetry	manifest omits --features html on crystalline side	a manifest run with symmetric features that still cannot extract tree	none	patch harness in later measurement step
operator-bad-in	diagnostic	typst_eval::ops::apply_binary	typst_core::compiler::eval::operators::equality::apply_binary	DIAGNOSTIC-GAP	public error message	00_nucleo/diagnosticos/p1212-sondas.tsv	00_nucleo/diagnosticos/p1212-sondas.tsv	compiler/eval/operators/error_formatting.md	operator error formatter	operator spelling differs: 'in' versus In	a current symmetric probe with identical message	continuous-parity	fix operator spelling
operator-incomparable-length	diagnostic	typst_eval::ops::apply_binary	typst_core::compiler::eval::operators::ordering::apply_binary	DIAGNOSTIC-GAP	public error message	00_nucleo/diagnosticos/p1212-sondas.tsv	00_nucleo/diagnosticos/p1212-sondas.tsv	compiler/eval/operators/error_formatting.md	operator error formatter	values are erased to type names in crystalline message	a current symmetric probe with identical message	continuous-parity	preserve operand repr in diagnostic
selector-identity	introspection	typst_library::foundations::selector::Selector	typst_core::entities::selector::Selector | typst_core::entities::show::Selector	PARTIAL	query/show selector semantics	lab/typst-original/crates/typst-library/src/foundations/selector.rs	01_core/src/compiler/eval/selector_matching.rs	entities/selector.md | entities/show.md	selector conversion	one vanilla domain responsibility is split into query and show representations; documented stubs remain	a complete query/show corpus closing all selector variants	continuous-parity	probe Regex and Where matching separately
syntax-binop	language/syntax	typst_syntax::ast::BinOp	typst_core::entities::operators::BinOp | typst_core::entities::ast::expr::BinOp	COVERED	parse precedence associativity and evaluated operator identity	lab/typst-original/crates/typst-syntax/src/ast.rs	01_core/src/compiler/parse/code.rs | 01_core/src/entities/ast/expr.rs	entities/operators.md | entities/ast/expr.md	parser and typed AST split	P1210 parse corpus plus literal source tables cover the frozen fragment	a token/operator with different precedence association or surface result	none	add split relation to map
syntax-unop	language/syntax	typst_syntax::ast::UnOp	typst_core::entities::operators::UnOp | typst_core::entities::ast::expr::UnOp	COVERED	parse precedence and evaluated unary identity	lab/typst-original/crates/typst-syntax/src/ast.rs	01_core/src/compiler/parse/code.rs | 01_core/src/entities/ast/expr.rs	entities/operators.md | entities/ast/expr.md	parser and typed AST split	P1210 parse corpus plus literal source tables cover the frozen fragment	a token/operator with different precedence or surface result	none	add split relation to map
