fixture_id	pair	candidate_M	vanilla_M	max_semantic_offset_delta	max_component_carrier_delta	kind_space_equal	ordered_multiplicity_preserved	mechanics_note	status
S01-linear-oklab	linear/oklab	2	2	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S01-radial-oklab	radial/oklab	2	2	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S01-linear-linear-rgb	linear/linear-rgb	2	2	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S01-radial-linear-rgb	radial/linear-rgb	2	2	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S02-linear-oklab	linear/oklab	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S02-radial-oklab	radial/oklab	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S02-linear-linear-rgb	linear/linear-rgb	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S02-radial-linear-rgb	radial/linear-rgb	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S03-linear-oklab	linear/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S03-radial-oklab	radial/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S03-linear-linear-rgb	linear/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S03-radial-linear-rgb	radial/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S04-linear-oklab	linear/oklab	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S04-radial-oklab	radial/oklab	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
