field	value
role	verifier
isolation_attestation	false
strong_isolation_proved	false
reason	The verifier process shared the repository filesystem and host /tmp with all authors. Its managed capability allowed repository writes and /tmp writes; role instructions and output allowlists were not enforced by a separate OS principal or immutable mount for the verifier itself.
read_scope_actual	Filesystem sandbox permitted broad read access; task discipline limited inspection to the explicit candidate/source allowlist and canonical contract, oracle, fixture, and attack inputs.
write_scope_actual	Workspace permission exposed /repos/Antigravity/typst-crystalline and /tmp as writable even though the role instruction authorized only /tmp/p1243-verifier/results.tsv, receipt.tsv, capability.tsv and probe artifacts.
probe_confinement	Individual binary probes used bwrap with / read-only and only /tmp/p1243-verifier rebound writable. This confines probe subprocesses but does not prove isolation of the verifier authority or earlier authoring phases.
network	Probe processes used the ambient managed sandbox network restriction; bwrap --unshare-net was attempted but unavailable because loopback NETLINK_ROUTE creation was denied.
context	Verifier received canonical paths and expected hashes plus the candidate allowlist. It did not receive private author messages/outputs beyond canonical artifacts, but conversational self-report is not a capability proof.
hash_scope	Hashes attest identity and unchanged inputs, not authority separation.
forbidden_writes_observed	none by verifier
conclusion	executed without attestation of isolation
