id	boundary	obligation	acceptance
C01	L0 lineage	current color gradient and adaptive prompts precede their productive consumers	V1 V5 V15 V26 pass with current hashes
C02	Luma luminance	alpha adjudication never forgives luminance	P1236 reports luma_max 0 and violated_luma 0
C03	Luma alpha	crystalline preserves source alpha despite ratified vanilla loss	P1236 reports 14 Known-Upstream-Bug and no Unknown
C04	Oklab L1	public sample components have no current bilateral divergence	P1234 reports 30 probes and public_divergences 0
C05	SVG graph	each Oklab and LinearRgb pair closes its six graph cases	P1237 graph 24/24
C06	SVG numeric	each pair is promoted only with its own numeric 6/6	pair classification remains Unknown when numeric count is below 6
C07	pair isolation	Linear does not promote Radial and Oklab does not promote LinearRgb	four independent pair rows and zero global inference
C08	Unknown policy	frozen or inaccessible internal boundary is not success	P1234 opaque boundaries and failed P1237 pairs remain Unknown
C09	budget integrity	only frozen V color and alpha budgets plus 1e-6 decide	P1237 decision fields remain V_color_max V_color_p95 V_alpha_max V_alpha_p95
C10	mechanics	threshold 0.0005 experiment does not alter production	adaptive consumer and L0 remain current and no productive write belongs to revalidation
