observable_id	observable	population	preserved	violated	unknown	source	classification	mechanics_excluded
O01	G04A original/declarative semantic offset	all G04A stops in 96 fixtures	semantic ratio preserved after public construction and auto/sharp/repeat resolution	any G04A stop moved across a semantically distinguishable position	origin or semantic ratio cannot be established	adaptive.md:63-76;svg.md:130-146	language-morphology	f32/f64 storage identity and SVG spelling when reparsed ratio is semantically equal
O02	G04A order,coincident multiplicity and exact-point structural adjudication	all effective coincident sequences,including S07-S09	original order/multiplicity preserved;ratified exact-point rule preserved separately: t=0 selects last zero-offset stop and exact internal/terminal coincidence selects first stop at that offset	reorder,deduplicate,collapse or change exact-point selected stop	exact-point witness or provenance unavailable	ratified gradient.rs:1461-1484;adaptive.md:73-76;svg.md:130-146	language-morphology	hash-map order,internal vector type,XML ID spelling and any blanket claim that exact-point equals epsilon-right
O03	G04A stop color and alpha	all G04A stops in 96 fixtures	color at the original stop and alpha separately preserved	color or alpha changed	origin/color/alpha cannot be attributed	adaptive.md:63-76;svg.md:135-146	language-morphology	internal Color variant and byte-identical CSS serialization
O04	adaptive stop position	all adaptive stops in R intervals	strict confinement to owning G04A interval and monotonic order	adaptive stop crosses endpoint,coincidence or sibling order	origin or interval ownership unavailable	adaptive.md:63-76;adaptive.rs:115-164	mechanics-conditioned	carrier f32/f64,exact adaptive count and Ratio::repr spelling when O01-O03,O05 pass
O05	epsilon-right/right-hand curve support and color/alpha envelope	all R intervals and coincident boundaries	epsilon immediately right of any coincidence at r<1 begins from the last coincident G04A stop;at r=0 exact and right-hand origins agree,while an internal exact point remains separately governed by O02;right-hand curve support and frozen premultiplied encoded-sRGB/alpha envelope preserved	exact-point selection substituted for right-hand behavior;wrong last coincident origin;support or envelope violation	epsilon-right oracle,provenance,budget or mesh unavailable	adaptive.md:70-76;ratified gradient.rs:1461-1484;p1267r2-author-observables.tsv:O05	language-morphology	particular bisection traversal or identical intermediate colors when support,envelope and boundary behavior are equal
O06	adaptive work per positive-width eligible G04A interval	each of R intervals	publish subdivisions<=64,adaptive interiors<=63,midpoint_decisions<=127,boundary_sampler_calls<=126,total_sampler_calls=midpoint+boundary<=253	any bound exceeded;127 reported as total sampler calls;counts not internally additive	interval attribution unavailable or trace irreproducible	ratified gradient.rs:921-964;adaptive.rs:127-159;V07	mechanical-safety-observable	exact work below bounds and equality of traversal sequence
O07	M,R,E identity and affine bound	96 valid fixtures	M equals count of effective_public_stops/G04A input sequence;R equals its positive-width eligible consecutive intervals;E=M+sum(a_i)<=M+63R<=64M-63 for each fixture with M>=2	logical_stops substituted for M;R misclassified;E identity or bound fails	sequence identity,R classification or interval a_i unavailable	G04A;adaptive.rs:111-164;p1266-cost.tsv:1-97;V08	derived-safety-observable	a fixed cap independent of input size and logical color cardinality as a substitute for effective input count
O07H	P1266 immutable cost remeasurement	96 frozen p1266-cost rows	logical=904 recorded separately;effective M=1320;E=11188;summed per-fixture conservative bound=78432;derived_bound_failures=0;record is explicitly non-success	904 relabelled effective;51808 used as corrected effective bound;historical rows changed;zero failures promoted	frozen input hash/columns ambiguous or interval trace absent	p1266-cost.tsv:1-97 sha256:dc10bff135b228b521376b39e4266c1656f6b650a72576253404a85ca74c93ad;V09	immutable-historical-measurement	using aggregate consistency as a current pair verdict or interval-local proof
O08	termination and bounded exact-sampler work	all R intervals	finite depth<=6;midpoint nodes<=127;boundary calls<=126;total exact-sampler calls<=253;finite M yields finite E	nontermination,reopened node,depth or any work bound exceeded	execution or interval trace cannot be reproduced	ratified gradient.rs:918-965;adaptive.rs:127-159	mechanical-safety-observable	wall-clock equality or identical iterator state sequence
O09	S20 painted support	S20 x 4 pairs	zero-width path with 8pt stroke preserves positive painted region,stroke morphology,closed graph and geometry	forced zero paint,wrong region,dangling graph or geometry divergence	independent stroke-support mask unavailable	typst-p1266-svg-generalization.md:43-46;matrix:S20	language-morphology	underlying box area used as proxy for painted support
O10	S21 painted support	S21 x 4 pairs	zero-height fill has no positive-area paint while graph and geometry remain correct	positive paint,dangling graph or geometry divergence	zero-fill mask or ownership unavailable	typst-p1266-svg-generalization.md:43-46;matrix:S21	language-morphology	mere absence of raster node without graph validation
O11	graph identity	96 valid fixtures	resolved local reference,correct variant,role and transform once	unresolved/wrong reference,variant,role or transform	graph ownership ambiguous	svg.md:130-146;p1267r2-author-observables.tsv:O11	language-semantics	literal IDs,defs order and bytes
O12	P1268 phase and seal boundary	four pairs plus complete positive,negative and opaque suites	no success before independent vanilla-first oracle,all valid attacks rejected,mutation_score=1.0,zero necessary Unknown,semantic repeat/reorder equality,protected hashes intact and verifier-issued seal	contract author seals/promotes;candidate-derived budget;surviving mutant;score<1.0;hash drift;historical consistency converted to success	pair remains Unknown-generalization or explicit opacity remains Unknown	p1268 intent manifest;typst-passo-1268.md;skill artefatos-e-gates.md	protocol	contract-author confidence,source inspection or P1266 derived-bound consistency as verdict
