field	value
artifact	P1268-CLOSURE-AND-P1269-HANDOFF
closed_at	2026-08-29T07:00:54-03:00
head	7df0e3174d0d651189c9281c81c4508e3c691478
step	typst-passo-1268.md sha256:c9f8ff5bca9131c307baaf88f3f0a1c2d80cac775623ab4c521f4231db969188
step_mutation	NONE;the frozen step remains byte-identical and may still display PLANEADO
closure_authority	This receipt records completion without mutating the protected step input.
preseal	00_nucleo/diagnosticos/p1268-preseal.tsv sha256:365d1d30847fb93423305c4c3bd259da2a0f2140f0e4435771ec2b8916e432c2
final_manifest	00_nucleo/diagnosticos/p1268-final-manifest.tsv sha256:5a02c4e8b9e67752dcf3624764624c9b3405670e959ddea8e9434bd3469ff05f
validation	00_nucleo/diagnosticos/p1268-validation.tsv sha256:ac1070c5f393b831c8470aede9dfe3581630020c471d74f39d51fdf92dd3ed5d
report	00_nucleo/diagnosticos/typst-p1268-preseal-report.md sha256:e9ac145f565b9d862076cb8630821afed2c2979ff58405b7dc5d7645ebfd6ba9
manifest_rehash	53/53 present;53/53 SHA-256 exact;0 missing;0 mismatches
mutation_score	1.0;24/24 valid negatives killed
negative_unknown	0
technical_gates	ALL PASS
capability_gates	ALL PASS;breach=false
head_drift	ACCEPTED-AS-PROVENANCE-ONLY
product_l0_tests	UNCHANGED
tracked_diff_stat	EMPTY
preclosure_git_status_sha256	2e45d125db895b7ac18633127f74bcb28b2fab951880dcb5bc5d62b4ecdf21c0
workspace_state	P1268 diagnostics are materialized but not committed.
attestation	SEGREGACAO-PROCESSUAL;FILESYSTEM-ISOLATION-NOT-TECHNICALLY-ATTESTED
p1268_state	CONCLUIDO-NO-LIMITE-DO-PRESEAL
final_seal	NOT ISSUED;not part of P1268 scope
p1269_entry_gate	READY
p1269_step	typst-passo-1269.md sha256:be44d5d19ca38cc2edc8954c89537bbbf28da70c9c56a6d5476b0192e0003ae2
p1269_predecessor	P1268 preseal sha256:365d1d30847fb93423305c4c3bd259da2a0f2140f0e4435771ec2b8916e432c2
p1269_first_action	Rehash preseal and final manifest before the first candidate execution.
p1269_trava	Do not edit budgets,corpus,L0,product,contract,oracles or attacks after observing the candidate.
mutation_rule	Any change to a protected P1268 input invalidates READY and restarts the first affected phase.
verdict	P1268-CLOSED;P1269-ELIGIBLE
