field	value
step	P1250
role	adversary-preseal
verdict	PASS_PRESEMANTIC_UNATTESTED_ISOLATION
measured_at	2026-08-28T14:27:19-03:00
repository_head	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
working_tree	uncommitted shared working tree; 393 status entries at measurement
working_tree_diff_stat	65 tracked files changed; 4207 insertions; 265 deletions
working_tree_diff_stat_sha256	8da173e3e4a06920e0a79148a6434002aa5f4c66ad0cd639254e05069409e1b6
working_tree_status_short_sha256	0baa9b4522c35c837fc763970a239d85068c86e7cb7ff27561e6c06c496409be
manifest_sha256	605021aebe76dffb3bbd23069c9352d3a776ff07a1c48a8560d1574c1611773d
contract_sha256	5d3d7e279db199d6893c897acf4eef0713f4d66529d12b4588a4d4165db522a1
oracles_sha256	f058720caedbaf4d8f8dd34a04e9d39d983bc98bcf231a860ff032fe8e183230
attacks_sha256	ffff6e1090b11c2750857d02bdc644675fb923966bb1ea6b01390a4da52baff3
runner_sha256	5fb7fa9faa561d8273bdc7cd92dc5c8bfbb7b497caa7d48cfeaaf18e1551be94
command_run_1	python3 lab/parity/matrix/p1250_integrated_preseal.py --out /tmp/p1250-preseal-run1.json
command_run_2	python3 lab/parity/matrix/p1250_integrated_preseal.py --out /tmp/p1250-preseal-run2.json
run_1_sha256	803a0bebf9e71e44e99b4d448ec466b11fdf5c6b7c6ab87cfafbc24b2d97d1ea
run_2_sha256	803a0bebf9e71e44e99b4d448ec466b11fdf5c6b7c6ab87cfafbc24b2d97d1ea
external_determinism	PASS; outputs byte-identical
internal_reordering	PASS; direct and reversed oracle attack and definition traversal yield identical canonical semantic result
contract_rows	10
oracle_rows	18
positive_cases	6
negative_cases	6
unknown_cases	6
valid_mutations	11
rejected_mutations	11
mutation_score	1.0
metamorphic_cases	M02 defs reorder and M13 alpha rename remain Preserved and do not enter mutation denominator
semantic_digest	019a8227e8b74bd180338b2ccaf9bcb36ded96495c96896f4b5a9163776d0a81
unknown_policy	PASS; all six opaque cases remain component-exact Unknown and M12 promotion is rejected
mandatory_attacks	PASS; cross-kind ID capture; benign defs reorder; pending reference; transform zero and twice; fill/stroke swap; alpha removal; wrong clip space; font by index; raster omission; embedded SVG omission; Unknown promotion
candidate_executed	false
productive_change	false
scope	presemantic discriminatory power of frozen integrated contract/oracles only; not a candidate or whole-SVG equivalence verdict
isolation_limitation	shared mutable filesystem and inherited conversation prevent strong capability-isolation attestation; compliance is process-constrained; 03_infra and candidate tests were not read
