gate	observed	required	status	evidence
tsv_column_constancy	29 audited frozen TSV files	constant columns	PASS	all raw rows have the header column count
population	96 unique fixtures;24 per pair	96 unique;24 per pair	PASS	corpus and sources identities agree
positive_oracles	96 Available;0 Unknown	96 Available;0 necessary Unknown	PASS	positive.tsv
effective_counts	M=1320;R=848;E=11188	E=M+sum(a_i)<=M+63R per fixture	PASS	budgets.tsv and interval-cost.tsv
interval_population	1224 total;848 eligible;376 ineligible	all M-1 intervals classified	PASS	interval-cost.tsv
interval_limits	max s/a/d/b/q=64/31/63/62/125	<=64/63/127/126/253 and q=d+b	PASS	interval-cost.tsv
historical_accounting	rows=96;logical=904;M=1320;E=11188;bound=78432;failures=0	exact frozen remeasurement;not current success	PASS	p1266-cost.tsv sha256 dc10bff135b228b521376b39e4266c1656f6b650a72576253404a85ca74c93ad
mask_closure	96 rows;192 SVG-PNG files;193 with manifest	all paths and per-row hashes exact;no extra mask file	PASS	masks/manifest.tsv
mask_morphology	all 96 PNG dimensions,pixels,bbox,alpha digest recomputed	exact manifest match	PASS	independent PIL remeasurement
coincidence	180 groups;exact Unknown=0;epsilon Unknown=0;terminal N-A=4	separate exact and epsilon-right adjudication	PASS	coincidence.tsv
coincidence_branch	172 runtime-discriminating epsilon groups closer to last stop	epsilon-right uses last coincident stop;exact uses ratified special rule	PASS	coincidence.tsv
S20	4/4 positive stroke masks with closed graph	4/4	PASS	degenerates.tsv
S21	4/4 zero-fill masks with closed graph	4/4	PASS	degenerates.tsv
determinism_semantic	192/192 MeasuredEqual	192/192	PASS	determinism.tsv
determinism_binary	96/96 direct-inverse-repeat SVG triplets byte-equal	96/96 semantic equality	PASS	binaries direct inverse repeat
opaque_honesty	10/10 explicit opaque remain Unknown;15 Unknown-like policy rows do not succeed	Unknown never success	PASS	opaque-verdicts.tsv and opaque.tsv
negative_unknown	0 of 24 valid negative mutants	0	PASS	mutation-verdicts.tsv
mutation_score	24/24=1.0	1.0	PASS	mutation-verdicts.tsv
positive_control	1/1 Preserved and excluded	1/1	PASS	A06
protected_hashes	all frozen V3 and HEAD-drift content identities match	zero content drift	PASS	hash audit
head_provenance	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5 to 7df0e3174d0d651189c9281c81c4508e3c691478	protected content unchanged	PASS	p1268-head-drift.tsv plus independent hashes
oracle_breach	false	false	PASS	oracle_v3/receipt.tsv
verifier_write_root	all verifier writes below /tmp/p1268/verifier_v3	root exact	PASS	independent path enumeration
filesystem_isolation	not technically attested	no false isolation claim	PASS	segregation processual only
