case_id	selector_json	canonical_state_json	deterministic_operation_json	expected	clause	expected_witness	validity	mutation_score	resolution_required
U01-provenance-ambiguous	{"fixture_id":"S08-linear-oklab"}	{"fixture_id":"S08-linear-oklab","stops":[{"id":"x0","offset":0.5,"origin":null,"owner_interval":null}],"opacity_reason":"origin labels unavailable"}	[]	Unknown	G04A;G04B;O01-O05	cannot distinguish original G04A stop from exporter-added adaptive stop	explicit-opaque	excluded	publish origin labels and owning G04A intervals
U02-exact-right-probe-ambiguous	{"fixture_id":"S09-radial-linearrgb"}	{"fixture_id":"S09-radial-linearrgb","coincidence":{"offset":0.75,"ordered_ids":["g2-first","g2-last"]},"probes":{"exact_internal":null,"epsilon_right":null},"opacity_reason":"probe oracle unavailable"}	[]	Unknown	G04A;G04B;O02;O05	neither exact-point nor epsilon-right branch can be adjudicated independently	explicit-opaque	excluded	publish separate exact-t and epsilon-right witnesses
U03-budget-missing	{"fixture_id":"S05-linear-oklab"}	{"fixture_id":"S05-linear-oklab","metrics":{"color_max":0.0008,"color_limit":null,"alpha_max":0.00001,"alpha_limit":null},"opacity_reason":"frozen per-fixture budget absent"}	[]	Unknown	G05;O05	observed metrics exist but have no hash-matched vanilla-first limits	explicit-opaque	excluded	restore frozen per-fixture budget identity
U04-graph-owner-ambiguous	{"fixture_id":"S02-radial-oklab"}	{"fixture_id":"S02-radial-oklab","graph":{"paint_url":"#g1","defs":["g1","g1"],"owner":null},"opacity_reason":"duplicate local target identity"}	[]	Unknown	G03;O11	URL text is present but graph owner and unique local target are ambiguous	explicit-opaque	excluded	resolve graph ownership and target identity
U05-raster-mask-ambiguous	{"fixture_id":"S03-linear-linearrgb"}	{"fixture_id":"S03-linear-linearrgb","raster":{"candidate_rgba_digest":"sha256:abc","support_mask":null},"opacity_reason":"painted-support mask derivation ambiguous"}	[]	Unknown	G06	candidate raster exists but no independently derived painted-support mask exists	explicit-opaque	excluded	derive mask from graph and geometry independently
U06-mesh-budget-exhausted	{"fixture_id":"S22-linear-oklab"}	{"fixture_id":"S22-linear-oklab","mesh":{"requested_points":8192,"completed_points":4096,"resource_bound_exhausted":true},"opacity_reason":"partial mesh"}	[]	Unknown	G05;O05	curve mesh stops halfway and partial result cannot establish the envelope	explicit-opaque	excluded	rerun within published bound or explicitly narrow scope
U07-interval-trace-unattributed	{"fixture_id":"S24-radial-linearrgb"}	{"fixture_id":"S24-radial-linearrgb","counts":{"M":8,"R":null,"E":40},"intervals":null,"opacity_reason":"no interval-local attribution"}	[]	Unknown	G10;O06-O08	E is known but R,a_i,d_i,b_i,q_i cannot be attributed to G04A intervals	explicit-opaque	excluded	publish complete interval-local trace
U08-s20-mask-ambiguous	{"fixture_id":"S20-linear-oklab"}	{"fixture_id":"S20-linear-oklab","geometry":{"width":0.0,"stroke_width":8.0},"support":{"painted_area":192.0,"mask_digest":null},"opacity_reason":"stroke morphology mask unavailable"}	[]	Unknown	G06;G07A;O09	positive area alone cannot establish S20 stroke morphology	explicit-opaque	excluded	publish independently derived baseline and candidate stroke masks
U09-s21-owner-ambiguous	{"fixture_id":"S21-radial-linearrgb"}	{"fixture_id":"S21-radial-linearrgb","geometry":{"height":0.0},"support":{"positive_fill_area":0.0},"graph":{"owner":null,"closed":null},"opacity_reason":"zero-fill graph ownership unavailable"}	[]	Unknown	G07B;O10	zero raster area alone cannot establish a closed and correct S21 graph	explicit-opaque	excluded	prove zero positive-area fill plus graph ownership and geometry
U10-parser-unavailable	{"fixture_id":"I08-linear-oklab"}	{"fixture_id":"I08-linear-oklab","domain":{"source_validity":"invalid-domain","parser_result":null},"opacity_reason":"parser unavailable"}	[]	Unknown	G02	public rejection semantics cannot be matched because the parser result is unavailable	explicit-opaque	excluded	restore parser and compare rejection semantics
