pair	stratum	fixture_groups	positions_per_group	source
linear/oklch	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
linear/oklch	polar-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1238
radial/oklch	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
radial/oklch	polar-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1238
linear/hsl	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
linear/hsl	polar-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1238
radial/hsl	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
radial/hsl	polar-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1238
linear/hsv	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
linear/hsv	polar-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1238
radial/hsv	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
radial/hsv	polar-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1238
linear/luma	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
linear/luma	luma-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1239-derived
radial/luma	general-p1266	24	mesh-8192+graph+raster	p1266-generalization-matrix.tsv
radial/luma	luma-focal	6	0;0.000001;0.25;0.5;0.75;0.999999;1	P1239-derived
