field	value
role	ADVERSARY P1243 v3 only
regime	full adversarial phase; contract frozen before attack materialization
authority	design negative, opaque, positive-control, and metamorphic abstract variants; assign expected contract verdicts
forbidden_authority	no candidate correction; no oracle authorship; no verifier execution; no sealing; no candidate judgment
writes	/tmp/p1243-adversary-v3/attacks.tsv;/tmp/p1243-adversary-v3/capability.tsv only
repository_edits	none authorized or performed
contract_input	/tmp/p1243-contract-v3/contract.tsv; sha256=bc10515380938e2e6857afa2a524b14e46dc8df90a6b202b5d62771763831b86
step_input	typst-passo-1243.md; sha256=1572f52722b1f484990b8fd48248386bfc21a459c7611657863c2c5ff7778966
l0_entities_input	00_nucleo/prompts/entities/tiling.md; sha256=d76b758d3c68f25fcf827a0ad64ae611895f9f2f50b48f225367c2816c1d490c
l0_constructor_input	00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md; sha256=8087c29093d4607e7a213bea402d42c8bce1cecdd07ae390f80c5d8f83fe648d
l0_svg_input	00_nucleo/prompts/infra/export/svg.md; sha256=98616af62e17692c6bebbfab0ca85436819112bd9f124d1c1b13904743833b9e
vanilla_tiling_input	lab/typst-original/crates/typst-library/src/visualize/tiling.rs; sha256=b094544b837dbb0cd44399a03126a25dbc007326c303c5564068b352e23e38c4
vanilla_paint_input	lab/typst-original/crates/typst-svg/src/paint.rs; sha256=5e93b658be7e22b4beeb5ccf01075abd7ec22b9c412f91232474a4fb6da907af
candidate_access	none in this v3 task
oracle_access	none in this v3 task
verifier_output_access	none in this v3 task
prior_output_access	no prior verifier output read; prior adversarial task context is inherited in this same agent conversation
context_inherited	NOT none: earlier P1243 adversary instructions and authored v2 attack summary remain in conversational context; no candidate/oracle/verifier contents inherited
isolation_attestation	not claimed because conversational context is inherited and filesystem capability is broader than the declared inputs
unknown_policy	Unknown is represented but inconclusive and never implicit success; CONTRACT-GAP is missing public information or explicit scope-out and never implicit success
positive_universe	2 current-only PASS controls (C03/C04); 1 semantic mechanics-invariance abstract metamorphic PASS; no positive shared SVG parity witness
negative_universe	proved contradiction only when the contract execution gate is met; invalid eligibility promotion and resolved malformed graph can be FAIL
opaque_universe	Image, Gradient, arbitrary Content, nonzero offset/angle, auto flat-color size, missing parent consumer preserve CONTRACT-GAP; missing graph/render/parser evidence preserves Unknown
metamorphic_universe	repetition/reordering without a resolved base witness remains Unknown; semantics-preserving ID/defs changes preserve verdict; reachability-breaking changes are FAIL
mutation_universe	34 rows total: 27 negative/opaque base variants V3-A01..A27, 4 metamorphic variants V3-A28..A31, and 3 positive/opaque controls V3-P01..P03
violations	none known against the v3 task's read/write restrictions; isolation limitation explicitly recorded
