id	input	observable	Preserved	Violated	Unknown
C01	group with clip_mask=None	visible region of every child	No additional clipping is introduced; each child keeps the visible region it has without a group clip.	Any child gains or loses visible area because an additional group clip is introduced.	The child render is itself outside the supported observable fragment, so the effect of an additional clip cannot be distinguished.
C02	group with finite representable Rect clip	local rectangular clipping region	The visible child content is intersected with the rectangle defined by inner_width and inner_height in the group's local space.	Visible content survives outside that rectangle, or content strictly inside it is removed by a different clip region.	The dimensions or geometry are absent, nonfinite, or otherwise not representable by the contract.
C03	group with finite representable RoundedRect clip	local rounded-rectangular clipping region	The visible child content is intersected with the local bounds and all four transported corner radii.	The clip loses or changes a transported corner radius or bounds, causing a different visible region.	A bound or radius is absent, nonfinite, or otherwise not representable by the contract.
C04	group with finite representable Ellipse clip	local elliptical clipping region	The visible child content is intersected with the ellipse derived from inner_width and inner_height in the group's local space.	Visible content survives outside that ellipse, or content strictly inside it is removed by a different clip region.	The dimensions or geometry are absent, nonfinite, or otherwise not representable by the contract.
C05	group with finite representable Path clip whose region is defined by nonzero winding	local path clipping region	The visible child content is intersected with the region formed by all transported subpaths and curves under the nonzero rule, in their declared order and local geometry.	A subpath or curve is lost, reordered, geometrically changed, or interpreted with a rule that produces a different visible region.	The path is open without an area, depends on even-odd semantics, or has absent, nonfinite, or unrepresentable geometry.
C06	nested groups with representable ancestral and local clips	composed visible clipping region	A descendant's visible content is restricted to the intersection of every applicable ancestral clip and its local clip.	An ancestral or local clip is dropped, replaced, or combined so that the visible region differs from their intersection.	Any participating clip is Unknown under another row, preventing attribution of the composed result.
C07	group with representable clip, position, and finite transform	spatial relation between clip and children	Position and transform affect clip and children once in the same local basis, preserving their relative alignment.	The clip or children receive the transform or position zero times, more than once, or in different bases, producing relative displacement or deformation.	The transform or required geometry is nonfinite, absent, or the child render is outside the supported fragment so relative alignment cannot be judged.
C08	group whose clip is represented through a local reference	resolved semantic clip graph	The owning group reaches exactly one intended local clip definition through a resolved reference, and that definition denotes the required region.	The reference is dangling, resolves to a different definition or region, is ambiguous, or bypasses clipping.	The representation is opaque to the contract and resolution of the local semantic graph cannot be established.
C09	alpha-renaming of clip IDs or reordering of definitions with the same resolved graph	visible clipping and resolved semantic graph	The same owners resolve to geometrically and spatially equivalent clip definitions and the visible clipping is unchanged.	Renaming or reordering changes resolution, ownership, geometry, spatial basis, or visible clipping.	Graph resolution or visible clipping cannot be established; byte identity and ID spelling alone do not decide the result.
C10	Path clip whose region depends on even-odd fill rule	clip region under an unavailable fill-rule carrier	Never classified Preserved by this contract while the carrier cannot transport the required rule.	The exporter claims preservation or emits a nonzero interpretation as equivalent when it produces a different visible region.	The operation is reported as unsupported or contract-gap without claiming an equivalent region or silently removing content.
C11	request for alpha-mask semantics through clip_mask	alpha-dependent visibility	Never classified Preserved by this geometric-clip contract.	Alpha mask, mask, filter, opacity, rasterization, or a solid geometric clip is claimed as an equivalent preservation of alpha-dependent visibility.	The operation is reported as unsupported or contract-gap without claiming equivalence or silently removing content.
C12	nonfinite, incomplete, or otherwise unrepresentable clip geometry	absence of false semantic promotion	Never classified Preserved by this contract.	The exporter claims preservation, silently treats the clip as absent, or silently removes content despite lacking a representable region.	The operation remains explicitly unsupported or contract-gap and makes no preservation claim; downstream visible output is not used as proof of equivalence.
