contract_id	observable	population	preserved	violated	unknown
G01-POPULATION	fixture identity and pair membership	24 valid seeds x 4 pairs	96 unique frozen valid fixtures;24 per pair	missing;duplicate;candidate-guided fixture	ambiguous identity blocks affected pair
G02-DOMAIN	public constructor and transform acceptance	valid S01-S24 plus invalid I01-I08	all valid accepted;all applicable invalid rejected	valid rejected or invalid accepted	parser unavailable or diagnostic identity ambiguous
G03-GRAPH	variant;resolved URL;raster absence;role;geometry;transform	96 valid fixtures	24/24 per pair;transform applied once	unresolved URL;wrong variant/role;positive-area fallback/raster	unparseable SVG or ambiguous node ownership
G04-STOPS	effective offsets;order;coincidence;right-continuity;color;alpha	96 valid fixtures	vanilla language morphology preserved	order/dedup/endpoint/alpha divergence	public stop carrier unavailable
G05-CURVE	premultiplied encoded-sRGB color_max;color_p95;alpha_max;alpha_p95	8192 points per positive-domain fixture	all four metrics <= frozen per-fixture V_* limits	any one metric over limit	oracle/budget unavailable or mesh budget exhausted
G06-RASTER	local masked RGBA morphology for positive boxes	all positive-area fixtures	frozen vanilla-derived raster envelope	mask-adjusted candidate error over envelope	unsupported renderer or mask derivation ambiguous
G07-ZERO-AREA	paint support for zero-width/zero-height boxes	S20 and S21 x 4 pairs	zero positive-area paint;graph remains well-formed	any positive-area paint or dangling graph	cannot establish whether box area is zero
G08-ANTIALIAS	constructor true;sharp false;repeat preserves input	S13-S18;S21;S24 x 4 pairs	boundary morphology and public state match vanilla	state lost;double-applied;repeat resets state	anti_alias carrier unavailable
G09-GEOMETRY	linear angle;radial center/radius/focal;box transform	96 valid fixtures	language-equivalent geometry under frozen landmarks	angle/focal/radius/transform divergence	landmark or local coordinate base ambiguous
G10-COST	emitted stops;adaptive decisions;cap	96 valid fixtures	per-fixture cost published;cap <=64;no hidden global expansion	cap excess;unreported cost;unbounded expansion	instrumentation unavailable blocks affected pair
G11-CONTROLS	sRGB;P1234;P1236;P1264	frozen control corpora	zero regression in every predecessor gate	any reopened control	changed protected input invalidates the seal
G12-PAIR-GATE	conjunction G01-G11 and applicable attacks	four independent pairs	24/24 graph+morphology+numeric;zero necessary Unknown;score=1.0	any failed gate or surviving mutant	Unknown-generalization for affected pair only
G13-DETERMINISM	direct;inverse;repeat semantic outputs	complete corpus and attack suite	canonical semantic equality	any order-dependent result	non-reproducible environment invalidates run
G14-PROMOTION-BOUNDARY	classification versus product default	four pair verdicts	at most Generalization-Preserved;fallback unchanged	productive promotion or general equivalence claim	no productive decision inside P1266
