dimension	P1267-R1	P1267-R2-independent	verifier_verdict	impact
G04-core	Split declared/original stops from adaptive carrier and envelope.	Independently produced the same split.	PASS	No conceptual change.
G04-coincident-semantics	Named right-continuity without separating exact coincident point from epsilon-right behavior.	Author again used a broad right-continuity formulation.	REFINEMENT: exact-point structural adjudication and epsilon-right/right-hand behavior must be separate.	Material precision improvement; no product verdict change.
G10-core	Per increasing interval: depth<=6,segments<=64,introduced<=63,midpoint decisions<=127;E<=n+63p.	Independently derived the same bounds and E<=M+63R<=64M-63.	PASS	No conceptual change; affine form is clearer.
G10-sampler-work	Did not publish total exact-sampler invocations.	Independent analyst derived midpoint=127 plus boundary=126, total<=253;author contract omitted total.	REFINEMENT: publish q_i<=253 and do not call 127 total work.	New bounded-work observable found by segregation.
G10-M-identity	Used n original stops without a canonical link to the P1266 cost columns.	Author used M original stops;analyst measured logical_stops as m.	REFINEMENT: M must be effective_public_stops/G04A input sequence.	New identity clarification required before P1268.
G10-historical-aggregate	Did not publish a corpus-wide m sum.	Analyst published m=904,bound=51808 using logical_stops.	FAIL localized: correct effective totals are M=1320,bound=78432;E=11188 and derived failures remain zero.	The isolated verifier caught a new measurement bug; core cap correction survives.
S20	Positive-area degenerate stroke must preserve painted support,role,geometry and closed graph.	Independently reached the same obligation.	PASS	No change.
S21	Zero-area fill must have no positive paint and preserve graph/geometry.	Independently reached the same obligation.	PASS	No change.
Unknown	Historical P1266 results remain immutable;P1267 candidate unsealed;Unknown never succeeds.	Same policy,with interval-attribution Unknown explicit.	PASS	No success conversion.
P1266	Certificate dce8aabe...067ec immutable.	All frozen P1266 hashes rechecked.	PASS	No change.
product_or_L0	No productive,L0 or test writes;no promotion.	No productive,L0 or test writes;no promotion.	PASS	Product delta is NONE.
candidate_status	CANDIDATE-UNSEALED.	R2-CANDIDATE-UNSEALED.	REFINEMENT-REQUIRED;P1268 still mandatory.	R2 is stricter,not a replacement seal.
isolation	Single authority;no isolation attestation.	Author,analyst and verifier had fork_turns=none and disjoint write scopes.	Conversational noninheritance PASS;filesystem capability isolation FAIL.	Attestation improved from none to partial,not full.
overall	Core readjudication accepted as unsealed candidate.	Core conclusions independently reproduced.	Conceptual delta LOW;contract-precision delta MATERIAL;product delta NONE.	Isolation did not reverse the decision,but exposed three refinements and one localized measurement error.
