field	value
protocol_regime	full adversarial phase under segregated Tekt workflow
role	ADVERSARY only
authority	design abstract semantic-negative mutations and expected witnesses against the frozen contract
context_inherited	none
candidate_access	forbidden; no candidate implementation, candidate tests, candidate output, or oracle output read
productive_write	forbidden
allowed_writes	/tmp/p1243-adversary/attacks.tsv;/tmp/p1243-adversary/capability.tsv
input_01	typst-passo-1243.md; sha256=3835ae6402bd9d9c941cd5d055036496389dee1764289bed788802520f3e35a7
input_02	00_nucleo/diagnosticos/p1243-tiling-contract-v2.tsv; sha256=90dfce95144fdd64fc94c246e5f0811a5c087678e6e79f336c9ac15edf389d36
input_03	lab/typst-original/crates/typst-library/src/visualize/tiling.rs; sha256=b094544b837dbb0cd44399a03126a25dbc007326c303c5564068b352e23e38c4
input_04	lab/typst-original/crates/typst-svg/src/paint.rs; sha256=5e93b658be7e22b4beeb5ccf01075abd7ec22b9c412f91232474a4fb6da907af
input_05	00_nucleo/adr/typst-adr-0107-paridade-linguagem-nao-mecanica.md; sha256=e680d22bbf4486cf93f5bfb4ec85f4ae965e6db788c2a18c48f3be000029d49d
input_06	00_nucleo/adr/typst-adr-0108-disciplina-anti-deriva.md; sha256=31daec5ae9e84cb5bbdcb806e9a2b6cb9160b7e90519df53e6e0bd8809076405
contract_hash_expected	90dfce95144fdd64fc94c246e5f0811a5c087678e6e79f336c9ac15edf389d36
contract_hash_observed	90dfce95144fdd64fc94c246e5f0811a5c087678e6e79f336c9ac15edf389d36
allowlist_status	observed inputs restricted to the six task-authorized files
forbidden_paths_status	01_core,03_infra,prior P1243 artifacts,oracle outputs,candidate implementation not read
skill_reference_limitation	tekt skill auxiliary references not read because the task's explicit read-only allowlist is narrower; project/user constraint prevailed
unknown_policy	Unknown never passes implicitly; CONTRACT-GAP remains distinct and never passes implicitly
attack_scope	abstract-candidate mutations only; no solution correction, sealing, candidate judgment, or verdict
violations	none against task allowlist/capability restrictions; skill auxiliary-reference omission recorded above as an attestation limitation
attestation_language	segregated adversarial artifact with declared capability limitation; not a general equivalence claim
