pair	scenario	t	system	argv	binary_sha256	exit_status	stdout_sha256	stderr_sha256
Linear/Hsl	alpha-first	0.000000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(0.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.000000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(0.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.000001000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(0.000100000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.000001000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(0.000100000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	657e43b3e2bf0e88a0fbbb5ba73714cde3eba7a2b8afcf8e5052c16975303082	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.250000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(25.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	b0872b4a586bc7769f9419cde24a0441d50874a2846a022167b63d4a1ae5fb68	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.250000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(25.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	b0872b4a586bc7769f9419cde24a0441d50874a2846a022167b63d4a1ae5fb68	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.500000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(50.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	913bd3feaed31e95e9b0176426028a65111248d459b64f47e6e56c0a842082bd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.500000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(50.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	913bd3feaed31e95e9b0176426028a65111248d459b64f47e6e56c0a842082bd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.750000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(75.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	baca2f477722325be73c6e478669bfe4229fe0db1be0517ebdc8eb2bf1c79b28	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.750000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(75.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	baca2f477722325be73c6e478669bfe4229fe0db1be0517ebdc8eb2bf1c79b28	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.999999000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(99.999900000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	0.999999000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(99.999900000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	1.000000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(100.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-first	1.000000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43).transparentize(60%),0%),(rgb(255,43,0),100%),space:color.hsl,angle:0deg)).sample(100.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	58f7624ecdea72513b1808603047f3777f063741269000af6953d395af4ae4b7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-last	0.000000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg)).sample(0.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-last	0.000000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg)).sample(0.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-last	0.000001000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg)).sample(0.000100000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-last	0.000001000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg)).sample(0.000100000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	ad69dda2d14b1135a4adde0d8f9007ba70e46b33f07085f99cc6d9c320ffaee0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-last	0.250000000000	crystalline	"[""target/debug/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg)).sample(25.000000000000%).components(alpha:true))""]"	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1	0	9b66c503a2bdfe7b2f888f663a81a30e7ca8ca14c69f2fe5bbc2fa8fd20e90a0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Linear/Hsl	alpha-last	0.250000000000	vanilla	"[""/usr/local/bin/typst"",""eval"",""--format"",""json"",""repr((gradient.linear((rgb(255,0,43),0%),(rgb(255,43,0).transparentize(60%),100%),space:color.hsl,angle:0deg)).sample(25.000000000000%).components(alpha:true))""]"	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8	0	9b66c503a2bdfe7b2f888f663a81a30e7ca8ca14c69f2fe5bbc2fa8fd20e90a0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
