oracle_id	contract_ids	fixture_or_domain	execution_gate	expected_verdict	claim_scope	witness_or_reason	forbidden_promotion
V3-O01	C00,C01,C02,C05,C06,C10,C21,C24	color fill with explicit finite nonzero size	A common frozen fixture must execute on vanilla and crystalline and both SVGs must reach a resolvable fill reference graph.	Unknown	SVG parity	The frozen evidence has no positive shared SVG witness; graph, coordinate system, and fill role were not jointly observed.	No direct solid color, one-sided compile, missing SVG, URL-presence boolean, XML spelling, or fallback marker may become PASS.
V3-O02	C00,C01,C02,C09,C21,C24	color with non-unit alpha and explicit size	A common frozen fixture must expose alpha in a resolved graph or bounded rendering on both sides.	Unknown	SVG parity	No shared SVG/render alpha observation exists.	Opaque replacement, double alpha, constructor success, or role-agnostic attribute presence cannot become PASS.
V3-O03	C00,C01,C02,C07,C08,C24	asymmetric size and spacing on flat color	A common frozen SVG witness must expose axis-specific semantic periods and a represented landmark for cell extent/viewport claims.	Unknown	SVG parity	No shared SVG exists; flat color has no boundary landmark. Pitch, viewport placement, clipping, stretch, and axis mapping are unresolved.	Width, height, viewBox text, attribute arithmetic, or stable XML bytes cannot become PASS.
V3-O04	C00,C08	flat color gap/overlap boundary	A body landmark distinguishing cell extent from pitch must already exist in the public model and frozen fixture.	CONTRACT-GAP	public-model boundary	TilingBody::Color contains no representable internal landmark; the contract explicitly places visual gap/overlap at the model boundary.	Do not invent body geometry, embed arbitrary Content, or infer morphology from size/spacing attributes.
V3-O05	C00,C11,C21	color tiling as stroke	The frozen current public pipeline must construct and transport tiling paint in stroke position.	CONTRACT-GAP	public-model boundary	The frozen crystalline fixture cannot form the tiling stroke and no carrier/API change is authorized.	A surrogate fill, any-url boolean, new stroke carrier, or reconstructed paint cannot promote this row.
V3-O06	C00,C12,C14,C20,C24	relative=self, item transform, and repetition	A shared SVG witness must contain an already represented phase/edge landmark visible at matched local coordinates.	Unknown	SVG parity	Uniform color and failed/no SVG probes expose no phase landmark; self anchoring, transform application count, zero phase, and repetition count are inconclusive.	Transform text, element count, repeatable failure, dimensions, or IDs cannot become PASS.
V3-O07	C00,C13	relative=parent	Parent identity and geometry must reach the current observable pipeline without public expansion.	CONTRACT-GAP	public-model boundary	The constructor L0 stores Parent but explicitly gives it the same consumer as self; there is no parent-relative SVG witness.	Stored enum value, any URL, or equivalence-to-self cannot promote this row.
V3-O08	C00,C15	size=auto/None on flat color	A finite nonzero intrinsic tile size must already be derivable from represented body morphology.	CONTRACT-GAP	public-model boundary	Flat color has no intrinsic geometry in the public body.	Arbitrary unit size, painted bbox, compile success, or generic fallback cannot promote this row.
V3-O09	C00,C16,C21	TilingBody::Image	Public data must already provide decodable bytes and resolved geometry, and the real consumer must be in scope.	CONTRACT-GAP	public-model boundary	The real Image consumer is L0 scope-out and the frozen universe supplies no image payload.	Do not invent bytes; black/color substitution or successful construction is not equivalence.
V3-O10	C00,C17,C21	TilingBody::Gradient	The current constructor must accept and retain Gradient in the repeated tile.	CONTRACT-GAP	public-model boundary	The entity variant is a placeholder and the constructor L0 explicitly rejects Gradient.	First-stop color, indirect wrapping, fallback, or compilation success cannot promote this row.
V3-O11	C00,C18	arbitrary Content body	Arbitrary frame content must be representable in current public TilingBody.	CONTRACT-GAP	public-model boundary	The closed enum contains only Image, Gradient, and Color.	Do not add a variant or encode content through an existing variant in this revision.
V3-O12	C00,C19	nonzero offset or angle	Both values must exist as current public fields and constructor arguments.	CONTRACT-GAP	public-model boundary	Offset and angle are absent from the current public crystalline model.	Do not smuggle them through size, spacing, relative, body, or item transform.
V3-O13	C00,C03,C23	fixtures/constructor-explicit-size.typ	Run the public assertion twice in the current crystalline universe; finite nonzero size and recoverable color body are required.	PASS	current-only constructor evidence	The assertion checks type identity and successful construction with explicit scalar size; contract C03 admits this only as current-constructor evidence.	This PASS cannot satisfy any SVG row or vanilla constructor parity; vanilla rejection leaves cross-implementation parity Unknown.
V3-O14	C00,C04,C23	fixtures/constructor-identity.typ	Run the public identity assertion twice in the current crystalline universe with recoverable body, size, spacing, and relative.	PASS	current-only constructor evidence	The assertion checks the L0 identity rule tiling(t) == t.	This PASS cannot establish SVG morphology, relative=parent semantics, pitch, or shared vanilla constructor parity.
V3-O15	C00,C22,C24	SVG observations V3-O01,V3-O02,V3-O03,V3-O06 repeated twice	Each base observation must first produce a semantic witness and verdict.	Unknown	metamorphic SVG determinism	The base SVG observations never reach a shared semantic witness; repeated absence/failure proves no semantic determinism.	Stable failure, repeated no-output, byte identity, or repeated Unknown cannot be reported as PASS.
V3-O16	C00,C22,C24	SVG observations V3-O03,V3-O01,V3-O02 reordered, then V3-O02,V3-O03,V3-O01	Each base observation must first produce a semantic witness and verdict.	Unknown	metamorphic SVG order invariance	The reordered cases still lack shared SVG witnesses; order-invariant absence is mechanics-only.	Do not promote merely because the same unresolved verdicts or bytes recur.
V3-O17	C00,C03,C22	fixtures/constructor-explicit-size.typ repeated twice and reordered with V3-O14	Both current-only assertions must independently execute and retain their exact claim_scope.	PASS	current-only constructor repeatability	C03 explicitly admits repeatable current constructor evidence; semantic witness is the assertion result, not SVG.	Do not widen either repeated PASS to cross-implementation or SVG parity.
V3-O18	C00,C04,C22	fixtures/constructor-identity.typ repeated twice and reordered with V3-O13	Both current-only assertions must independently execute and retain their exact claim_scope.	PASS	current-only constructor repeatability	C04 explicitly admits repeatable current identity evidence; semantic witness is the assertion result, not SVG.	Do not widen either repeated PASS to parent anchoring, pitch, or SVG parity.
V3-O19	C00,C21	all fallback-bearing roles	The fallback cause and affected role must be resolved before considering its color.	Unknown	fallback classification	A role-specific fallback marker is diagnostic and cannot establish a tiling server.	Unannotated solid reduction of an otherwise applicable conditional row is FAIL; explicit scope-outs remain CONTRACT-GAP.
V3-O20	C00,C23	invalid or opaque size/spacing eligibility	The public parser/constructor must resolve size components as finite and nonzero and spacing as finite.	Unknown	constructor eligibility boundary	No new executable invalid fixture is introduced under C01; opaque/parser failures remain Unknown.	Eligibility alone never establishes SVG equivalence, and no repaired parser form may be added to this frozen revision.
