attack_id	kind	validity	expected	adjudicated	clause	runner_exit	materialized_after_equal	materialized_sha256	mutation_denominator	killed	witness	status
A01-original-offset	negative	valid-negative	Violated	Violated	G04A;O01	0	true	5aacefe370f589cb3d90e8ba21bfcb4d7829d9963888a79552358c3faad3955b	included	true	g1 offset changed from 0.5 to 0.51	Preserved
A02-original-color	negative	valid-negative	Violated	Violated	G04A;O03	0	true	6a498fef6637faed1b47ecc93d9af008bc1d2da1c5bd0effba89d68a55181322	included	true	g0 encoded-sRGB color changed from 1.0 to 0.95 red	Preserved
A03-original-alpha	negative	valid-negative	Violated	Violated	G04A;O03	0	true	e32bee3fad2aa75f8d81597e19a66a326856b2cc2d75544d46b1c2d78817ac03	included	true	g0 alpha changed from 0.4 to 0.5	Preserved
A04-swap-exact-epsilon	negative	valid-negative	Violated	Violated	G04A;G04B;O02;O05	0	true	c7386d4e9468f815d66ba9b79f1f62e14cf512d48164103cf34217a5d7af5572	included	true	exact internal and epsilon-right structural selections are swapped	Preserved
A05-epsilon-uses-exact	negative	valid-negative	Violated	Violated	G04B;O05	0	true	a7c247488fbde2c43e69c5a81ed36ead6a0cb8bb4fc8d59e560791a0e841369a	included	true	epsilon-right incorrectly selects first coincident stop	Preserved
A06-adaptive-inside-envelope-control	positive-control	valid-positive-control	Preserved	Preserved	G04B;G05;O04;O05	0	true	3ccaa15537f698121193fa51ac935f4a792ad9e3f4a2b0ec077e256490f7958a	excluded	not-applicable	adaptive stop remains strictly inside owner interval and metrics remain below frozen limits	Preserved
A07-adaptive-outside-budget	negative	valid-negative	Violated	Violated	G04B;G05;O05	0	true	68e221464b95f0451c6c6593f34ec95960a0d9dcd49f9bb7966cd2d23b345cd2	included	true	color_max and color_p95 exceed frozen limits	Preserved
A08-drop-discontinuity	negative	valid-negative	Violated	Violated	G04A;G04B;O02	0	true	38e910e67966675e8fe1ee0a4163fc62081087cabdad9b5a335fbbe517942cc7	included	true	coincident multiplicity falls from two to one	Preserved
A09-reorder-discontinuity	negative	valid-negative	Violated	Violated	G04A;O02	0	true	f665fd13ad8ed7d9f2fd36eb77dc8434db3b8313c67e62ea30e0ae5af6470d5e	included	true	coincident stop order and structural branches change	Preserved
A10-truncate-interval	negative	valid-negative	Violated	Violated	G04B;O05	0	true	6acd53bddb47b7920657dffab5f97bbeab49094b4a2a6340b7efd1251b77a711	included	true	positive-width interval has an uncovered terminal segment	Preserved
A11-subdivisions-65	negative	valid-negative	Violated	Violated	G10;O06;O08	0	true	a9ee873a79b4f7cffb58f135a77bd09ffd5fb299efba56592b2478b49e44b7bb	included	true	subdivisions 65 exceeds limit 64	Preserved
