field	value
artifact	P1268-VERIFIER-V3-PRESEAL
suite_freeze_sha256	fc0b0b5c21449f945c886df10fb0a7ea80219dd92de856bd88d37825defa7ba7
preoracle_manifest_sha256	6ed7f67f11d4d886edef3c39bf327cb7ae96e3b2bdd17517fe90b3145f3fa76c
role_capabilities_sha256	bdb8b2ed03f9f83655c3505c73e53b85141a935f22c8238c76ec3fade5f6f876
head_drift_sha256	c9660d1451f0dafdbc631cae2153266e8fa0085426d6935fa85e79246c6ad1a2
contract_sha256	cb2aabaf36703bef3ef869f9a150ca8f38f5e596f1a8523c19016a283b024399
oracle_receipt_sha256	934c4d1341d753cec4a7fcd8a27209d7c4d17baf0507877a38210669df9d78c9
adversary_attacks_sha256	86393124a5209ab8376224a1a84a22d3275220a0869c4ce8bab530df35e3af8b
mutation_score	1.0
valid_negative_killed	24/24
negative_unknown	0
positive_control	1/1 Preserved
explicit_opaque	10/10 Unknown;counts_as_success=false
technical_gates	ALL PASS
capability_gates	ALL PASS;breach=false
head_drift	ACCEPTED-AS-PROVENANCE-ONLY
filesystem_isolation	NOT TECHNICALLY ATTESTED
attestation	segregacao processual
verdict	PRESEAL-ISSUED
scope	frozen P1268 observable fragment only;no general functional equivalence claim
final_seal	NOT ISSUED
verifier_output_sha256	/tmp/p1268/verifier_v3/hash-audit.tsv sha256:4b105156237945ac7e0219c17aca994c76d46ff61e5d6a45cdbf183357871c50
verifier_output_sha256	/tmp/p1268/verifier_v3/fixture-closure.tsv sha256:2725db4f7a6ae0f97bee82c4593442dcfd5d5fd898d2f12d414ce7745f218340
verifier_output_sha256	/tmp/p1268/verifier_v3/mask-closure.tsv sha256:98de0ec70dfca524ca428b5498c9339b7f901ce56ef94c4471ecd39d926c1b46
verifier_output_sha256	/tmp/p1268/verifier_v3/materialization-closure.tsv sha256:1ea7d40a9fc0dd46f1f039f73ddaee63c39f424dd270fd49bfd790240f98e5bc
verifier_output_sha256	/tmp/p1268/verifier_v3/mutation-verdicts.tsv sha256:33e177d9633d168b0786922d564b24c6bee9e4a5a32e6a698410d00700b219c7
verifier_output_sha256	/tmp/p1268/verifier_v3/opaque-verdicts.tsv sha256:306eb0e88e6720ffaec4cd1a119fac84c8a3a0fb3f8415f4fa46e30c59762ca6
verifier_output_sha256	/tmp/p1268/verifier_v3/technical-gates.tsv sha256:d0d2ba6c774715fed527e1af3a7f9eee3afe335f7db979392458b5376aad9f4e
verifier_output_sha256	/tmp/p1268/verifier_v3/capability-gates.tsv sha256:82f82b9afdc9e67c76b5366d6535ec3e6f25d0e36bad02dd2af7e3fb50b884a4
verifier_output_sha256	/tmp/p1268/verifier_v3/content-reads.tsv sha256:d01ca9806c5cde2ebcdeba0ea16354bc2c8cd3829f7bc932e77bfce1d8b3ac8e
verifier_output_sha256	/tmp/p1268/verifier_v3/commands.tsv sha256:c24ff4667971161116e5e36019ce88af67c8b9d7d39e8ff6b14362fce83573d0
verifier_output_sha256	/tmp/p1268/verifier_v3/receipt.tsv sha256:4b3bb4faa1ac60e0f7ca9c812a7fc71e9cfe360e98f020cba3bfdb357ec85d1d
verifier_output_sha256	/tmp/p1268/verifier_v3/finalize_verification.py sha256:520e254321418f633ea7056b90ad6235fbf253ebf808b369a93d59fa56b817a0
