id	frozen_evidence	current_public_input	vanilla_execution	crystalline_execution	svg_observation	maximum_v3_verdict	claim_boundary	evidence_basis
K00	O01	Color; explicit finite nonzero size; relative=self; fill	Rejected color where Content is required	Rejected before SVG by the frozen rect expression	None	Unknown	No paint-server, units, role, or morphology PASS may be inferred.	verifier O01; vanilla tiling.rs:230-232
K01	O02	Color with non-unit alpha; explicit size; fill	Rejected before SVG	Rejected before SVG	None	Unknown	Alpha preservation is unmeasured; opaque or double-alpha mutations are FAIL only when alpha is recoverable.	verifier O02,A12,A13
K02	O03	Color; explicit asymmetric size and spacing; fill	Rejected before SVG	Rejected before SVG	None	Unknown	Pitch, axes, viewport and repetition cannot PASS from construction or attributes alone.	verifier O03,A04-A08,A27
K03	O04	Color; explicit size; stroke	Rejected color/content form	Current frozen stroke expression cannot be formed	None	CONTRACT-GAP	No stroke carrier/API change or surrogate fill is authorized.	verifier O04,A15
K04	O05	Color; explicit size; relative=self; two uses	Rejected before SVG	Rejected before SVG	None	Unknown	Uniform color supplies no phase landmark; transform-count and self anchoring remain unmeasured.	verifier O05,A09,A16,A17
K05	O06	Color; explicit size; relative=parent	Rejected before SVG	Parent is stored but its current consumer is the same as self; probes fail	None	CONTRACT-GAP	Parent-relative continuity cannot be promoted without parent identity/geometry reaching the pipeline.	tiling-stdlib L0 section 6; verifier O06,A10,A11
K06	O07	Color; size=auto/None	Rejected before SVG	No intrinsic geometry for flat color	None	CONTRACT-GAP	No arbitrary tile size, painted bbox, or fallback may stand in for intrinsic morphology.	verifier O07,A21
K07	O08	TilingBody::Image with intentionally absent bytes	No constructible image content in frozen fixture	Real Image consumer is scope-out and bytes are absent	None	CONTRACT-GAP	No invented bytes or black/color surrogate.	entities/tiling L0 sections 3-5; verifier O08,A23
K08	O09	TilingBody::Gradient	Direct Gradient is not the required Content body	Constructor explicitly rejects Gradient; entity variant is placeholder	None	CONTRACT-GAP	No indirect wrapping or first-stop surrogate.	entities/tiling L0 sections 3-5; tiling-stdlib L0; verifier O09,A24
K09	O10	arbitrary Content	Accepted and SVG emitted	Not representable by current TilingBody	Vanilla only	CONTRACT-GAP	No new variant and no encoding through an existing body variant.	vanilla tiling.rs:230-232,282-316; verifier O10,A25
K10	O11	nonzero offset or angle plus arbitrary body	Accepted and SVG emitted	Fields absent; body also not representable	Vanilla only	CONTRACT-GAP	Only implicit zero absence is conditionally in scope; no indirect encoding.	vanilla tiling.rs:260-276,304-315,372-377; verifier O11,A26
K11	O12	repeat of O01-O03	Repeated pre-SVG failures	Repeated pre-SVG failures	None	Unknown	A repeated failure is not semantic determinism; any PASS claim from it fails C22.	verifier O12
K12	O13	reordering of O01-O03	Same pre-SVG failures in another order	Same pre-SVG failures in another order	None	Unknown	Stable failure/order or byte identity is not witness invariance; any PASS claim from it fails C22.	verifier O13
K13	O14	existing explicit-size constructor assertion	Rejected scalar size in frozen vanilla fixture	Compiled twice with recoverable current value	No shared SVG	PASS	Current-constructor evidence only; cross-implementation constructor parity and SVG parity remain unclaimed.	verifier O14
K14	O15	existing identity constructor assertion	Rejected color as Content	Compiled twice with identical current result	No shared SVG	PASS	Current-constructor identity only; no vanilla or SVG parity.	verifier O15
K15	A02	definitely absent, sterile-cyclic, dangling, or wrong-kind pattern target	Not applicable to a positive fixture	Conditionally observable if a graph is produced	Conditional graph evidence	FAIL	Unlike an unresolved parser, a proved malformed graph is not Unknown.	verifier A02; contract C05
K16	A22	non-positive or non-finite explicit size	Vanilla rejects nonzero/nonfinite violation	Not eligible for a positive claim regardless of constructor mechanics	No admissible positive SVG	FAIL	Invalid size cannot be promoted; constructor behavior alone is not equivalence.	vanilla tiling.rs:233-247; verifier A22
K17	A19-A20	annotated fallback or opaque construction/parser	Not a positive tiling witness	Represented but unresolved	No resolved morphology	Unknown	Unknown remains explicit and never counts as PASS.	verifier A19,A20
