case	classification	counts_as_success	mutation_numerator	effect	resolution_required
valid-fixture-missing-source	Unknown	false	excluded	blocks affected pair and invalidates population completeness	recover exact frozen source and identity
svg-server-missing-or-ambiguous	Unknown	false	excluded	blocks affected pair;never substitutes fallback equivalence	resolve graph ownership and URL target
oracle-unavailable	Unknown	false	excluded	blocks affected pair and requires rerun	restore independent language oracle
budget-missing-or-drifted	Unknown	false	excluded	invalidates future seal from budget-author phase	restore and hash frozen per-fixture budgets
raster-mask-ambiguous	Unknown	false	excluded	blocks affected pair for raster-dependent fixture	derive mask from graph and geometry independently
mesh-budget-exhausted	Unknown	false	excluded	blocks affected pair;cannot be converted to pass	rerun within published resource bound or narrow scope explicitly
original-adaptive-provenance-ambiguous	Unknown	false	excluded	blocks G04A and G04B;literal effective-offset equality cannot substitute	publish origin/adaptive labels and interval ownership
adaptive-carrier-different-envelope-preserved	Mechanics-only	false	not-a-mutant	f32/f64 identity,count or textual offset alone neither passes nor fails	judge G04A original stops plus G04B/G05 envelope
interval-cost-unattributed	Unknown	false	excluded	blocks G10 even when total emitted count is known	publish M,R,each a_i,subdivision maximum and midpoint decisions
global-stop-count-over-64	Not-a-violation	false	not-a-mutant	does not decide G10;global bound depends on M and R	apply E<=M+63R and all per-interval bounds
s20-painted-support-ambiguous	Unknown	false	excluded	blocks S20;positive area alone is insufficient	compare independently derived vanilla/candidate stroke-support morphology and graph
s21-zero-fill-support-ambiguous	Unknown	false	excluded	blocks S21	prove no positive-area fill and closed/correct graph
unsupported-control-space	Unknown-control	false	excluded	proves fallback policy only;outside four promotion denominators	keep explicit fallback marker
invalid-public-input	Rejected-by-domain	false	not-a-mutant	must be rejected;never classified Unknown or Preserved	compare rejection semantics
valid-positive	Preserved	true	n/a	all applicable candidate-v2 language observables pass	requires future sealed oracle/attack execution
valid-negative	Violated	false	n/a	one or more candidate-v2 language obligations fail	retain witness
executed-negative-mutant	REJECTED	false	included	counts only when executable,valid and demonstrably killed	retain deterministic witness
non-executable-proposal	NOT-COUNTED	false	excluded	cannot contribute to mutation score	make executable or exclude with reason
historical-p1266-result	Immutable-history	false	excluded	P1266 rows and certificate are not rewritten or promoted	produce new R2 results under sealed contract
r2-pre-oracle-pair	Unknown-generalization	false	excluded	candidate contract is unsealed and no pair may pass in this phase	independent oracle,attacks,score 1.0 and seal in later phase
