mutant_id	mutation	contract_targets	execution_witness	expected	status
M01-drop-one-pair	execute only three pair populations	G01;G12	population guard reports missing 24-row pair	REJECTED	PLANNED
M02-linear-promotes-radial	copy Linear verdict to Radial without Radial execution	G12	Radial receipt absent despite Linear 24/24	REJECTED	PLANNED
M03-oklab-promotes-linear-rgb	copy Oklab verdict to LinearRgb	G12	LinearRgb receipt absent despite Oklab 24/24	REJECTED	PLANNED
M04-use-only-p1237	drop S02-S24 and retain prior six fixtures	G01;G11	generalization population falls below 24 per pair	REJECTED	PLANNED
M05-ignore-color-p95	decide only color_max	G05	fixture whose max passes while p95 fails	REJECTED	PLANNED
M06-ignore-alpha	remove alpha_max and alpha_p95	G04;G05	alternating and near-transparent alpha witnesses	REJECTED	PLANNED
M07-alpha-after-u8	quantize alpha before comparison	G05	float-alpha witness changed or hidden by byte quantization	REJECTED	PLANNED
M08-widen-budget	multiply one frozen V_* limit	G05	budget hash and value guard	REJECTED	PLANNED
M09-candidate-guided-mask	crop/erode/realign local raster mask after candidate output	G06	pre-candidate mask hash mismatch	REJECTED	PLANNED
M10-drop-degenerate	remove zero-width/zero-height fixtures	G01;G07	S20/S21 coverage guard	REJECTED	PLANNED
M11-positive-paint-zero-area	permit nonzero painted pixels for a degenerate box	G07	zero-area morphology witness	REJECTED	PLANNED
M12-reset-anti-alias-on-repeat	force repeat result to anti_alias=true	G08	S18/S24 sharp-then-repeat witnesses	REJECTED	PLANNED
M13-ignore-transform	compare paint curve but omit item transform	G03;G06;G09	asymmetric landmarks after rotate/skew/reflection	REJECTED	PLANNED
M14-double-transform	apply transform in geometry and again in SVG	G03;G06;G09	composed-transform landmark displacement	REJECTED	PLANNED
M15-dedup-coincident	remove one coincident stop	G04	S07-S09 right-continuity witness	REJECTED	PLANNED
M16-sort-invalid-offsets	silently sort decreasing public offsets	G02	I03 must be rejected by domain	REJECTED	PLANNED
M17-clamp-invalid-offsets	silently clamp offsets outside [0,1]	G02	I04/I05 must be rejected by domain	REJECTED	PLANNED
M18-invalid-as-unknown	classify accepted invalid input as opaque	G02;G12	invalid-domain status cannot enter Unknown	REJECTED	PLANNED
M19-unknown-as-success	count missing server/oracle as Preserved	G03;G05;G12	opaque control remains Unknown and blocks affected pair	REJECTED	PLANNED
M20-ignore-cost	omit adaptive decision/stop counts	G10	missing per-fixture cost receipt	REJECTED	PLANNED
M21-raise-cap	increase cap from 64 to accept an expensive fixture	G10	cap constant and emitted-stop guard	REJECTED	PLANNED
M22-order-sensitive	share mutable state between direct and inverse traversal	G13	direct/inverse canonical output mismatch	REJECTED	PLANNED
M23-promote-productively	modify paint_is_svg_native after diagnostic success	G14	productive diff guard	REJECTED	PLANNED
M24-general-equivalence	label fragment certificate as all-SVG equivalence	G14	scope string and certificate guard	REJECTED	PLANNED
