probe_id	profile	phase	universe	raw_channel_state	frozen_projection	projection_state	current_language_class	interpretation	cohort_id	measurement_ref	overlay_ref
P1137-S-001	default	normal	transversal	RAW_DIFFERENCE	exit_code	MATCH	MATCH_PROJECTED_LANGUAGE	Mensagem e span permanecem caso posterior; este caso prova rejeição.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-S-001	
P1137-E-001	default	normal	transversal	RAW_DIFFERENCE	semantic_version	MATCH	MATCH_PROJECTED_LANGUAGE	Semantic version projection equal; differing build stamp is mechanical provenance, not sys.version claim.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-E-001	
P1137-B-001	default	normal	transversal	RAW_EQUAL	capability	MATCH	MATCH_PROJECTED_LANGUAGE	Subcomando eval exposto para expressão isolada; JSON e raw no escopo inicial.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-B-001	
P1137-I-001	default	normal	transversal	RAW_DIFFERENCE	capability	MATCH	OPEN_QUERY_DIAGNOSTIC_OR_CLI_CAPABILITY	Default query migration hint differs; feature-bearing query can be rejected by crystalline. Retain complete channels; query capability projection is not full CLI parity.	query-cli-diagnostic	00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-I-001	
P1137-L-001	default	normal	transversal	RAW_EQUAL	artifact_presence	MATCH	MATCH_PROJECTED_LANGUAGE	Smoke de layout; não afirma igualdade geométrica ou visual.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-L-001	
P1137-X-001	default	normal	transversal	RAW_EQUAL	capability	MATCH	MATCH_PROJECTED_LANGUAGE	Capacidade real presente; o texto do --help cristalino está desatualizado.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-X-001	
P1137-X-002	default	normal	transversal			DISABLED_BY_PROFILE	EXPECTED_FEATURE_DISABLED	Subconjunto HTML inicial: a fixture plain é byte-idêntica; o backend permanece experimental e incompleto.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-X-002	
P1137-X-003	default	normal	transversal	RAW_EQUAL	capability	MATCH	MATCH_PROJECTED_LANGUAGE	Capacidade real presente; o texto do --help cristalino está desatualizado.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-X-003	
P1137-C-001	default	normal	transversal	RAW_DIFFERENCE	cli_surface	MATCH	CLI_HELP_SURFACE_NOT_FULL_PARITY	Help availability measured; complete help text differs and is retained. No full CLI documentation parity credit.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-C-001	
P1137-C-002	default	normal	transversal	RAW_EQUAL	capability	MATCH	MATCH_PROJECTED_LANGUAGE	Fixture @preview local versionada; ambos resolvem sem rede.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1137-C-002	
P1138-S-001	default	normal	transversal	RAW_DIFFERENCE	diagnostic	DIFFERENCE	LOCATION_CONTROLLED_DIAGNOSTIC	External fixture display path differs; same source relocated under repository has literal bilateral diagnostic equality in location control. Raw external path difference retained, no message/span regression claim.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1138-S-001	
P1138-S-002	default	normal	transversal	RAW_DIFFERENCE	diagnostic	DIFFERENCE	LOCATION_CONTROLLED_DIAGNOSTIC	External fixture display path differs; same source relocated under repository has literal bilateral diagnostic equality in location control. Raw external path difference retained, no message/span regression claim.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1138-S-002	
P1138-S-003	default	normal	transversal	RAW_DIFFERENCE	diagnostic	DIFFERENCE	LOCATION_CONTROLLED_DIAGNOSTIC	External fixture display path differs; same source relocated under repository has literal bilateral diagnostic equality in location control. Raw external path difference retained, no message/span regression claim.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1138-S-003	
P1138-B-001	default	normal	transversal	RAW_EQUAL	typed_value	MATCH	MATCH_PROJECTED_LANGUAGE	Distingue bool/int e canonicaliza somente ordem de dict.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1138-B-001	
P1138-X-001	default	normal	transversal	RAW_EQUAL	semantic_tree	MATCH	MATCH_PROJECTED_LANGUAGE	P1220 resolve referências, transforms matriciais e paths de glifo; construções fora do vocabulário focal permanecem Unknown.		00_nucleo/diagnosticos/p1335-transversal-r3.json#normal/default/P1138-X-001	
