attack_id	mutation	witness	expected	observed	status
A01	keep P1266 offset parser as f32	S03-linear-linear-rgb/color_p95	Violated	0.002608900768223896 > 0.0026050877217766648	REJECTED
A02	parse only offset as f64	S03-linear-linear-rgb/color_p95	Preserved	0.002604143738174442 <= 0.0026050877217766648	KILLED-C1
A03	blame adaptive algorithm under equivalent inputs	all 28 metrics	at least one failure if adaptive is first cause	vanilla-meta-serialized@vanilla-exact = 28/28 Preserved	REJECTED
A04	replace metadata but retain candidate exact	S06-linear-oklab/color_p95	still Violated because sampling is independent	0.003167027785872997 > 0.003162729858804235	CONFIRMED-SEPARATION
A05	replace only Oklab metadata under vanilla exact	S06-linear-oklab/color_p95	Preserved	0.003161729858804235 <= 0.003162729858804235	KILLED-C2
A06	replace only repeated metadata under candidate exact	S16-linear-linear-rgb/color_p95	Preserved	0.002491067655848523 <= 0.002492069229077084	KILLED-C3
A07	replace only exact mesh; retain candidate adaptive stopset	S11-radial-oklab/color_max	Preserved	0.017214349542560282 <= 0.017215349542555467	KILLED-C4
A08	use raw un-serialized offsets as universal repair	all 28 metrics	all Preserved	20 Preserved; 8 Violated	REJECTED
A09	widen any frozen budget	input manifest and P1269 numeric receipt	no digest or value change	fresh vanilla limits equal frozen limits; max absolute delta 0.0	REJECTED
A10	group C2 and C3 by common p95 symptom	S06/S22 versus S16	same first field and owner	component/Color owner versus offset/repeat owner	REJECTED
