id	kind	contract_rows	fixture	morphological_observable	expected_result	witness
O01	positive	C01	One group at pos (11,13), identity matrix, clip_mask=None; child is a 20x20 solid square spanning local [0,20]x[0,20].	Visible child region and absence of an additional semantic clip edge owned by the group.	Preserved: the visible region is the complete child square translated to [11,31]x[13,33], and the group owns no clip reference.	Interior samples (12,14) and (30,32) are visible; no locally resolved clip definition is reachable from this group.
O02	positive	C02,C07	One group at pos (10,20), matrix scale(2,1), inner_width=8, inner_height=6, clip_mask=Rect; child solid square spans local [-2,10]x[-2,8].	Rectangular intersection and relative alignment of clip and child after one shared position/transform application.	Preserved: only child points whose local coordinates lie in [0,8]x[0,6] remain visible; the shared group mapping sends that region to page [10,26]x[20,26].	Local (4,3), page (18,23), is visible; local (-1,3), page (8,23), and local (9,3), page (28,23), are clipped.
O03	positive	C03	One local 20x12 group with RoundedRect clip radii top-left=5, top-right=3, bottom-right=2, bottom-left=1; an opaque 20x12 child covers the bounds.	Visible rounded-rect region with bounds and four corner radii transported without permutation or collapse.	Preserved: center and edge-interior content survives, while each corner follows its independently declared radius.	Local center (10,6) is visible; local (0,0) is clipped; the four distinct corner arcs are witnessed by the ordered radius tuple (5,3,2,1), not by a single SVG rx/ry shorthand.
O04	positive	C04	One local 20x10 group with Ellipse clip; an opaque 24x14 child spans [-2,22]x[-2,12].	Elliptical intersection derived from inner_width and inner_height in local space.	Preserved: the visible region is the ellipse centered at (10,5) with radii (10,5), with no surviving content merely because it is inside the bounding rectangle.	Local (10,5) and (19,5) are visible; local (0,0), (1,1), and (21,5) are clipped.
O05	positive	C05	One group with a finite closed Path clip: outer subpath M0,0 L12,0 L12,12 L0,12 Z followed by inner subpath M4,4 L4,8 L8,8 L8,4 Z; child covers [0,12]x[0,12].	Nonzero-winding region, declared subpath order, direction, segments, and closure.	Preserved: opposite winding makes the inner subpath a hole under nonzero semantics; content in the outer ring survives and content in the hole does not.	Local (2,2) is visible and (6,6) is clipped; the witness requires both closed subpaths in their declared order and directions.
O06	positive	C06,C07	Outer group at pos (5,7), matrix translate(3,0), Rect clip 12x10; inner group at local pos (6,2), matrix identity, Ellipse clip 8x8; opaque inner child covers local [-2,10]x[-2,10].	Intersection of ancestral and local clips plus one shared spatial mapping per group.	Preserved: descendant visibility equals the inner ellipse intersected with the outer rectangle after the declared nested mappings; neither clip replaces the other or receives an extra transform.	Page (15,13), corresponding to inner local (1,4), is visible; page (20,13), inner local (6,4), is inside the ellipse but outside the mapped outer clip and is clipped; inner local (-1,4) is clipped by the ellipse.
O07	positive	C08,C09	Two groups use geometrically equal Rect clips in the same local basis and children filled by one local linear-gradient paint server; compare documents that alpha-rename every clip/paint ID and reorder defs while preserving all owner-to-definition edges.	Resolved semantic graph, owner/clip spatial equivalence, visible clipping, and preservation of the independent paint-server edge.	Preserved: both documents have the same clipped gradient-filled visible regions; each group reaches exactly one intended clip definition and each fill reaches the intended gradient. Equivalent clip definitions may be shared, but paint and clip references remain typed and resolved.	Graph witness per document: group-A -> clip-rect, group-B -> clip-rect, child-A.fill -> gradient, child-B.fill -> gradient; all four edges resolve locally, and samples inside/outside the rectangle agree after renaming and defs reordering.
O08	opaque	C05,C10	A finite compound Path clip with two same-direction nested closed subpaths, accompanied by an external requirement that the inner subpath be a hole under even-odd semantics; clip_mask carries no fill-rule.	Whether the intended even-odd clipping region is preserved when the carrier exposes only path geometry.	Unknown: do not claim Preserved, do not reinterpret the intended hole as an equivalent nonzero region, and do not use downstream pixels as proof of equivalence.	Local (2,2) is inside both intended and nonzero regions, while (6,6) must be clipped under the required even-odd rule but visible under nonzero; this discriminating sample proves the unavailable rule matters.
O09	opaque	C11	A requested alpha mask whose geometry covers a 10x10 child but whose alpha ramps continuously from 0 at x=0 to 1 at x=10, presented through the clip_mask request boundary.	Alpha-dependent partial visibility, distinct from binary geometric membership.	Unknown: report unsupported/CONTRACT-GAP without claiming that clipPath, mask, filter, opacity, rasterization, or a solid clip preserves the requested semantics; do not silently remove the child.	At local (5,5) the requested coverage is 0.5, while a geometric clip can witness only inside/outside; endpoint witnesses are alpha 0 at (0,5) and alpha 1 at (10,5).
O10	opaque	C12	Three variants: Rect with inner_width=NaN, RoundedRect with one absent corner radius, and Path with one nonfinite control point.	Absence of false semantic promotion when no finite complete clip region can be established.	Unknown for every variant: explicitly unsupported/CONTRACT-GAP, with neither Preserved nor visible output used as equivalence evidence; content is neither silently treated as unclipped nor silently erased.	The failing witnesses are respectively the NaN bound, the missing bottom-right radius, and the nonfinite curve control point; each prevents construction of a finite complete region.
