observable	preserved	violated	unknown	mechanics_outside_gate
resolved-font-identity	Each direct glyph uses the complete FontKey resolved by the pipeline for its normalized GlyphFontRequest; with two supplied fonts sharing the same glyph_id, the visible outline is the one belonging to that resolved identity	The exporter probes incidental fonts by glyph_id, chooses a different face, uses collection position or silently defaults to the first font	The request has no association, maps to conflicting FontKeys, the mapped FontKey is absent from the supplied collection, or identity cannot be established uniquely	Font collection index, lookup data structure, traversal order and XML identifier spelling
request-key-stability	Equal normalized requests within one compilation resolve to the same complete FontKey; base_char, requested family, variant, variations and mathematically relevant resolution state distinguish requests when they affect the chosen face	Occurrence identity, address, traversal position or an incomplete key merges observably different faces or splits equal requests into inconsistent results	The available carriers cannot establish that two requests are equal or distinct, or equal keys have conflicting resolved results	Hash algorithm, field serialization and map iteration order
outline-morphology	The visible contour of the selected glyph_id from the resolved face is preserved, including holes, curves and the selected mathematical variant	A different glyph, tofu, base_char substitute, missing contour or observably altered contour is emitted	The face is invalid, glyph_id is absent, outline extraction is unsupported, or the glyph is an image/color glyph outside the demonstrated outline fragment	Path command spelling, point ordering that yields the same contour, defs/use choice and deduplication strategy
position-and-scale	The glyph contour appears at the FrameItem::Glyph position and at size / units_per_em scale exactly once	Position, scale or baseline differs observably; translation or scale is omitted or applied more than once	Position or size is non-finite, units_per_em is zero, or the landmark cannot distinguish the transform	Matrix factorization, transform attribute placement and numeric lexical spelling when morphology is equal
y-axis-orientation	An asymmetric outline has the intended upright visible orientation after exactly one font-space Y inversion	The outline is vertically mirrored, remains in font Y-up space, or is inverted twice	The chosen outline is vertically symmetric or has insufficient landmarks to distinguish orientation	Whether inversion is baked into path coordinates or represented by an SVG transform
fill-and-alpha	The glyph interior carries style.fill with the same visible color and alpha, including under ancestor transforms	Fill hue, coverage or alpha changes, disappears, becomes opaque, or leaks to another glyph	The paint kind is outside the supported observation, depends on unavailable parent-space information, or cannot be rendered by the oracle	Color lexical form, attribute versus style spelling and equivalent paint-server IDs
assembly-multiple-pieces	Every direct glyph piece in a mathematical assembly uses its own resolved request and preserves the visible multi-piece morphology, positions, scale and fill without joining, dropping or substituting pieces	Any piece is missing, duplicated, uses a wrong face or glyph, overlaps incorrectly, or is synthesized from base_char in place of the selected assembly	Any required piece has absent or ambiguous association, unavailable face, invalid scale or missing outline; the whole assembly claim remains Unknown rather than partially Preserved	Number and order of defs, reuse of equal outlines and IDs when all visible pieces remain equivalent
transform-composition	Ancestor and glyph-local transforms compose once so the final contour, position and fill occupy the intended page-space geometry	A transform is ignored, reordered non-equivalently or applied twice, changing the visible contour or location	A transform is non-finite, non-representable or observationally ambiguous for the selected outline	Equivalent matrix decomposition and nesting of g/use/path elements
advance-noninterference	x_advance remains layout geometry already reflected by external placement; exporting one direct glyph does not reshape text, move subsequent items or recalculate the cursor	The exporter applies x_advance again, performs shaping, or changes subsequent page-space positions	The observation lacks a subsequent landmark or layout carrier capable of distinguishing cursor movement	Whether x_advance is read but ignored internally
collection-reordering	Reordering the supplied font collection leaves every request mapped to the same complete FontKey and produces the same visible glyph morphology and verdict	Reordering changes the selected face, outline, fill, position or a Preserved/Unknown classification	A required FontKey is absent or ambiguous in either collection, so no preservation claim can be made	Output byte order, defs order and renaming of equivalent IDs
fontless-wrapper	Wrappers explicitly supplied without fonts retain the documented scope-out and do not fabricate an outline or textual fallback	A wrapper invents system-font, network-font, base_char text, tofu or an incidental outline and labels it preserved	The canonical verdict for a direct glyph requiring a font in this wrapper is Unknown; omission alone is not promoted to Preserved	Presence of unrelated non-glyph SVG content
determinism	Repeated evaluation of the same frozen requests, FontKey associations, font bytes and frames yields identical per-glyph semantic observations and verdicts	A repeated or reordered run changes font identity, contour landmarks, page-space geometry, paint or verdict	Any underlying case is canonically Unknown; repetition must reproduce Unknown and never upgrade it	Whole-document bytes, base64, XML attribute order, defs order and generated ID spelling
