gate	status	evidence
geometry-l0-approval	PASS	user Execute after P1224 requested explicit confirmation
geometry-red	PASS	missing complex types/defaults compile failure
entity-test	PASS	2 focused typst-core P1224 tests
svg-test	PASS	1 focused typst-infra P1224 test
mechanical-consumers	PASS	cargo check typst-core+typst-infra
mutation-gate	PARTIAL	7 focal mutants covered; full 25+9 suite not executed
public-ab	RED	vanilla exit 0; crystalline JSON serialization remains exit 1
cli-l0	GATED	00_nucleo/prompts/shell/cli.md P1224 proposal awaits confirmation
paths	NOT-RUN	correctly stopped at public gate
isolation	NOT-ATTESTED	roles shared one session and writable tree
