field	value
step	P1254 sanitized revalidation
protocol	tekt-materializacao-segregada; post-materialization audit; no strong isolation attestation
head	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
measured_at	2026-08-28T16:32:51-03:00
working_tree	uncommitted; shared tree; git diff HEAD --stat: 82 files changed, 4763 insertions, 496 deletions
ratified_vanilla	a51e02804
entities_l0	00_nucleo/prompts/entities/tiling.md
entities_l0_sha256	3702df6ebf461d79d9325a5bbe8fa9be798f0e30c40550a5ad0cefaf712f62c3
stdlib_l0	00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md
stdlib_l0_sha256	00c7c54d9ec547e9ab0054d58656093b33c40a12daa6cabe698caeff8dcbd149
layout_l0	00_nucleo/prompts/compiler/layout/tiling.md
layout_l0_sha256	ef6797e5fe4d5dc9c1c7b1069067153c6813e8c22b60e803de5138f85af61cfd
contract_sha256	48f509b90518fb92ee1895706888b13d5a352f8ccd4344b94bd7a720ffc158d3
oracles_sha256	09a8902577fcb8c22061c619255c0c3c49436f2bfdb039062774d15bc03db45c
attacks_sha256	5f500124e4cf0f8bf999ec755e8f95ef0e793077b805eef3353885a8809b36ce
prior_preseal	INVALIDATED_BY_L0_BYTE_CHANGE; semantic decision unchanged; historical evidence retained
unknown_policy	stroke, PDF, HTML and unsupported fallback remain Unknown; no cross-role or cross-target promotion
productive_semantic_writes	NONE
metadata_writes	L0 historical gate wording corrected; two consumer prompt hashes resealed
attestation	EXECUTADO SEM ATESTAÇÃO DE ISOLAMENTO
