case	category	corpus	families	family_count	expected	component_verdicts	witness	fixture	executable_criterion
P01-tiling-clip-same-page-link	positive	C01-tiling-clip-link	tiling-fill;geometric-clip;same-page-internal-link;transform	4	Preserved	tiling=Preserved;clip=Preserved;same-page-link=Preserved;transform=Preserved	Red and blue 8x8 tiles repeat only inside a translated then rotated rounded clip; one clickable descendant resolves once to destination landmark at page position 140 36	Finite two-color tile with spacing 3 5, noncommuting translate/rotate group, asymmetric rounded clip, source link and homologous page-local destination	Build typed reference graph and rasterize fixed page-space samples; require one compatible pattern edge, one clip edge, one closed destination edge, correct tile phase inside clip, transparency outside, and unchanged hit region
N01-cross-namespace-capture	negative	C01-tiling-clip-link	tiling-fill;geometric-clip;same-page-internal-link;transform	4	Violated	tiling=Violated;clip=Violated;same-page-link=Violated;transform=Preserved	Pattern, clip and destination share source label k; destination href is captured by the clip definition so the edge is type-incompatible and the clickable region has no homologous node	P01 with deliberate source-label collision across pattern clip and destination namespaces	Canonical typed graph reports destination-use to clip-path target or pending destination edge; that concrete cross-kind capture is Violated even if XML IDs are well formed
U01-nonfinite-tiling-carrier	opaque	C01-tiling-clip-link	tiling-fill;geometric-clip;same-page-internal-link;transform	4	Unknown	tiling=Unknown;clip=Preserved;same-page-link=Preserved;transform=Preserved	Tile cell width is NaN while transformed clip and same-page destination remain finite; no repeat pitch can be established	P01 with nonfinite tiling cell width and all other carriers intact	Require tiling Unknown without synthetic pattern or positive tiling count; independently require closed local link graph and valid clip observations
P02-alpha-oriented-image-cover	positive	C02-paint-image-cover	gradient-paint-server;alpha;EXIF-oriented-raster-image;cover-clip	4	Preserved	paint=Preserved;alpha=Preserved;orientation=Preserved;image=Preserved;cover-clip=Preserved	Red-to-green gradient at alpha 0.5 remains visible behind an asymmetric EXIF-6 image whose red corner is upper-right; center cover landmark survives and both overflow landmarks are transparent	Finite gradient, transparent background, 3x2 asymmetric PNG/JPEG landmark payload with orientation 6, resolved box 40x20 and page-space cover clip 20x20	Sample RGBA at two gradient stops, four oriented corners, center and two overflow points; decode coherent media kind and require single orientation plus exact clip intersection
N02-alpha-lost-clip-wrong-space	negative	C02-paint-image-cover	gradient-paint-server;alpha;EXIF-oriented-raster-image;cover-clip	4	Violated	paint=Preserved;alpha=Violated;orientation=Preserved;image=Preserved;cover-clip=Violated	Gradient becomes opaque and cover clip is translated twice; expected translucent purple sample becomes solid red while an internal green image landmark is removed	P02 with alpha forced to 1 and clip coordinates rebased a second time	Fixed RGBA samples distinguish opacity loss and measured page-space bounds distinguish the double clip translation
U02-ambiguous-image-kind	opaque	C02-paint-image-cover	gradient-paint-server;alpha;EXIF-oriented-raster-image;cover-clip	4	Unknown	paint=Preserved;alpha=Preserved;orientation=Unknown;image=Unknown;cover-clip=Unknown	Image bytes have no supported signature and no conservative SVG root; orientation and cover pixels cannot be observed although the independent gradient remains measurable	P02 paint fixture plus ambiguous image bytes with otherwise declared orientation and clip carriers	Require image-dependent components Unknown with explicit fallback and no invented MIME; keep independent paint and alpha Preserved
P03-glyph-link-nested-transform	positive	C03-glyph-link-transform	direct-math-glyph;same-page-internal-link;nested-noncommuting-transform;fill-alpha	4	Preserved	font-identity=Preserved;glyph=Preserved;fill-alpha=Preserved;transform=Preserved;same-page-link=Preserved	Font Beta glyph_id 37 solid circle, not Font Alpha hollow triangle with same ID, appears red alpha 0.25 after one Y inversion and translate-then-rotate nesting; enclosing link closes at destination 90 70	Two colliding fonts with request mapped to complete FontKey Beta, asymmetric contour marker, nested noncommuting transforms, translucent fill and page-local destination	Reverse font collection, compare contour landmarks and page bounds, sample fill RGBA and require one compatible local link edge with unchanged clickable descendants
N03-incidental-font-and-double-transform	negative	C03-glyph-link-transform	direct-math-glyph;same-page-internal-link;nested-noncommuting-transform;fill-alpha	4	Violated	font-identity=Violated;glyph=Violated;fill-alpha=Preserved;transform=Violated;same-page-link=Preserved	Exporter selects first Font Alpha hollow triangle for glyph_id 37 and applies ancestor rotation twice; contour and notch quadrant differ despite a still-closed link	P03 with Alpha first and duplicated ancestor transform	Contour classifier must see wrong face and page-space landmark must match doubled rotation; either semantic contradiction yields Violated rather than Unknown
U03-font-association-conflict	opaque	C03-glyph-link-transform	direct-math-glyph;same-page-internal-link;nested-noncommuting-transform;fill-alpha	4	Unknown	font-identity=Unknown;glyph=Unknown;fill-alpha=Unknown;transform=Unknown;same-page-link=Preserved	Equal normalized glyph request maps to both Alpha and Beta complete FontKeys; no outline may be called preserved, while the independently measurable enclosing same-page link remains closed	P03 with conflicting request association and intact destination registry	Require no fabricated outline base_char tofu or first-font selection, glyph-dependent components Unknown, and same-page graph observation independently Preserved
P04-embedded-svg-tiling-complex-stroke	positive	C04-embedded-svg-tiling-stroke	embedded-self-contained-SVG;tiling-fill;complex-stroke;alpha	4	Preserved	embedded-svg=Preserved;tiling=Preserved;stroke=Preserved;alpha=Preserved	Nested SVG retains red rectangle, blue circle alpha 0.5 and text OK; surrounding 12x10 tiling repeats twice; black stroke keeps width 4, round caps, bevel join and 6 2 dash landmarks	Finite self-contained SVG image, explicit pattern pitch and phase, complex stroked path crossing tile boundary and transparent background	Decode nested resource separately and composed page, sample red blue overlap alpha, measure two tile origins and stroke width cap join dash landmarks, then require typed image pattern and paint edges resolve compatibly
N04-svg-omitted-stroke-fill-swapped	negative	C04-embedded-svg-tiling-stroke	embedded-self-contained-SVG;tiling-fill;complex-stroke;alpha	4	Violated	embedded-svg=Violated;tiling=Preserved;stroke=Violated;alpha=Violated	Nested SVG resource is omitted and complex stroke is emitted as an opaque fill; text, blue alpha landmark, round cap and dash gaps disappear	P04 with image emission removed and stroke/fill roles exchanged	Raster witness lacks required nested landmarks and stroke classifier finds filled region without cap or dash gaps; report Violated with both minimal regions
U04-external-svg-and-unsupported-tile	opaque	C04-embedded-svg-tiling-stroke	embedded-self-contained-SVG;tiling-fill;complex-stroke;alpha	4	Unknown	embedded-svg=Unknown;tiling=Unknown;stroke=Preserved;alpha=Unknown	Nested SVG depends on external HTTPS image and tiling body uses unsupported opaque content; complex solid stroke remains independently observable	P04 with external dependency and unsupported tiling body but finite stroke geometry	Require explicit Unknown for image tiling and dependent alpha without network access or placeholder promotion; retain stroke verdict independently
P05-two-page-local-graphs	positive	C05-two-page-locality	page-local-destination;cross-page-destination;raster-image;geometric-clip	4	Preserved	page1-same-page=Preserved;page2-same-page=Preserved;cross-page=Unknown;raster=Preserved;clip=Preserved	Page 1 and page 2 each close link label local to their own measured node; cross-page label remote has no href and remains Unknown; clipped green raster landmark survives with transparent overflow	Two page-local registries with repeated source labels but distinct positions, one unrouted cross-page target, finite three-color raster and page-space clip	Build separate typed graph per page, require each local edge closes only in its page, no remote fragment exists, cross-page verdict is Unknown, and raster samples occur only inside clip
N05-cross-page-route-fabricated	negative	C05-two-page-locality	page-local-destination;cross-page-destination;raster-image;geometric-clip	4	Violated	page1-same-page=Preserved;page2-same-page=Preserved;cross-page=Violated;raster=Preserved;clip=Preserved	Unrouted page-1 link fabricates href to page-2 local ID solely because labels match, creating a pending or foreign edge in page 1 graph	P05 with invented fragment for the cross-page target	Page-local graph parser finds an edge whose target node is absent locally; preservation of the raster and two local links cannot forgive this violation
U05-cross-page-without-route	opaque	C05-two-page-locality	page-local-destination;cross-page-destination;raster-image;geometric-clip	4	Unknown	page1-same-page=Preserved;page2-same-page=Preserved;cross-page=Unknown;raster=Preserved;clip=Preserved	Cross-page target has a valid remote position but caller supplies no bundle filename URI or route authority; visual descendants remain and no fragment is emitted	The canonical P05 fixture with no explicit route carrier	Require cross-page Unknown in direct repeated and reordered verdict vectors, no invented route, and all independent same-page image and clip observations unchanged
P06-five-namespace-collisions	positive	C06-cross-family-id-collisions	glyph-def;paint-server;tiling-pattern;clip-path;destination-node	5	Preserved	glyph=Preserved;paint=Preserved;pattern=Preserved;clip=Preserved;destination=Preserved	Five definitions originate with label shared but remain typed: Beta solid-circle glyph, red-green alpha paint, blue-yellow pattern, triangular clip and destination at 120 44; every use reaches its homologous kind after alpha-renaming	Finite colliding source labels across all five semantic namespaces with visible asymmetric landmarks	Parse typed multigraph, require one compatible target per use and zero cross-kind capture, rasterize all five landmarks, bijectively rename IDs and reverse defs order, then require graph isomorphism and equal semantic samples
N06-glyph-pattern-clip-capture	negative	C06-cross-family-id-collisions	glyph-def;paint-server;tiling-pattern;clip-path;destination-node	5	Violated	glyph=Violated;paint=Preserved;pattern=Violated;clip=Violated;destination=Preserved	Glyph use resolves to pattern definition and clip reference resolves to glyph definition under shared label; solid circle disappears and pixels escape triangular clip	P06 with two incompatible cross-kind edges while paint and destination edges remain correct	Typed graph exposes incompatible targets and raster landmarks expose missing glyph plus clip leakage; encounter order must not change the violation
U06-opaque-definition-kind	opaque	C06-cross-family-id-collisions	glyph-def;paint-server;tiling-pattern;clip-path;destination-node	5	Unknown	glyph=Preserved;paint=Preserved;pattern=Unknown;clip=Preserved;destination=Preserved	One pattern definition has unsupported opaque body so its semantic target payload cannot be established; the same source label still cannot authorize capture by glyph paint clip or destination nodes	P06 with only pattern payload unsupported and all other typed definitions finite	Require pattern component Unknown with no false edge or visible substitution, while four compatible namespaces retain independent Preserved verdicts under renaming and reordering
