case	classification	counts_as_success	mutation_numerator	effect
valid-fixture-missing-source	Unknown	false	excluded	blocks affected pair and invalidates population completeness
svg-server-missing-or-ambiguous	Unknown	false	excluded	blocks affected pair;never substitutes fallback equivalence
original-stop-identity-or-offset-ambiguous	Unknown	false	excluded	blocks G04A for affected fixture;never treats adaptive carrier equality as a substitute
adaptive-origin-or-support-ambiguous	Unknown	false	excluded	blocks G04B for affected interval until its original boundaries and curve support are known
oracle-unavailable	Unknown	false	excluded	blocks affected pair and requires rerun
budget-missing-or-drifted	Unknown	false	excluded	invalidates seal from budget-author phase
raster-mask-ambiguous	Unknown	false	excluded	blocks affected pair for raster-dependent fixture
mesh-budget-exhausted	Unknown	false	excluded	blocks affected pair;cannot be converted to pass
degenerate-stroke-support-ambiguous	Unknown	false	excluded	blocks G06/G07A until painted support,stroke width and geometry are established
zero-area-fill-not-provable	Unknown	false	excluded	blocks G07B until fill geometry identity is resolved
interval-cost-unattributed	Unknown	false	excluded	blocks G10 for the affected interval;aggregate count cannot substitute interval attribution
unsupported-control-space	Unknown-control	false	excluded	proves fallback policy only;outside four promotion denominators
invalid-public-input	Rejected-by-domain	false	not-a-mutant	must be rejected;never classified Unknown or Preserved
valid-positive	Preserved	true	n/a	all applicable v2 contract observables pass after a valid seal and execution
valid-negative	Violated	false	n/a	one or more observable obligations fail with a witness
executed-negative-mutant	REJECTED	false	included	counts only when executable,valid for v2 and demonstrably killed
non-executable-proposal	NOT-COUNTED	false	excluded	cannot contribute to mutation score
p1266-candidate-result	HISTORICAL	false	excluded	immutable predecessor evidence;P1267 never reclassifies it as v2 success
p1267-contract-candidate	UNSEALED	false	excluded	input to P1268;cannot produce Preserved before independent oracles,attacks and verifier seal
