case	category	observable	expected	witness	fixture	carrier	executable_criterion
P01-resolved-font-collision	positive	resolved-font-identity	Preserved	Font Alpha glyph_id 37 is a hollow triangle and Font Beta glyph_id 37 is a solid circle; request mapped to complete FontKey Beta visibly yields only the solid circle	Two finite test fonts with distinct complete FontKeys and deliberately colliding glyph_id 37	Normalized GlyphFontRequest to FontKey Beta association plus both font byte entries	Render landmarks identify Beta solid circle and reject Alpha hollow triangle independently of collection position
P02-equal-request-stability	positive	request-key-stability	Preserved	Two equal normalized requests for mathematical variant normal both yield the same Beta solid-circle contour and semantic font identity	Two occurrences with equal base_char family variant variations and mathematical resolution state	Two equal GlyphFontRequest values mapped to the same complete FontKey Beta	Observe equal resolved identity and contour for both occurrences despite distinct occurrence positions
P03-variant-distinguishes-face	positive	request-key-stability	Preserved	Normal variant produces an upright hollow triangle while bold variant produces a solid diamond for the same base_char; neither occurrence is merged into the other	Font family with normal and bold complete FontKeys whose selected glyph landmarks differ	Two requests equal except for the variant field and associations to their respective complete FontKeys	Render both landmarks and confirm normal triangle and bold diamond remain distinct
P04-outline-hole-and-curves	positive	outline-morphology	Preserved	Selected glyph has one enclosed hole and one curved outer shoulder; both survive with the same visible winding and contour	Resolved outline glyph with asymmetric curved exterior and a counter	Valid face bytes complete FontKey and present glyph_id	Raster observation finds exactly one counter and the curved shoulder without tofu or base_char substitution
P05-position-scale-once	positive	position-and-scale	Preserved	A 1000 units_per_em glyph at size 20 appears with its anchor at page position 31 47 and a 20/1000 scale exactly once	Asymmetric outline with known font-unit bounds and off-origin anchor	Finite pos size=20 units_per_em=1000 and resolved face association	Measure page-space anchor and landmark separation; reject unscaled double-scaled or translated-twice bounds
P06-upright-y-inversion	positive	y-axis-orientation	Preserved	Asymmetric arrow with notch only above the baseline appears upright with the notch above after exactly one font-space Y inversion	Outline whose vertical reflection is visually distinct	Resolved face glyph_id finite position and size	Classify notch quadrant; only the once-inverted upright quadrant is Preserved
P07-fill-alpha-under-ancestor	positive	fill-and-alpha	Preserved	Glyph interior remains red at alpha 0.25 over a blue reference background while an ancestor transform moves it without changing the composite color	Solid outline over opaque blue patch with red style.fill alpha 0.25	Resolved outline style.fill and finite ancestor transform	Sample an interior point and compare alpha-composited color; reject opaque red missing fill or paint leakage outside contour
P08-assembly-three-pieces	positive	assembly-multiple-pieces	Preserved	Top hook extender and bottom hook remain three distinct aligned pieces with independent positions and no gap duplication or substitution	Mathematical assembly of three FrameItem::Glyph pieces using two resolved request identities	Per-piece request association glyph_id position size and fill carriers	Observe all three piece landmarks once in their expected page-space bands with the intended continuous assembly silhouette
P09-transform-composes-once	positive	transform-composition	Preserved	A glyph-local translation followed by an ancestor 90-degree rotation places the asymmetric notch in the expected page-space quadrant exactly once	Asymmetric notched outline with noncommuting translation and rotation	Finite glyph position plus finite ancestor transform	Compare final contour bounds and notch quadrant against the composed transform; reject reversed ignored or doubled composition
P10-advance-noninterference	positive	advance-noninterference	Preserved	A square landmark placed after the direct glyph remains at x=80 when the glyph carries x_advance=17; exporter does not move it again	Direct glyph followed by independently positioned square landmark	Resolved glyph with x_advance and fixed external positions for both items	Measure the square origin before and after glyph export and require x=80 with unchanged contour
P11-collection-reorder	positive	collection-reordering	Preserved	Reordering supplied fonts from Alpha Beta to Beta Alpha still renders the Beta solid circle for the request mapped to FontKey Beta	The colliding glyph_id 37 fonts from P01 in both collection orders	Same request association and same two complete FontKey byte entries in reversed order	Canonical semantic observation has identical resolved FontKey contour geometry fill and verdict in both orders
P12-repeat-semantic-digest	positive	determinism	Preserved	Four evaluations of the same frozen request map fonts and frame reproduce identical per-glyph identity contour landmarks geometry paint and verdict	Finite P01 P07 and P08 fixtures evaluated repeatedly and in reordered traversal	Frozen contract carriers and immutable input values	Canonicalize semantic observations excluding XML IDs and ordering then require one digest and one verdict across all four runs
N01-incidental-font-probe	negative	resolved-font-identity	Violated	Request mapped to FontKey Beta renders Alpha hollow triangle solely because Alpha is first and shares glyph_id 37	The colliding fonts and Beta association from P01	Valid unambiguous association with Alpha first in supplied collection	Visible hollow triangle instead of Beta solid circle is a concrete wrong-face violation
N02-assembly-piece-lost	negative	assembly-multiple-pieces	Violated	Three-piece assembly is emitted without its middle extender leaving a visible gap between hooks	The assembly from P08	All three per-piece associations outlines and finite geometry are available	Count only two piece landmarks and detect the central gap where the extender carrier required visible content
N03-fill-alpha-made-opaque	negative	fill-and-alpha	Violated	Red alpha 0.25 glyph becomes opaque red over the blue reference while geometry remains unchanged	The paint fixture from P07	Supported solid fill with explicit alpha 0.25	Interior composite sample equals opaque red rather than the expected blend and therefore violates alpha preservation
N04-double-local-transform	negative	transform-composition	Violated	Glyph-local translation and Y inversion are each applied twice so contour bounds and notch quadrant differ from the single composed result	The noncommuting asymmetric fixture from P09	Finite representable glyph-local and ancestor transforms	Measured bounds or notch quadrant match the doubled transform and not the contract-prescribed once-composed geometry
U01-request-association-absent	opaque	resolved-font-identity	Unknown	A valid glyph_id exists in both supplied fonts but the normalized request has no association; no face identity can be established	The colliding fonts from P01	No map entry for the request	Require Unknown and no fabricated outline text tofu system-font or first-font preservation claim
U02-request-association-conflict	opaque	request-key-stability	Unknown	One equal normalized request maps simultaneously to complete FontKeys Alpha and Beta with observably different outlines	The colliding fonts from P01	Conflicting association entries for the same normalized request	Require Unknown for every affected occurrence; traversal order must not select one conflict branch as Preserved
U03-mapped-font-missing	opaque	collection-reordering	Unknown	Request maps unambiguously to FontKey Beta but only Alpha bytes are supplied; glyph_id collision cannot repair the missing identity	Request and fonts from P01 with Beta entry removed	Association to Beta plus collection lacking Beta	Require Unknown in every collection order and reject incidental Alpha outline or Preserved promotion
U04-invalid-scale-carrier	opaque	position-and-scale	Unknown	Resolved face reports units_per_em zero so no finite size/units_per_em scale can be established	Asymmetric outline request with otherwise valid association	Finite position and size but units_per_em=0	Require Unknown and no contour synthesized at a guessed scale
U05-fontless-wrapper	opaque	fontless-wrapper	Unknown	Direct glyph requiring FontKey Beta is exported through the documented fontless wrapper; absence cannot become a preserved glyph	Single asymmetric direct glyph with base_char that would make textual fallback visually recognizable	Wrapper receives no font collection and no request association	Require Unknown with no outline base_char text tofu system-font network-font or incidental fallback; unrelated non-glyph SVG remains untouched
