l0_file	line	consumer	classification	measurement	text
00_nucleo/prompts/passo-537b-set-page-columns.md	7	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**ADRs**: ADR-0107 (paridade linguagem vs mecânica), ADR-0108 (medir antes de decidir), ADR-0109 (atomização forma B), ADR-0054 (perfil graded / scope-outs).
00_nucleo/prompts/passo-537b-set-page-columns.md	109	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- **Não forçar nova página só por mudança de `columns`** nesta fase (scope-out: paginação real por set-page columns é diferida; o teste de P537b usa `#set page(columns: 2)` no topo do documento, onde a página já está vazia).
00_nucleo/prompts/passo-537b-set-page-columns.md	137	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"- A transformação envolve o resto do escopo léxico, não ""cada página"". Isso é suficiente para o caso de uso do topo do documento e preserva o observable de duas colunas reais. Paginação real com mudança de colunas a meio do documento é scope-out per ADR-0054 graded."
00_nucleo/prompts/passo-537b-set-page-columns.md	215	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 6. Scope-outs
00_nucleo/prompts/auditar-spec.md	46	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"deliberada"" (scope-out)."
00_nucleo/prompts/compiler/layout_outline.md	21	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	específica scope-out per ADR-0054).
00_nucleo/prompts/compiler/layout_outline.md	94	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	5. Divergência declarada: sem page numbers (requer 2-pass — scope-out).
00_nucleo/prompts/compiler/layout_outline.md	100	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	### Scope-out explícito (P472)
00_nucleo/prompts/compiler/columns.md	9	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**ADRs**: ADR-0107 (paridade linguagem), ADR-0108 (medir antes de decidir), ADR-0109 (atomização forma B), ADR-0054 (graded / scope-outs).
00_nucleo/prompts/compiler/columns.md	174	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Scope-out consciente**: se a alteração de `layout_flow` para empilhar notas exigir refacção profunda do `Layouter`, fica para passo seguinte. O critério mínimo de P552 é corrigir `layout_segmented` (caso com `colbreak()`), que é o observado nas imagens.
00_nucleo/prompts/compiler/columns.md	262	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `#set page(columns: N)` a meio do documento continua scope-out per ADR-0054.
00_nucleo/prompts/compiler/columns.md	263	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Gutter personalizado via `#set page(gutter: ...)` continua scope-out.
00_nucleo/prompts/compiler/math/symbols.md	55	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	codex (`AA`, `BB`, `DD`, ...) fica scope-out — adicionar on-demand se o
00_nucleo/prompts/compiler/style/font-dict.md	78	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/compiler/style/font-dict.md	81	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	named fields) permanece scope-out (ADR-0054bis condicional; requer
00_nucleo/prompts/compiler/style/font-dict.md	83	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Optimização O(1) para literais em dict com regex — scope-out performance
00_nucleo/prompts/compiler/style/font-dict.md	86	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `stretch` no dict named fields — scope-out futuro.
00_nucleo/prompts/compiler/style/font-dict.md	87	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Dict spread (`..dict`) — scope-out P407, mantido.
00_nucleo/prompts/compiler/math/layout/underover.md	135	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	P944 relatório §8.3 item 6) fica para passo dedicado — scope-out registado.
00_nucleo/prompts/infra/shaper.md	99	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out (Fase 1)
00_nucleo/prompts/infra/shaper.md	155	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	### Scope-out P484
00_nucleo/prompts/infra/shaper.md	271	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	### Scope-out P515
00_nucleo/prompts/infra/shaper.md	401	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	### Scope-out P534
00_nucleo/prompts/infra/shaper.md	405	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Fundir blocos `BT...ET` consecutivos da mesma fonte — scope-out; cada
00_nucleo/prompts/infra/shaper.md	756	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	O scope-out de P484 (`paragraphs[0]` assume 1 parágrafo por `FrameItem::Text`)
