order	phase	artifact_or_command	expected_gate
1	RED	replace four P1231/P1235 fallback assertions with native-server assertions	four certified pairs fail while predicate remains sRGB-only
2	RED	add fill/stroke, resolved-local-reference, variant, stops, offsets and alpha assertions	failure is attributable only to routing predicate
3	NEGATIVE	retain fallback assertions for Hsv,Oklch,Hsl,Luma,CMYK and uncertified pairs	all remain explicit Unknown with gradient-color-space
4	ATTACK	mutate predicate to promote one uncertified space	negative gate rejects mutation
5	ATTACK	bypass svg_adaptive_stops for a promoted pair	morphology/numeric gates reject mutation
6	GREEN	extend only Linear/Radial native predicate to Oklab|LinearRgb	four certified pairs pass without fallback
7	REVALIDATE	repeat full P1272 96-fixture envelope	96/96 conjunction;384/384 numeric;28/28 invalid rejected;192/192 deterministic;24/24 mutants
8	CONTROLS	repeat sRGB,P1234,P1236,P1237,P1264	no regression
9	ARCHITECTURE	cargo test --workspace;cargo build;crystalline-lint --checks v1,v5,v15,v26 .;crystalline-lint .	all pass after consumer hash reseal
10	CANCEL	any necessary Unknown, surviving mutant or regression	promotion is not materialized
