id	boundary	obligation	adjudication
C01	oracle-order	vanilla budgets masks and costs exist before candidate execution	candidate-derived oracle violates
C02	pair-independence	eight geometry/space pairs are adjudicated separately	cross-pair inheritance violates
C03	general-envelope	each pair executes all 24 frozen P1266 seed families	missing seed blocks only its pair
C04	polar-envelope	each polar pair executes six scenarios at seven positions	missing seam or alpha scenario blocks the pair
C05	luma-envelope	each Luma pair executes six scenarios at seven positions	missing luminance or alpha control blocks the pair
C06	original-stops	offset order coincidence right-continuity color and alpha of declared stops are preserved	carrier spelling and adaptive count are mechanical
C07	hue-route	polar hue follows vanilla short route and modular angular distance	raw subtraction or forced long route violates
C08	numeric	premultiplied encoded-sRGB color and alpha pass max and p95 before u8	one metric cannot mask another
C09	graph	variant local URL role geometry transform and zero unresolved references are preserved	SVG bytes IDs and defs order are mechanical
C10	raster	local mask is frozen from vanilla geometry before candidate	candidate-guided crop fitting or erosion violates
C11	degenerate	degenerate stroke preserves painted region and zero-area fill paints no positive area	one zero-area rule for both violates
C12	cost	termination and cost are published and limited per original interval	global stop cap is not a language gate
C13	domain	invalid offsets cardinality and radial geometry are rejected	invalid input is not Unknown
C14	determinism	direct inverse and repeat runs are semantically identical	order-sensitive verdict violates
C15	product-boundary	all eight pairs retain explicit gradient-color-space fallback	native promotion in P1276/P1277 violates
C16	scope	CMYK stays Unknown-ADR0097 and no general SVG equivalence is claimed	scope expansion violates
