id	scope	fixture_or_domain	execution_gate	observable	acceptance	rejection	unknown_or_gap_policy	source_basis
C00	verdict-policy	all rows	A verdict is issued only from the frozen executable evidence and is exactly PASS, FAIL, Unknown, or CONTRACT-GAP.	verdict vocabulary	PASS is allowed only when the row's observable was actually produced and resolved; a current-only PASS must be labelled as such and cannot satisfy an SVG-parity row.	A proved contradiction of an applicable obligation is FAIL.	Unknown means represented input but inconclusive observation; CONTRACT-GAP means absent public information or an explicit L0 rejection/scope-out. Neither is implicit success.	typst-passo-1243.md; p1243 verifier attack/oracle rows
C01	scope-policy	frozen O01-O15 evidence	No new body embedding, geometry landmark, image payload, stroke carrier, offset, angle, parser form, or fixture may be introduced.	executable-universe boundary	Only observations already executable with current public fields and the frozen evidence can be positive.	Promoting an invented or repaired fixture is FAIL for this contract revision.	A failed probe with represented inputs is Unknown; missing fields or an L0 scope-out are CONTRACT-GAP.	typst-passo-1243.md; entities/tiling L0 sections 2-5; tiling-stdlib L0 sections 2 and 6
C02	parity-gate	shared vanilla/crystalline SVG observations	Both sides must accept the same frozen language fixture and produce SVG reaching the tiling observable.	common executable witness	A morphology row may PASS only with a common executable witness; constructor success on one side is insufficient.	Claiming SVG parity from one-sided construction, compiler success, or no SVG is FAIL.	The frozen suite contains no positive shared SVG witness for color, alpha, or pitch: those rows remain Unknown; public-model omissions remain CONTRACT-GAP.	p1243 verifier O01-O13; vanilla tiling.rs:230-232; tiling-stdlib L0 body rules
C03	current-only constructor	explicit-size constructor observation O14	The existing crystalline constructor assertion executes twice with recoverable body and size; no SVG-parity inference is made.	current constructor acceptance and repeatability	PASS is permitted only as current-constructor evidence.	Using this PASS to satisfy C05-C22 or to claim vanilla constructor parity is FAIL.	Vanilla's rejection of the scalar-size fixture leaves cross-implementation parity Unknown, not PASS.	p1243 verifier O14; tiling-stdlib L0 sections 2-3
C04	current-only constructor	identity constructor observation O15	The existing crystalline identity assertion executes twice; no SVG-parity inference is made.	current constructor identity and repeatability	PASS is permitted only as current-constructor evidence.	Using this PASS to satisfy an SVG morphology row or vanilla parity is FAIL.	Vanilla rejects the color-as-content fixture, so shared constructor parity is Unknown.	p1243 verifier O15; tiling-stdlib L0 identity rule; vanilla tiling.rs:230-232
C05	conditional morphology	color body, explicit finite nonzero size, fill	C02 must hold and a painted role must expose a resolvable SVG reference graph.	paint-server graph	The role resolves locally to a pattern whose reachable tile preserves the requested body; IDs, spelling, order, and bytes are non-observable.	A definitely absent target, sterile cycle, wrong-kind target, dangling edge, or direct solid reduction is FAIL.	Missing/unparseable resolution is Unknown. O01 produced no SVG, so its positive expectation is Unknown in v3.	SVG L0 P1227; vanilla paint.rs:31-51,87-114,341-384; verifier O01,A01,A02,A18
C06	conditional morphology	same eligible witness as C05	C05's graph exists and coordinate semantics can be derived structurally or by bounded rendering.	effective pattern coordinate system	Effective user-space coordinates PASS; equivalent encodings are allowed.	Proved object-bounding-box behavior is FAIL.	No graph or opaque coordinate semantics is Unknown. O01 supplies no positive witness.	vanilla paint.rs:352-360; verifier A03,O01
C07	conditional morphology	color body with explicit asymmetric size and spacing	C02 holds and the graph exposes axis-specific repeat periods.	tile pitch	Effective periods are size.x+spacing.x and size.y+spacing.y without axis swap.	A period equal to spacing alone or a proved axis swap is FAIL.	When the flat body supplies no boundary and the frozen probe produced no SVG, the visual/semantic claim is Unknown; attributes alone do not create PASS.	vanilla tiling.rs:302-307; vanilla paint.rs:341-365; verifier O03,A04-A06
C08	model-limit	flat color body with size and spacing	A body landmark or frame morphology must already be present in the public body and frozen fixture.	cell extent, gap/overlap, viewport mapping, clipping and stretch	PASS requires a representable landmark that distinguishes cell extent from pitch and viewport mapping.	A proved contradiction is FAIL only after that landmark exists.	Flat color has no such landmark; gap/overlap is CONTRACT-GAP at the model boundary and viewport placement is Unknown for the frozen observations. Width/height or viewBox text alone cannot decide.	entities/tiling L0 TilingBody; vanilla tiling.rs spacing docs; verifier A04,A07,A08
C09	conditional morphology	color with non-unit alpha and explicit size	C02 holds and alpha is recoverable from the produced graph or bounded rendering.	body alpha	The body alpha is preserved independently of RGB and applied exactly once.	Replacing it with opaque RGB or applying alpha twice is FAIL when recoverable.	If SVG/render alpha was not observed, verdict is Unknown. O02 produced no SVG.	SVG L0 P1227; verifier O02,A12,A13
