id	obligation	adjudication
C01	classify all 16 Linear/Radial x eight spaces independently	missing or inherited pair is Unknown
C02	Preserved requires current L0 authority plus graph geometry alpha and numerical evidence	failure or unavailable witness blocks only the exact pair
C03	L1 gradient.sample preservation is necessary but insufficient for SVG preservation	P1238/P1239 cannot promote L3 alone
C04	P1240 raster harness is fragment-local auxiliary evidence	control success cannot replace pair numerical evidence
C05	Linear/Radial sRGB retain native preserved status	must pass current graph tests and P1240 controls
C06	Oklab and LinearRgb retain corrected P1237 budget verdicts	all four remain Unknown despite native approximation on Linear
C07	Oklch Hsl Hsv and Luma retain SVG Unknown until pair-specific L3 budget passes	L1 preservation does not remove fallback markers
C08	CMYK remains Unknown-ADR0097	no ICC or profile inference is permitted
C09	P1240 does not cover Conic path/wedge morphology	Conic remains Unknown in this consolidation
C10	bytes IDs defs order exact stop count and renderer mechanics are excluded	language morphology and declared local raster are observables
C11	Unknown never becomes Preserved implicitly	fallback annotation remains explicit Unknown
C12	map queue and whitelist update only from a complete supported verdict	partial successes cannot widen them
ATTACKS	logical policy checks only	no executable mutation suite or mutation score is claimed
