id	kind	scope	fixture	morphological_observable	expected_result	witness
O01	positive	same-page-closed	Page 0 has label target-alpha at measured position (40,30), context entry target-alpha -> local identity I-alpha at (40,30), and one LinkTarget::Destination(target-alpha) with clickable size 18x7.	Closed local semantic graph, target position, link content, and clickable area.	Preserved: exactly one identifiable local node denotes target-alpha at (40,30), and the link edge resolves to that node; the clickable 18x7 area remains present.	Resolve the link fragment to one node, compare its semantic identity with target-alpha, and map the node to (40,30); point (9,3) in the link-local rectangle is clickable.
O02	opaque	destination-absent	Page 0 contains LinkTarget::Destination(missing-label) with a visible nested child and 16x6 clickable geometry; the page-local context has no missing-label entry.	Absence of a false internal edge while visual link children are retained.	Unknown: retain the visual child and geometry, but emit no internal fragment for missing-label, no fabricated node, and no claim that the link is preserved.	The resolved local graph contains neither an edge nor a node for missing-label; the nested child remains visible with its original morphology.
O03	opaque	cross-page-no-route	Page 0 contains a link to label on-page-1; the document registry places that label only on page 1, and no bundle filename or external route is supplied.	Page-local graph boundary and preservation of visual link children without invented routing.	Unknown: do not insert the page-1 label into page 0 context and do not emit a fragment or invented cross-page URI; retain the visual child and clickable geometry without a preservation claim.	The page-0 context has no on-page-1 entry; no href resolves or dangles in the standalone SVG, while the child remains visible.
O04	positive	escaping-and-collision	Page 0 has distinct labels a&b and a<b at positions (10,20) and (30,40), with one internal link to each; both labels would collide under a lossy punctuation-to-hyphen sanitizer.	Distinct label identity, XML-safe serialization, closed owner-to-node edges, and measured target positions.	Preserved: two distinct local identities and two distinct target nodes exist after XML escaping; each link resolves only to its intended node at the intended position.	After parsing XML and resolving fragments, edge(a&b) reaches the node at (10,20), edge(a<b) reaches the node at (30,40), and the two resolved node identities differ regardless of concrete ID spelling.
O05	negative	escaping-collision-alias	Use the same two-label fixture as O04, but both link fragments resolve to one shared node because escaping or sanitization aliases a&b and a<b.	Injective semantic identity for distinct labels and unambiguous local graph resolution.	Violated: either link resolves to the other label, both labels resolve to one node, or one edge becomes ambiguous/dangling.	Graph witness has two distinct source labels but fewer than two distinct resolved target nodes, or a target position disagrees with its label registry entry.
O06	positive	stable-under-order	Construct two page-local contexts with identical mappings L1 -> (5,7), L2 -> (11,13), L3 -> (17,19), but enumerate registry entries and link items in opposite orders.	Deterministic label-to-local-identity mapping and equivalent resolved graph independent of incidental enumeration order.	Preserved: after matching by label identity, both outputs contain the same three closed edges and target positions; byte order, definition order, and concrete ID spelling may differ.	Normalized graph in both cases is exactly {L1->(5,7), L2->(11,13), L3->(17,19)} with one resolved node per label and no collisions.
O07	positive	external-url	A LinkTarget::Url contains https://example.test/a?x=1&y=two#frag, has clickable size 21x9, and is rendered once with empty destination context and once with a nonempty unrelated context.	External URL value, visible child, and clickable area independent of the internal-destination context.	Preserved: both outputs resolve the anchor to the same external URL and retain the 21x9 clickable area; no local target node is required or synthesized.	An XML parser decodes the href value to https://example.test/a?x=1&y=two#frag in both outputs, and local point (20,8) remains inside the clickable region.
O08	positive	nesting-and-transform	A destination link of local size 12x5 is nested in a group translated by (10,20) then scaled by (2,3); its target label T is present at measured page position (70,80).	Link content and clickable geometry receive the nesting transform once, while the target node remains at the measured destination position and the edge stays closed.	Preserved: the link-local rectangle maps to the expected page-space parallelogram exactly once, and its fragment resolves to the unique T node at (70,80).	Link-local corners (0,0) and (12,5) map to page points (10,20) and (34,35); applying zero or two transforms changes those witnesses. The resolved target node maps independently to (70,80).
O09	positive	pipeline-first-page	A two-page PagedDocument has labels P0 at page 0 position (8,9) and P1 at page 1 position (80,90); page 0 contains a link to P0. The current pipeline exports only the first page.	Page selection, homology of label page and position maps, and closure of same-page links in the selected SVG.	Preserved: the derived context contains P0 -> (8,9), excludes P1, and the exported first-page link resolves to exactly one P0 node at (8,9).	Context-domain witness is {P0}; normalized exported graph is P0-edge -> P0-node@(8,9), with no P1 node or fragment.
O10	opaque	pipeline-missing-position	The registry marks label P0 as belonging to page 0, but extracted_label_positions has no homologous position for P0; page 0 contains a link to P0.	Refusal to invent a target position when registry information is incomplete.	Unknown: exclude P0 from the context, preserve visual children, and emit neither target node nor fragment; do not use an arbitrary origin or link position as destination.	The context has no P0 entry and the SVG has no P0 graph edge; any node at (0,0), at the link origin, or another fabricated position refutes the oracle.
