id	kind	mutation_universe	abstract_variant	frozen_evidence_or_fixture	execution_gate	expected_verdict	discriminating_expectation	contract_rows
V3-A01	negative	graph	Silently reduce an eligible color tiling to the same direct solid fill.	O01 produces no shared SVG.	C02 and a resolvable painted-role graph are absent.	Unknown	Must not PASS from matching color or constructor success; if a future frozen common graph proves direct-solid reduction, it becomes FAIL, but v3 evidence is inconclusive.	C00,C02,C05,C21
V3-A02	negative	graph	Return a dangling URL, sterile cycle, or reference to a non-pattern node.	No SVG graph is produced by O01.	Graph resolution cannot execute on frozen evidence.	Unknown	Must not PASS from URL presence; a proved malformed graph would be FAIL only after the graph exists.	C05,C21
V3-A03	negative	pattern-units	Use effective objectBoundingBox coordinates instead of user-space coordinates.	O01 exposes no pattern graph or coordinate semantics.	C05 graph and C06 derivation gate are unmet.	Unknown	Must not infer FAIL or PASS from absent attributes; if bounded rendering later proves bbox scaling on frozen evidence, FAIL.	C06,C24
V3-A04	negative	pitch	Advance x/y repetitions by size only and ignore spacing.	O03 has no shared SVG and the flat body has no boundary landmark.	C02 and graph periods are unavailable.	Unknown	Must not PASS because size attributes repeat; proved wrong periods would FAIL only with an executable common witness.	C07,C08
V3-A05	negative	pitch	Use spacing itself as pitch rather than size plus spacing.	O03 does not reach SVG.	Axis-specific periods cannot be observed.	Unknown	Must remain unresolved, not mechanically rejected from guessed attributes; with a common witness periods spacing-only would FAIL.	C07,C24
V3-A06	negative	pitch-axis	Swap x and y size or spacing.	O03 is asymmetric but produces no SVG.	No effective periods exist in frozen output.	Unknown	Asymmetry makes the mutation discriminant only once observable; v3 cannot promote or reject it.	C07
V3-A07	negative	viewport	Map viewBox to body size rather than repeat-cell pitch, stretching across spacing.	Flat color supplies no landmark and O03 produces no SVG.	C08 landmark gate is absent.	CONTRACT-GAP	The cell-extent/gap distinction is outside the current body morphology; viewBox text cannot convert this to PASS or FAIL.	C08
V3-A08	negative	viewport	Transpose or shift the viewport so an internal edge would clip.	No public/frozen body landmark exists.	C08 requires an already represented landmark.	CONTRACT-GAP	Must not invent a landmark or fixture; the missing morphology is a model boundary.	C01,C08
V3-A09	negative	relative-self	Share one parent/global phase across two relative=self uses.	O05 uses uniform color and failed probes reveal no phase landmark.	C02 and represented phase landmark are absent.	Unknown	Stored enum equality or URL presence is insufficient; a proved shared phase would be FAIL only after observable phase exists.	C12,C24
V3-A10	negative	relative-parent	Reset relative=parent at each sibling as if self-relative.	The L0 stores Parent but the consumer is explicitly equal to self; O06 has no parent witness.	Parent identity/geometry does not reach the current observable pipeline.	CONTRACT-GAP	Must not promote from stored Parent, URL presence, or invented parent fields.	C01,C13
V3-A11	negative	relative-collapse	Collapse Self and Parent to one consumer policy.	Self has no phase witness; Parent consumer semantics are scoped out.	C12 is unobservable and C13 is model-limited.	CONTRACT-GAP	For the paired claim, Parent's missing consumer dominates; no positive distinctness claim exists in v3.	C12,C13
V3-A12	negative	alpha	Replace non-unit alpha with opaque RGB.	O02 produces no shared SVG/render alpha.	C02 and alpha recovery are absent.	Unknown	Must not PASS from equal RGB or fallback color; proved recoverable opacity loss would be FAIL, but not in v3.	C09,C24
V3-A13	negative	alpha-application	Apply body alpha twice.	O02 exposes no compositing or graph alpha.	Alpha application count cannot be measured.	Unknown	Repeated identical failures do not discriminate double alpha; no implicit FAIL or PASS.	C09,C22
V3-A14	negative	fill-role	Attach the intended fill tiling solely to stroke.	O01 produces no SVG and no resolved role.	C02/C10 role observable is absent.	Unknown	Must not PASS from any-url boolean; proved wrong role would be FAIL only with produced SVG.	C10,C21
V3-A15	negative	stroke-role	Use a surrogate fill for requested tiling stroke.	O04 cannot form a crystalline tiling stroke fixture.	The existing public carrier/API gate is absent.	CONTRACT-GAP	Must not introduce a stroke carrier or promote a surrogate; the v3 universe has no positive stroke claim.	C01,C11
V3-A16	negative	transform-count	Apply the item transform twice to pattern phase.	The frozen color evidence has no phase landmark.	C02 and C14 application-count measurement are unavailable.	Unknown	Exact matrix text cannot reject or pass; proved double application would be FAIL only with a semantic landmark.	C14,C24
V3-A17	negative	zero-default-transform	Inject a nonzero implicit shift or rotation for absent offset/angle.	No phase landmark reaches SVG.	C14 zero-default effect cannot be measured.	Unknown	Must not infer correctness from zero-valued fields or transform spelling; nonzero public offset/angle remains a separate gap.	C14,C19
V3-A18	negative	fallback	Emit an unannotated solid fallback for an otherwise conditional color row.	O01/O02/O03 produce no SVG at all.	No affected emitted role can be classified.	Unknown	Absence of output is not a proved unannotated reduction; if such reduction were produced it would be FAIL.	C02,C21
V3-A19	opaque	fallback-marker	Treat a role-specific fallback annotation as preserved tiling.	Abstract produced role carries data-crystalline-fill-fallback or data-crystalline-stroke-fallback.	The marker itself resolves fallback policy without asserting graph parity.	Unknown	The mutation is killed if the verifier refuses PASS and preserves Unknown for that role.	C10,C21
V3-A20	opaque	constructor-promotion	Use successful or opaque one-sided construction as SVG parity.	A current value constructs, but vanilla rejects or no SVG is emitted.	Shared fixture and SVG gate C02 are absent.	Unknown	Constructor evidence may remain observed, but parity verdict must not become PASS; opaque parser/construction remains Unknown.	C02,C03,C04,C21,C23
V3-A21	negative	model-expansion	Invent unit geometry for size=auto flat color.	O07; flat color has no intrinsic geometry.	No finite nonzero size is derivable from represented morphology.	CONTRACT-GAP	Must not create a size, use painted bbox, or promote compilation.	C01,C15
V3-A22	negative	eligibility	Promote zero or non-finite explicit size, or non-finite spacing, to SVG equivalence.	Abstract invalid explicit numeric components.	C23 eligibility can prove the contradiction before SVG promotion.	FAIL	The verifier must reject the promotion; rejection of the invalid input itself is not a parity PASS.	C23,C00
V3-A23	opaque	image	Substitute black/color for Image without decodable bytes or resolved geometry.	O08 lacks image payload; real Image consumer is L0 scope-out.	Public data and consumer gates are absent.	CONTRACT-GAP	Must not turn black fallback, construction, or invented bytes into equivalence.	C01,C16,C21
V3-A24	opaque	gradient	Substitute the first gradient stop for a Gradient tile.	O09; constructor rejects Gradient and entity variant is placeholder.	Existing constructor/retention gate is absent.	CONTRACT-GAP	Must preserve the explicit scope-out; indirect wrapping or compilation is not a witness.	C17,C21
V3-A25	opaque	arbitrary-content	Encode arbitrary Content through Color/Image/Gradient or a new body variant.	O10; public TilingBody has no arbitrary Content.	Representability gate is absent and expansion is forbidden.	CONTRACT-GAP	No invented encoding or public-contract repair may enter the v3 universe.	C01,C18
V3-A26	opaque	offset-angle	Smuggle nonzero offset or angle through item transform, size, spacing, relative, or body.	O11; fields and constructor arguments are absent publicly.	C19 public-field gate is absent.	CONTRACT-GAP	No positive displacement/rotation claim exists; if the smuggling act itself is asserted as support, C19 rejection applies, but the feature verdict stays gap.	C19
V3-A27	negative	repetition	Stretch one tile over the geometry instead of repeating it.	Uniform flat color and no frozen edge landmark.	C02/C20 repetition witness is absent.	Unknown	Must not reject or pass by exact element count; a future proved single tile would FAIL, but A27 is explicitly Unknown in v3.	C20,C24
V3-A28	metamorphic	repeat-same-order	Run O01-O03 twice and promote because the same failure or bytes recur.	Base observations never reach SVG.	C22 requires a resolved semantic base witness before determinism.	Unknown	Stable failure is not semantic determinism; the metamorphic relation preserves Unknown.	C22,C24
V3-A29	metamorphic	reorder	Reorder O01-O03 and promote because outcome strings remain identical.	All reordered base observations remain without SVG.	No semantic witness exists to compare across order.	Unknown	Order invariance of absence cannot become PASS; a discriminating metamorphic test requires recurring resolved witnesses.	C22
V3-A30	metamorphic	mechanical-renaming	Rename all pattern IDs and reorder defs while preserving a resolvable semantic graph, then reject due to byte difference.	Abstract positive graph pair differing only in excluded mechanics.	A language-level graph witness is assumed resolved for this metamorphic control.	PASS	The semantic verdict must be invariant under alpha-renaming/defs reordering; byte-only rejection violates mechanics exclusion.	C05,C22,C24
V3-A31	metamorphic	semantic-edge-break	Starting from an abstract resolved positive graph, alpha-rename IDs but leave exactly one reference dangling.	Abstract graph pair where the second graph has a proved dangling edge.	Graph resolution is explicitly available in the abstract mutation.	FAIL	The transformation is not mechanics-only because reachability changes; it must be distinguished from V3-A30.	C05,C21,C24
V3-P01	positive	current-constructor	explicit-size-repeatability	Frozen O14 current crystalline constructor assertion executes twice with recoverable body and size.	Only current-constructor evidence is claimed; no SVG or vanilla parity inference.	PASS	Positive control passes exactly C03 and must be rejected if reused to satisfy C05-C22.	C03,C02
V3-P02	positive	current-constructor	identity-repeatability	Frozen O15 identity assertion executes twice and returns the existing tiling value.	Only current identity/repeatability is claimed.	PASS	Positive control passes exactly C04 and cannot establish shared constructor or SVG morphology.	C04,C02
