id	coverage	semantic_negative_mutation	mechanical_invariant	expected_result	witness	refuted_by	mutation_score_eligibility
A01	page-local context	Populate the context for exported page P with a label whose extracted_label_pages entry names a different page Q.	Map iteration order, context container type, and local ID spelling are mechanical.	Violated	Export P with an internal edge to that foreign label and observe a local target node or preserved local fragment for it.	Demonstrate that the foreign entry is absent from P's effective context and cannot resolve any P-local href.	YES_IF_EXECUTED
A02	page-local context	Omit a same-page label that has both a page entry for P and a homologous finite position.	Ordering of context entries and target nodes is mechanical when the same graph and positions result.	Violated	Export P with an edge to the omitted label and observe that no unique target node can close the edge despite complete registry data.	Show exactly one target at the measured position and a uniquely resolved owner edge to it.	YES_IF_EXECUTED
A03	registry alignment	Pair a label's page entry with another label's position by independent filtering, sorting, or positional zip after an omission.	Internal map representation and traversal strategy are mechanical; label-to-page-to-position association is semantic.	Violated	Use labels A and B with distinct positions and one deliberately absent position; observe A or B targeted at the other's coordinates.	Resolve every included label to its own homologous recorded position and exclude only the entry whose own position is absent.	YES_IF_EXECUTED
A04	missing position	Invent (0,0), the link location, or any fallback position for a same-page label whose extracted position is absent.	Choice of diagnostic spelling and omission strategy is mechanical if no false node or preserved edge is produced.	Violated	Provide a same-page label page entry without a homologous position and observe an emitted target node or a preservation claim.	Show that the label is excluded, its children remain visible, and no local fragment edge is emitted as preserved.	YES_IF_EXECUTED
A05	closed href-id graph	Emit an internal href for a present label but omit its target node, misspell the referenced identity, or emit a node that cannot be resolved locally.	Use of href versus xlink:href and concrete fragment token are mechanical when local resolution is equivalent.	Violated	Parse the page-local semantic graph and find an internal link edge with zero matching target IDs.	Resolve the emitted edge to exactly one local node carrying the intended label identity.	YES_IF_EXECUTED
A06	exactly one target	Emit two or more target nodes for one present label, or make one href resolve ambiguously through duplicate IDs.	Target element kind and placement in serialization order are mechanical if one semantic node at the measured position results.	Violated	Count graph nodes reached by the label's internal fragment and obtain more than one candidate or duplicate XML identities.	Show exactly one uniquely identifiable target node at the recorded position for the label.	YES_IF_EXECUTED
A07	identity collision	Assign the same local ID to two distinct labels or reuse an ID already owned by an unrelated SVG node.	Prefix, hash algorithm, counter width, and ID text are mechanical; collision freedom in the emitted document is semantic.	Violated	Use two distinct same-page labels plus an unrelated pre-existing ID and observe any owner edge resolving to the wrong or ambiguous node.	Show a one-to-one mapping from all destination labels to collision-free local identities and correct owner resolution.	YES_IF_EXECUTED
A08	determinism and alpha-renaming	Derive identity from map iteration order, pointer/address, occurrence order, or unstable state so repeated equivalent exports change which label an edge reaches.	Byte identity and literal ID stability are not required; bijective alpha-renaming and definition reordering are allowed.	Violated	Repeat and reorder semantically equivalent registry input, normalize by bijective ID renaming, and observe a changed label-to-node graph, position, or edge ownership.	Show graph isomorphism preserving every label, position, owner edge, and unique resolution across repetitions and reorderings.	YES_IF_EXECUTED
A09	absent destination	For an internal edge whose label is absent from the page-local context, emit a fragment href, fabricate a node, remove the link's visual child, or claim preservation.	Whether an inert wrapper remains and how Unknown is annotated are mechanical if visual children survive and no false resolved edge is claimed.	Violated	Export a visible linked child with an absent label and observe a dangling/fabricated local edge, lost child, or Preserved classification.	Show visible children unchanged, no invented local target or fragment, and explicit Unknown/unsupported disposition.	YES_IF_EXECUTED
A10	cross-page boundary	Convert a label belonging to another page into a same-page fragment or invent a filename/route in the standalone exporter without caller routing authority.	Potential future route spelling is outside this owner; no spelling can legitimize an invented route.	Violated	Export page P containing an edge to a label on Q with no explicit route and observe #id, guessed page URI, local node, or Preserved classification.	Show the edge remains Unknown with children visible and no dangling or invented href/node.	YES_IF_EXECUTED
