case	status	evidence	note
public-srgb-linear	PRESERVED	color-spaces.typ first rectangle emits local linearGradient p0	Stops and application preserved; ID is mechanical
unit-linear-alpha	PRESERVED	cargo test p1227_linear_fill_emite_servidor_e_alpha_separado	Alpha emitted as stop-opacity
unit-radial-focal-stroke	PRESERVED	cargo test p1227_radial_preserva_centro_foco_raio_e_stroke	Center radius focal center focal radius and stroke role preserved
unit-dedup	PRESERVED	cargo test p1227_reutiliza_paint_morfologicamente_igual	One deterministic definition for equal paints
unit-color-tiling	PRESERVED	cargo test p1227_tiling_de_cor_emite_pattern_com_tamanho_e_spacing	Limited to resolved size and color body
public-non-srgb-spaces	UNKNOWN	color-spaces.typ emits data-crystalline-fill-fallback=gradient-color-space	No sealed interpolation error budget
public-conic	UNKNOWN	unit conic emits data-crystalline-fill-fallback=conic-gradient	No native SVG morphology or sealed approximation
public-linear-coincident	VIOLATED	linear-fill-alpha-coincident.typ produces no shape	First remaining loss precedes SVG paint emission; transparentize/coincident fixture requires eval investigation
public-tiling-content	UNKNOWN	vanilla fixtures use content bodies; L1 TilingBody supports only Color Gradient Image	Opaque content morphology not represented
architecture	PASS	cargo build; V15/V26 zero; hashes repaired	ADR-0107/0108/0109/0127/0129 audited
isolation	NOT-ATTESTED	shared filesystem capabilities	Functional seal retained; no isolation claim
