oracle_id	contract_ids	fixture	class	expected_verdict	public_observable	oracle_rule	independence_rule
O01	C00,C01,C02,C09,C17,C18,C19	fixtures/color-fill.typ	positive	PASS	fill role resolves through a local SVG pattern whose reachable tile preserves red with alpha 1; effective pattern coordinates are user-space	Reject a direct solid fill even when red; ignore IDs, definition order, XML spelling, href spelling, and exact element count. Repetition is claimed only structurally because a uniform tile has no visual phase landmark.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O02	C00,C01,C02,C08,C09,C18,C19	fixtures/color-alpha-fill.typ	positive	PASS	fill role resolves through a local SVG pattern whose reachable tile preserves RGB 20/100/220 and alpha 0.40	Reject opaque replacement or alpha moved to an unrelated role; tolerate renderer quantization only when an explicit rendering probe declares it.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O03	C00,C01,C02,C03,C05,C09,C18	fixtures/asymmetric-fill.typ	positive-structural	PASS	fill pattern has effective pitch 13pt by 27pt from size 9pt by 20pt plus spacing 4pt by 7pt; axes are not swapped	Attribute equality is evidence, not the obligation. Viewport morphology remains Unknown because the uniform body provides no internal landmark.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O04	C00,C01,C02,C10,C18,C19	fixtures/color-stroke.typ	positive-or-gap	CONTRACT-GAP	stroke alone would reference a local pattern and fill would remain none	The frozen contract requires CONTRACT-GAP if the current public pipeline cannot transport tiling as stroke; never promote merely because some url exists.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O05	C00,C06,C11,C17	fixtures/self-two-boxes.typ	opaque	Unknown	two translated boxes painted with relative self would expose independent local phase	The body is uniform red and contains no phase landmark, so neither phase, application count, nor repetition count can be observed. Do not infer PASS from transforms or dimensions.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O06	C00,C07,C17	fixtures/parent-two-boxes.typ	opaque-or-gap	CONTRACT-GAP	two sibling boxes painted with relative parent would expose phase continuity at matched parent coordinates	Current constructor L0 stores parent but declares its consumer equal to self; parent identity/geometry therefore does not reach the observable pipeline. If a later sealed input proves transport but the probe still cannot isolate phase, refine only to Unknown.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O07	C00,C12,C19,C20	fixtures/auto-color.typ	boundary	CONTRACT-GAP	auto size on a flat color has no intrinsic geometry from which to resolve a finite nonzero tile	Compiler success, an arbitrary unit tile, painted bbox, or generic fallback cannot promote this case.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O08	C00,C13,C19,C20	fixtures/image-body.typ	boundary	CONTRACT-GAP	image-body construction is publicly representable only as eligibility evidence	The entity and constructor L0 mark the real image consumer scope-out; black/color substitution or successful construction is not equivalence. The fixture intentionally uses no external asset and therefore must not be run as a positive renderer case.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O09	C00,C14,C19,C20	fixtures/gradient-body.typ	boundary	CONTRACT-GAP	gradient-body attempt exercises the documented rejected constructor boundary	The constructor rejection and entity placeholder are the expected boundary; first-stop color, compilation success, or a generic fallback cannot become PASS.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O10	C00,C15,C19,C20	fixtures/arbitrary-content.typ	boundary	CONTRACT-GAP	arbitrary cell content is valid vanilla language morphology but absent from current public TilingBody	Never encode arbitrary content as color/image/gradient or treat parse/construction failure as equivalence.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O11	C00,C16,C19,C20	fixtures/nonzero-offset-angle.typ	boundary	CONTRACT-GAP	nonzero offset and angle are valid vanilla controls but absent from the current public crystalline model	Do not encode either control through item transform, size, spacing, relative, or body; only absent fields implying zero are in scope.	Derived only from frozen contract, L0, and ratified vanilla; candidate unread.
O12	C00,C18	repetition: O01,O02,O03 twice in identical order	metamorphic	PASS	two independent classifications of each immutable input are identical	Any result drift is FAIL of determinism; Unknown and CONTRACT-GAP remain their exact classifications and are never coerced to PASS.	No candidate execution belongs to oracle authorship.
O13	C00,C18	reordering: O03,O01,O02 then O02,O03,O01	metamorphic	PASS	classification keyed by oracle_id is invariant under suite order	Compare verdict and witness semantics by oracle_id, excluding IDs, defs order, XML bytes, and execution order.	No candidate execution belongs to oracle authorship.
O14	C20	fixtures/construct-type.typ	construction-positive	PASS	type(tiling(red, size: 8pt)) equals tiling and type(tiling) equals type	This proves only public constructor/type eligibility; it does not establish SVG morphology.	Derived from constructor and entity L0 only; candidate unread.
O15	C20	fixtures/construct-identity.typ	construction-positive	PASS	tiling(t) equals t for t = tiling(red, size: (8pt, 11pt), spacing: (2pt, 3pt), relative: "parent")	This proves only the documented identity constructor and recoverable public value; it does not establish parent anchoring, pitch, or SVG equivalence.	Derived from constructor and entity L0 only; candidate unread.
