point	status	claim	witness	refuter	consequence
V01-CONTROL-HASHES	PASS	Manifesto de entrada e freeze possuem exatamente os hashes despachados; capabilities coincide com o hash pinado pelo manifesto.	sha256sum: input-manifest=a833d24c1e0e2a0ca08e8c61d6a22e984a07461d0bb79b6e3ed836502fe3ab90; role-capabilities=169a67f593b3facbd5db583798fc051cd16a60c8ecf41128d1b2f1261af6470a; artifact-freeze=e2014b0b1e0d29d48f74e1885803a20fdfc328b9b5e225f1d435f9d420370b93	Qualquer byte divergente nos três paths de controlo.	Perimetro de julgamento preservado.
V02-FROZEN-OUTPUT-HASHES	PASS	Os oito outputs author/evidence coincidem byte a byte com o artifact freeze.	contract=0ba5d409aa2784184c2604282abb85715e7c6edd00d151f07474c9fefaeb4ce8; delta=0dd1a1513f709024ae1ab9fab95545d5489ddf437e835af586ec30af57787edc; unknown=afee37521719a849d359f0c1caeab132de532319a3c1dfa74af539e3be3deb76; observables=6690eeae86985c65f39d132dd43cb615c267815340dc1c180fbe03c4bc27bb2e; decisions=e3bff81420eaca854e3ae62ceb3a6c1ee3caf58d8b8138166bcf8cf3a1b97846; author-receipt=0e4330d62dbbf5dd964c1a41fcf44590e0277a654fb40ffc6275ea3d8cd1aa11; derivation=14601fbefb87b50bc69482ed8f62c1446842f32293ccf3ffe3afab0efb83fa5c; evidence-receipt=d7e5eb4212e34a3b6dcac6f77cc4ca9dbea43756402fa310105e90fd03affc89	Qualquer hash diferente do freeze invalida a fase.	Artefatos aptos a julgamento; nenhum foi corrigido pelo verificador.
V03-TSV-STRUCTURE	PASS	Todos os oito TSV congelados têm número de colunas constante em todas as linhas.	awk -F TAB: malformed=0 para contract,delta,unknown,observables,decisions,author-receipt,derivation,evidence-receipt.	Uma linha com NF diferente do header.	Estrutura canónica legível.
V04-G04-SPLIT	PASS	Separar stops originais/declarativos dos stops adaptativos do exporter corrige a mistura mecânica sem dispensar morfologia da linguagem.	adaptive.md:53-76 preserva offsets originais,intervalos zero,alpha,ordem,descontinuidades,envelope e declara quantidade literal mecânica; svg.md:130-146 preserva primeira extremidade,última única,ordem e stops originais; ADR-0107:47-59 exclui carrier,bytes e passos quando não alteram linguagem.	L0 ou probe ratificado que torne carrier/contagem/ortografia de cada stop adaptativo semanticamente observável apesar de sequência original e envelope idênticos.	G04A/G04B podem seguir como contrato candidato, sempre com proveniência por stop e sem reclassificar as 74 linhas históricas.
V05-G04-COINCIDENT-POINT	REFINEMENT	A obrigação correta deve distinguir adjudicação do ponto coincidente e comportamento epsilon à direita; a expressão não qualificada right-continuity é insuficientemente precisa.	adaptive.md:73-76 diz que o ponto exato é adjudicado estruturalmente pela ordem e a métrica contínua começa em epsilon à direita; gradient.rs:1461-1484 usa partition_point ratio<t, escolhendo o primeiro stop coincidente interno no ponto exato, enquanto epsilon à direita parte do último; em t=0 há tratamento especial que escolhe o último stop zero.	Probe ratificado mostrando a mesma escolha no ponto exato e no limite à direita para coincidências internas e de extremidade.	Refinar G04A/G04B/O02/O05 para preservar separadamente exact-point structural adjudication e epsilon-right/right-hand behavior; não tratar blanket right-continuity como sinónimo de ambos.
V06-G10-CORE-BOUNDS	PASS	O algoritmo possui profundidade máxima 6, no máximo 64 segmentos, 63 stops adaptativos interiores e 127 decisões de midpoint por intervalo elegível.	gradient.rs:918-964 e adaptive.rs:127-159 iniciam n=1 e duplicam apenas com n<64; árvore binária finita com s folhas tem depth<=6, internal=s-1<=63 e nodes=2s-1<=127; simulação worst-case reproduziu interiors=63 e midpoint_decisions=127.	Trace do estado n/i que reabra nó, mantenha n>64, emita mais de 63 interiores ou execute mais de 127 decisões de midpoint no mesmo intervalo.	Substituição do falso cap global por limites interval-local é sustentada.
V07-G10-SAMPLER-CALLS	REFINEMENT	O limite de 127 cobre decisões de midpoint, não todas as invocações do sampler exato; o contrato deve publicar também Q_i<=253 por intervalo.	Em adaptive.rs:132 há uma amostra por nó de decisão; adaptive.rs:157-158 faz outra amostra após cada nó salvo o break final. Para s folhas: midpoint=2s-1, boundary=2s-2, Q=4s-3<=253; simulação worst-case produziu 127+126=253.	Instrumentação das linhas 132 e 158 mostrando chamadas fundidas/reutilizadas ou total diferente sob o algoritmo congelado.	Adicionar sampler_calls q_i<=253 a G10,O06,Unknown interval-cost-unattributed e ao trace exigido; 127 não deve ser rotulado como custo total.
V08-G10-M-DEFINITION	REFINEMENT	M deve ser definido como a sequência efetiva original/declarativa que entra no adaptador, não a cardinalidade lógica de cores da matriz.	p1266-cost.tsv distingue logical_stops e effective_public_stops; S13 tem logical=2,effective=4,E=4 e anti_alias=false, logo E=M+sum(a_i) só é verdadeiro com M=4; G04A já nomeia a sequência semântica que entra na adaptação.	Uma definição canónica alternativa que reconcilie sharp/repeat/coincidências e preserve E=M+sum(a_i) para todas as fixtures.	Definir M=effective input sequence/G04A count e R sobre os seus intervalos positivos elegíveis; publicar ambos sem usar logical_stops como substituto.
V09-G10-HISTORICAL-AGGREGATE	FAIL	A evidência rotula m=904 e bound=51808 como agregado de stops originais efetivos, mas esses números usam logical_stops.	Soma independente de p1266-cost.tsv: logical_stops=904; effective_public_stops=1320; E=11188; os limites 64m-63 somam respectivamente 51808 e 78432. derivation.tsv:G10-P1266-CHECK usa os primeiros números enquanto G10-AGGREGATE define m como original efetivo.	Demonstração de que os 416 stops efetivos adicionais são adaptive e não pertencem à sequência G04A; S13/S14/S15/S18/S21/S24 com anti_alias=false refutam isso.	Corrigir a medição histórica para m_effective=1320 e bound=78432, mantendo como observação separada logical=904; derived_bound_failures continua 0, portanto a conclusão contra o cap global sobrevive.
V10-S20	PASS	S20 exige região positiva de stroke degenerado, grafo fechado e geometria correta; o histórico não basta para sucesso v2.	matrix:S20 fixa stroke,zero-width,8pt no relatório; p1266-results.tsv:78-81 tem graph/raster Preserved e zero_area Violated; relatório:43-46 mede paint positivo e proíbe conversão automática.	Máscara vanilla ratificada vazia ou ausência/espessura zero do stroke; para retirar Unknown, comparação independente da região inteira.	G07A e G06 corrigem o predicado e mantêm S20 Unknown até oráculo de morfologia.
V11-S21	PASS	S21 mantém zero paint positivo para fill de altura zero, com grafo e geometria, separado de S20.	matrix:S21 fixa fill,zero-height,anti_alias=false; p1266-results.tsv:82-85 tem graph,raster,zero_area Preserved; relatório:43-46 distingue S21.	Medição ratificada de cobertura positiva semanticamente exigida ou grafo/geometria divergente.	G07B preserva a obrigação correta sem promover o resultado histórico.
V12-UNKNOWN-POLICY	PASS	Unknown nunca conta como sucesso nem entra no numerador de mutação; somente caso opaco explícito pode satisfazer teste de opacidade.	unknown-v2.tsv marca todos os Unknown counts_as_success=false e mutation_numerator=excluded; r2-pre-oracle-pair permanece Unknown-generalization; G12 requer zero necessary Unknown e score=1.0; skill artefatos-e-gates.	Qualquer caminho default que converta Unknown em Preserved/REJECTED ou inclua Unknown no numerador.	Política apta ao P1268 após os refinamentos G04/G10.
V13-P1266-IMMUTABILITY	PASS	P1266 permanece identidade histórica imutável.	Todos os sete hashes P1266 do manifesto coincidem; unknown-v2:historical-p1266-result=Immutable-history; decisions:D10; nenhum path P1266 foi escrito pelo verificador.	Hash P1266 alterado ou artifact R2 que reescreva linha/certificado P1266.	R2 só pode produzir resultados novos sob identidades novas.
V14-NO-SUCCESS-CONVERSION	PASS	Nenhum par ou falha histórica foi convertido em sucesso e nenhum selo foi emitido.	decisions:D02,D05,D07,D11 mantêm Unknown; contract:G14 exige future seal; author receipt seal_written=false,candidate_results_promoted=false; evidence adjudications são UNKNOWN.	Resultado atual Generalization-Preserved, selo R2 ou reclassificação retroativa de linha P1266 como pass.	Gate de typst-passo-1267.md:57-60 respeitado; P1268 continua obrigatório.
V15-CONVERSATIONAL-NONINHERITANCE	PASS	O despacho fork_turns=none e os recibos atestam ausência de conclusões conversacionais herdadas para autor,analista e verificador.	role-capabilities.tsv registra none para os três papéis isolados; author/evidence receipts e despacho do verificador registram context_inherited=none.	Log de criação com contexto herdado ou conteúdo R1 entregue nos prompts dos papéis.	Pode-se alegar não-herança conversacional, nada além disso.
V16-FULL-CAPABILITY-ISOLATION	FAIL	Não há prova de isolamento de capacidade de leitura no filesystem compartilhado.	role-capabilities.tsv declara allowlist processual/not capability-sandboxed; author/evidence receipts recusam alegar filesystem isolation; os papéis partilham o mesmo filesystem.	Sandbox/worktree/process auditável que negue tecnicamente leitura fora da allowlist.	Atestação proporcional: EXECUTADO SEM ATESTAÇÃO DE ISOLAMENTO DE CAPACIDADES; hashes provam identidade, não confinamento.
V17-P1268-BOUNDARY	PASS	O verificador não sela o contrato; P1268 permanece necessário para oráculos positivos/negativos/opacos, ataques, score 1.0, repetição e selo.	typst-passo-1267.md:57-60; contract:G12/G14; decisions:D11; skill artefatos-e-gates.	Selo/certificado emitido nesta fase ou dispensa explícita do gate pelo dono.	Enviar contrato refinado ao P1268; nenhuma promoção produtiva.
V18-OVERALL	REFINEMENT	A reexecução é válida como readjudicação candidata não selada e sustenta G04 split,G10 interval-local,S20/S21,Unknown e imutabilidade, mas exige correções localizadas antes do próximo gate.	PASS em hashes,ontologia G04,bounds centrais,S20/S21,Unknown,história e no-success; REFINEMENT em coincidência,G10 sampler e definição M; FAIL localizado no agregado m=904 e em qualquer alegação de capability isolation.	Reexecução limpa que resolva V05,V07,V08,V09 e mantenha todos os hashes/limites protetores, seguida do P1268 independente.	VEREDITO: R2-CANDIDATE-UNSEALED-REFINEMENT-REQUIRED; não é falha do produto,não é selo,não é equivalência geral e não altera fallback/default.
