field	value
step	P1236 corrected
protocol	A/B diagnostic; no Tekt isolation attestation
baseline_head	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
measured_at	2026-08-27T22:25:43-03:00
runner	lab/parity/matrix/p1236_alpha.py
runner_sha256	6da0721d09465edf87d7d86eabe2b2e59e1f403e2653b3515b6002d93e4f421f
color_l0_sha256	44584ad07294b771708713af4227ed7a9ec388ec07ad994d91ebea7b67e904b5
gradient_l0_sha256	5c6e7387001c4178dfec4842a2d71f66ca0e10fc24ae214f491a94e0e4192a9c
adaptive_l0_sha256	ec94bb7cd1cac6bf250ee3bdbc2af7caa4ba9eb3c6af58965ce79c9e06ee00ef
svg_l0_sha256	98616af62e17692c6bebbfab0ca85436819112bd9f124d1c1b13904743833b9e
vanilla_binary_sha256	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8
crystalline_binary_sha256	aae068f1d1d22b3e533158291e2bb69256d53a9421b7a6bcbfa26db4d35300a1
unknown_policy	Unknown never becomes pass; P1252 applies only to alpha loss
productive_writes	NONE
authority_note	P1252 classification applied under current L0; retroactive re-adjudication
attacks	NOT_EXECUTED; historical synthetic rows revoked
isolation	EXECUTADO SEM ATESTAÇÃO DE ISOLAMENTO
