kind	id	expected	observed	correct	witness
attack	A01	FAIL	FAIL	true	C01/C19 reject direct solid paint because the resolved local pattern graph disappeared.
attack	A02	Unknown	FAIL	false	The mutation states a proven absent, sterile-cyclic, or wrong-kind target; C01 says a proved bad graph is FAIL. Unknown applies only while resolution is opaque, so the attack row's unconditional Unknown is inconsistent.
attack	A03	FAIL	FAIL	true	C02 rejects effective objectBoundingBox behavior even if width/height text is preserved.
attack	A04	FAIL	Unknown	false	C03/C04 say a flat color has no boundary and structural periodicity remains Unknown; the current public body cannot supply the requested boundary-bearing color fixture.
attack	A05	FAIL	FAIL	true	C03 fixes effective periods to size plus spacing and rejects periods equal to spacing alone.
attack	A06	FAIL	FAIL	true	C03 fixes axis-specific periods; asymmetric values make a swap discriminable structurally.
attack	A07	FAIL	Unknown	false	C05 requires an internal landmark; the current color-only body has none and width/height alone cannot promote or reject viewport mapping.
attack	A08	FAIL	Unknown	false	C05 makes viewport placement Unknown without a representable internal landmark; current TilingBody::Color cannot provide one.
attack	A09	FAIL	Unknown	false	C06 explicitly makes self phase Unknown for a uniform color with no phase landmark.
attack	A10	FAIL	CONTRACT-GAP	false	C07 requires parent identity/geometry to reach the observable pipeline; the frozen constructor L0 says parent has the same consumer as self.
attack	A11	FAIL	CONTRACT-GAP	false	The paired distinction cannot be witnessed because parent anchoring is absent from the pipeline; C06/C07 do not allow a boolean URL check.
attack	A12	FAIL	FAIL	true	C08 rejects replacement of non-unit alpha by opaque RGB when alpha is recoverable.
attack	A13	FAIL	FAIL	true	C08/C11 require body alpha exactly once; double application violates the compositing obligation.
attack	A14	FAIL	FAIL	true	C09/C01 require the fill role itself to resolve to the pattern and keep stroke as control/absent.
attack	A15	FAIL	CONTRACT-GAP	false	C10 mandates CONTRACT-GAP when the public pipeline cannot transport tiling as stroke; the current fixture fails in the crystalline constructor expression.
attack	A16	FAIL	Unknown	false	C11 requires a phase landmark to count transform application; uniform color provides none.
attack	A17	FAIL	Unknown	false	C11 classifies transform/phase as Unknown without a landmark; the current body cannot reveal an extra default phase shift or rotation.
attack	A18	FAIL	FAIL	true	C19/C01 reject an unannotated solid reduction of an otherwise eligible color tiling.
attack	A19	Unknown	Unknown	true	C19 reserves Unknown for the role-specific fallback annotation and never promotes it.
attack	A20	Unknown	Unknown	true	C20 reserves Unknown for opaque construction/parser results missing recoverable information.
attack	A21	CONTRACT-GAP	CONTRACT-GAP	true	C12/C20 forbid inventing intrinsic geometry for auto-sized flat color.
attack	A22	FAIL	FAIL	true	C03/C12/C20 disallow a positive equivalence claim for non-positive or non-finite explicit size.
attack	A23	CONTRACT-GAP	CONTRACT-GAP	true	C13/C19/C20 preserve the image scope-out and reject black/color surrogate promotion.
attack	A24	CONTRACT-GAP	CONTRACT-GAP	true	C14/C19/C20 preserve the rejected gradient boundary and forbid first-stop promotion.
attack	A25	CONTRACT-GAP	CONTRACT-GAP	true	C15/C20 forbid representing arbitrary content through an existing body slot.
attack	A26	CONTRACT-GAP	CONTRACT-GAP	true	C16/C20 forbid smuggling absent nonzero offset/angle through other fields.
attack	A27	FAIL	Unknown	false	C17 says repetition count is Unknown for uniform body without an edge landmark; no representable landmark exists in the current public color body.
attack	A28	Unknown	Unknown	true	C18 makes mechanics-only evidence Unknown.
metric	mutation_score	1.0 required	0.6071428571 (17/28 correct classifications)	false	Eleven attacks have an expected verdict that contradicts the frozen contract's own conditional Unknown/CONTRACT-GAP policy or, for A02, its proved-bad-graph FAIL rule.
oracle	O01	PASS	Unknown	false	Both binaries failed before SVG: vanilla expected content but found color; crystalline rejected rect stroke:none. No paint-server observation exists.
oracle	O02	PASS	Unknown	false	Both binaries failed before SVG for the same fixture-shape reasons; alpha was not observed.
oracle	O03	PASS	Unknown	false	Both binaries failed before SVG; no pattern pitch or axis observation exists.
oracle	O04	CONTRACT-GAP	CONTRACT-GAP	true	Vanilla rejects color as tiling content; crystalline cannot form 4pt + tiling as stroke. The public crystalline pipeline does not transport this role.
oracle	O05	Unknown	Unknown	true	Uniform color supplies no phase landmark; both concrete binaries also fail before rendering.
oracle	O06	CONTRACT-GAP	CONTRACT-GAP	true	Parent geometry is absent from the current consumer and both concrete binaries fail before rendering.
oracle	O07	CONTRACT-GAP	CONTRACT-GAP	true	Flat color has no intrinsic geometry; both binaries reject before an SVG observation.
oracle	O08	CONTRACT-GAP	CONTRACT-GAP	true	The intentionally absent image bytes prevent construction and the frozen L0 scopes out the real image consumer.
oracle	O09	CONTRACT-GAP	CONTRACT-GAP	true	Vanilla rejects gradient where content is required; crystalline explicitly rejects gradient by ADR-0054.
oracle	O10	CONTRACT-GAP	CONTRACT-GAP	true	Vanilla accepts arbitrary content and emitted SVG; crystalline rejects the body as non-representable. This is the declared model boundary, not equivalence.
oracle	O11	CONTRACT-GAP	CONTRACT-GAP	true	Vanilla emitted SVG for offset/angle; crystalline rejected the arbitrary content/body before these absent fields could be represented.
oracle	O12	PASS	FAIL	false	O01-O03 never produced classifications backed by SVG observations, so repeated execution cannot turn them into PASS.
oracle	O13	PASS	FAIL	false	Reordering repeated the same failures, but semantic witness invariance cannot be established because O01-O03 are unmeasured.
