field	value
step	P1254
protocol	tekt-materializacao-segregada/full/preseal-revalidated
sealed_at	2026-08-28T12:36:12-03:00
baseline_head	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
working_tree	uncommitted; git diff HEAD --stat: 65 files, 3164 insertions, 248 deletions
ratified_vanilla	a51e02804
manifest	00_nucleo/diagnosticos/p1254-tekt-manifesto.tsv
manifest_sha256	f35f6a96419e66ae974e55ef702c4dc8e9c4b612169dc61d57f8e5d62b51690a
owner_confirmation	00_nucleo/diagnosticos/p1245-owner-confirmation.tsv
owner_confirmation_sha256	c5f691490e4c5ab6c0300d8d381ce5dd69b9b85c21f2441883369623cc1217d5
entities_l0	00_nucleo/prompts/entities/tiling.md
entities_l0_sha256	cd982be9c5263f82bb50b701dd1f45eeae967a7641dc9577a6a478aeee69490f
stdlib_l0	00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md
stdlib_l0_sha256	4f82c81d7683993c45699b8f55c53ea9f694faf53d0a390c842e28d89ecabbc4
layout_l0	00_nucleo/prompts/compiler/layout/tiling.md
layout_l0_sha256	ef6797e5fe4d5dc9c1c7b1069067153c6813e8c22b60e803de5138f85af61cfd
contract	00_nucleo/diagnosticos/p1254-tiling-contract.tsv
contract_sha256	48f509b90518fb92ee1895706888b13d5a352f8ccd4344b94bd7a720ffc158d3
oracles	00_nucleo/diagnosticos/p1254-tiling-oracles.tsv
oracles_sha256	09a8902577fcb8c22061c619255c0c3c49436f2bfdb039062774d15bc03db45c
attacks	00_nucleo/diagnosticos/p1254-tiling-attacks.tsv
attacks_sha256	5f500124e4cf0f8bf999ec755e8f95ef0e793077b805eef3353885a8809b36ce
contract_coverage	PASS; C01-C15 present exactly once and O01-O15 collectively cover C01-C15
positive_gate	PASS; positive fixtures declare Preserved with discriminating witnesses
negative_gate	PASS; A01-A18 are valid semantic-negative mutations and each is rejected as Violated with a contract-specific refutation
opaque_gate	PASS; O09 stroke and O11 PDF/HTML are exact scoped Unknown; O12 is deliberate fallback Unknown; Unknown never becomes Preserved by default
determinism_gate	PASS-CONTRACT; O14 specifies two direct and two reverse executions with canonical tuple equality
valid_mutations	18
rejected_valid_mutations	18
mutation_score	1.0
unknown_policy	Unknown succeeds only for deliberate opacity or an exact scoped target/role gap and is excluded from the mutation numerator
sealed_inputs	manifest; owner confirmation; three current L0 owners; contract C01-C15; oracles O01-O15; attacks A01-A18
invalidation	any byte change to a sealed input invalidates this preseal and restarts verification at the first affected phase
scope	tiling observable fragment only: construction, morphology, placement, fill/stroke separation, targets, diagnostics, and ownership; no general equivalence claim
isolation_attestation	verifier authority segregated by instruction and hashes; filesystem capability isolation, inherited-context isolation, and independent authorship of the upstream suites are NOT ATTESTED
implementation_gate	OPEN only for the exact sealed hashes above; final executable gates remain independently adjudicated
verdict	PRESEALED_REVALIDATED; MUTATION_SCORE_1.0_WITH_RECORDED_ATTESTATION_LIMITATIONS
