id	mutation	expected	result
A01	invent rectangle geometry from declared size without proving body bbox	Violated	survived-candidate-probe
A02	omit alpha or infer opacity from serialized color	Violated	survived-candidate-probe
A03	claim spacing parity from width plus spacing arithmetic alone	Violated	survived-candidate-probe
A04	map relative enum directly to patternUnits without vanilla bbox witness	Violated	survived-candidate-probe
A05	declare transform parity while implicit offset angle and reference transforms are unmeasured	Violated	survived-candidate-probe
A06	reduce fill and stroke role coverage to a single boolean or use site	Violated	survived-candidate-probe
A07	use one generic fallback for image gradient content and missing geometry	Violated	survived-candidate-probe
A08	accept constructor equivalence from successful compilation or one private observation	Violated	survived-candidate-probe
A09	promote arbitrary content angle or offset despite absent public fields	Violated	rejected-by-contract-as-CONTRACT-GAP
SUMMARY	preseal mutations	1/9 rejected	mutation_score=0.1111111111; seal-blocked
