record_type	key	value	sha256	detail
metadata-read-before-runner	M001	rg --files ... | rg P1268/ADR path discovery [filenames only]		metadata only; no unlisted file content opened
metadata-read-before-runner	M002	wc -l [authorized frozen inputs/template/source] [line-count metadata]		metadata only; no unlisted file content opened
metadata-read-before-runner	M003	git rev-parse HEAD && git diff HEAD --stat && git status --short [repository metadata only]		metadata only; no unlisted file content opened
action-before-runner	A001	mkdir -p /tmp/p1268/oracle_v3		write/action record; not a content read
action-before-runner	A002	apply_patch Add File /tmp/p1268/oracle_v3/runner.py from sha256:522611321055458b5a0be3fc4462f0fd1dfa27bc3e8fe00decf77b5a4d423145 with V3-only mechanical substitutions		write/action record; not a content read
action-before-runner	A003	syntax/diff/output audit; mechanical receipt wording correction; clean regeneration of owned V3 outputs		write/action record; not a content read
runner-command	C0001	git rev-parse HEAD	3775c8b50c8bc276a1ab305e8899dbb82f7a00ea2ebda3d94fb105d9c086848f	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0002	git status --short	58b080964fc5eb142fcb1147a519a4b3e12170e9ca8cd937d565b115105158d5	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0003	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-linear-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S01-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0004	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear(red, rgb(46, 204, 64), space: color.oklab, angle: 0deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	68c4669dd44730d4bd15ac3b367c7ff90499886c15c3a3e21022157e679d3749	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0005	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear(red, rgb(46, 204, 64), space: color.oklab, angle: 0deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	3e50b4cdb0bdfbc94d82b9bf4675a8c82985d69181146742f092e02972c076fc	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0006	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S01-linear-oklab.png /tmp/p1268/oracle_v3/masks/S01-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0007	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-radial-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S01-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0008	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial(red, rgb(46, 204, 64), space: color.oklab, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	f1698ac883d34567e73b26cb68c458bdcb94594fec5fbd8ceaf965f887038f7d	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0009	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial(red, rgb(46, 204, 64), space: color.oklab, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	3e50b4cdb0bdfbc94d82b9bf4675a8c82985d69181146742f092e02972c076fc	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0010	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S01-radial-oklab.png /tmp/p1268/oracle_v3/masks/S01-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0011	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-linear-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S01-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0012	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear(red, rgb(46, 204, 64), space: color.linear-rgb, angle: 0deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	654a1f6b681c869cae209f34695759fb8047761357a858554662722fa94e2b32	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0013	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear(red, rgb(46, 204, 64), space: color.linear-rgb, angle: 0deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	806eed0ed49c6584160655c31f11362068d99e3a4bf949deb8ce2f95eb46d676	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0014	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S01-linear-linear-rgb.png /tmp/p1268/oracle_v3/masks/S01-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0015	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S01-radial-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S01-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0016	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial(red, rgb(46, 204, 64), space: color.linear-rgb, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	90b562f72065c0ee4ddcaedab92812ffca3f1fa0dce46c92cf4957accc839ab7	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
