field	value
protocol	Tekt materializacao segregada; protocolo completo; adversary-only authorship
role	ADVERSARY; creates negative mutations and explicit opaque cases; does not implement, verify, judge, select, seal, or promote
executor	/root/p1268_adversary
environment	shared workspace /repos/Antigravity/typst-crystalline plus writable /tmp; no dedicated filesystem sandbox or worktree isolation
attestation	executed without filesystem-isolation attestation
context_inherited	none
started_at	2026-08-28T22:34:36-03:00
repository_head_observed	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5
python_runtime	Python 3.12.3 standard library only
read_allowlist	/home/dikluwe/.codex/skills/tekt-materializacao-segregada/SKILL.md; its references/papeis-e-capacidades.md and artefatos-e-gates.md; typst-passo-1268.md; 00_nucleo/diagnosticos/p1268-preoracle-manifest.tsv; 00_nucleo/diagnosticos/p1268-contract-freeze.tsv; /tmp/p1268/refiner/contract-v3.tsv; /tmp/p1268/refiner/unknown-v3.tsv; /tmp/p1268/refiner/observables-v3.tsv; 00_nucleo/diagnosticos/p1266-generalization-matrix.tsv; lab/typst-original/crates/typst-library/src/visualize/gradient.rs relevant ratified sections; 00_nucleo/prompts/infra/export/svg.md; 00_nucleo/prompts/infra/export/gradients/adaptive.md
write_allowlist	/tmp/p1268/adversary/attacks.tsv;/tmp/p1268/adversary/opaque-cases.tsv;/tmp/p1268/adversary/mutation-schema.tsv;/tmp/p1268/adversary/attack_runner.py;/tmp/p1268/adversary/receipt.tsv
filesystem_isolation	absent; path permissions are shared and therefore hashes identify inputs but do not prove capability isolation
prohibited_reads	not read: oracle outputs; target/debug/typst; current candidate; verifier outputs; P1267-R1; future product patch
prohibited_actions	not performed: candidate execution; oracle execution; candidate comparison; mutation adjudication; mutant selection; score calculation; seal; repository modification
manifest	00_nucleo/diagnosticos/p1268-preoracle-manifest.tsv sha256:03b51d988d9a6395a395b5e938f85b6bc53090049649dc0bd9fb299b24fd199e
contract_freeze	00_nucleo/diagnosticos/p1268-contract-freeze.tsv sha256:7d8064a939e653961a084088e40353342de401908e7a8dcd0ba229e07489579d
contract	/tmp/p1268/refiner/contract-v3.tsv sha256:cb2aabaf36703bef3ef869f9a150ca8f38f5e596f1a8523c19016a283b024399
unknown_policy	/tmp/p1268/refiner/unknown-v3.tsv sha256:2ab6446d8b50c803240f19bde92ff55e121bc0f4a9793f8faeaecd80979b5530
observables	/tmp/p1268/refiner/observables-v3.tsv sha256:e32a8b201a6625156e0416303892c23ce441957e09ecbde0bb3f459d966e969c
population_matrix	00_nucleo/diagnosticos/p1266-generalization-matrix.tsv sha256:091d50354eb2b206d595c88a96b76eb8b9d8e8a881b2f0d3f5901edf9cce5406
vanilla_source	lab/typst-original/crates/typst-library/src/visualize/gradient.rs sha256:ed7a1be4e398fa47dff9ede8aa31c939514e341f9e47ac5099787d422f67967c
svg_l0	00_nucleo/prompts/infra/export/svg.md sha256:41c5d785d9e4ecdb184fd5e6344dd7422d874e826e3bdeac2ddb2d6617530d29
adaptive_l0	00_nucleo/prompts/infra/export/gradients/adaptive.md sha256:4e2e19b5af1aab3c33596166fbcef647df1aceed1739bab395d432126f46d737
attacks	/tmp/p1268/adversary/attacks.tsv sha256:86393124a5209ab8376224a1a84a22d3275220a0869c4ce8bab530df35e3af8b
opaque_cases	/tmp/p1268/adversary/opaque-cases.tsv sha256:f7e48b49ec4c4ec930fe497389118e826d7f03af676816170ab4c9cfd83b0bc5
mutation_schema	/tmp/p1268/adversary/mutation-schema.tsv sha256:82f3a77f8a720fa2d29ef37a0062ec8459606a568cc590aba69e52ac6f092109
attack_runner	/tmp/p1268/adversary/attack_runner.py sha256:f290e57f38db6604087225e0d4038a29a6f43dfafbd86c877d6409115dcd62a9
verification	25 attack rows and 10 explicit opaque rows parsed; all JSON decoded; all 25 before->operation->after transitions reproduced; Python syntax parsed; replace/remove/add operation paths checked in memory; required attack-id coverage checked; candidate and oracle not executed
completed_at	2026-08-28T22:40:02-03:00
status	AUTHORED-NOT-JUDGED-NOT-SELECTED
