gate	status	evidence
P1240 predecessor	PASS_AUXILIARY	auxiliary rectangular raster harness; not a Tekt seal and no Conic path coverage
P1241 consolidator	PASS	normal and reverse traversal produced byte-identical results, inputs and summary
P1240 Python tests	PASS	7 tests
typst-infra svg	PASS	cargo test command exit 0
typst-core P1239	PASS	2 tests
cargo fmt --all -- --check	PASS	exit 0
crystalline-lint V15/V26	PASS	zero violations
crystalline-lint V5	EXTERNAL_DRIFT	visualize.rs and tiling.rs; outside P1241 scope
git diff --check	PASS	exit 0
mutation score	NOT_MEASURED	P1241 has no executable mutation campaign
certificate	ACCEPTED_WITH_EXTERNAL_V5	conservative consolidation accepted; no global Tekt seal
