record	id	status	evidence
meta	verdict	PASS	P1247_FINAL_CERTIFIED for the frozen observable fragment only
meta	verified_at	INFO	2026-08-28T12:08:52-03:00
meta	head	INFO	697eaf31e8ce6aaa4eef7d61d7808e377005c3c5; working tree uncommitted; 62 tracked files changed, 2886 insertions, 203 deletions
seal	manifest	PASS	sha256:b841b692120463e93fe174e7ffb195fd67a3bcab7442277a1d17e2b529f20cd3 unchanged
seal	preseal	PASS	sha256:09daeebebe7b810fbb2d4e34c90ac9039eeee62c3391d7b63a47d90faeec4352 unchanged
seal	protected-inputs	PASS	step, owner decision, boundaries, options, two L0s, nucleus, contract, oracles, attacks and registered baseline all match presealed hashes
implementation	export-svg	PASS	03_infra/src/export/svg.rs sha256:b345ac0bcd0dc62200ebda387c5f11ef145c39ba8ea05c3d3652a7cfcf6a7f6e
implementation	export-mod	PASS	03_infra/src/export/mod.rs sha256:08bb8359d1a2c16a6cf723c625dad6fe5321121c8a14e3a64cf8349643f1ad83
implementation	pipeline	PASS	03_infra/src/pipeline.rs sha256:602b4892bd1e023f7f53ca85ed2a0f356128b16fca4acce66015b0982f9bafc7
gate	p1247-tests	PASS	cargo test -p typst-infra p1247: 4 passed, 0 failed, exit 0
gate	svg-suite	PASS	cargo test -p typst-infra export::svg::tests: 26 passed, 0 failed, exit 0
gate	workspace-build	PASS	cargo build --workspace: exit 0; warnings pre-existing/external to P1247 do not change verdict
gate	v15-v26	PASS	crystalline-lint --checks v15,v26 .: zero violations, exit 0
gate	v5	PASS_WITH_EXTERNAL_WARNINGS	crystalline-lint --checks v5 .: exit 0; only 2 warnings, at 01_core/src/compiler/stdlib/visualize.rs and 01_core/src/entities/tiling.rs; none in candidate files
gate	diff-check	PASS	git diff --check: exit 0
attack	A01	REJECTED	pipeline filter requires recorded page equal selected page
attack	A02	REJECTED	filter_map includes every same-page label having its homologous position
attack	A03	REJECTED	position lookup is keyed by the same Label; no zip or positional pairing
attack	A04	REJECTED	missing/nonfinite positions are excluded; no origin or link-position fallback exists
attack	A05	REJECTED	present destination id_for result writes href to an id emitted by write_nodes
attack	A06	REJECTED	one SvgDestination entry emits one node; duplicate equal labels are collapsed
attack	A07	REJECTED	distinct sorted labels receive distinct destination IDs; renderer-owned p/g/c namespaces do not alias crystalline-destination IDs
attack	A08	REJECTED	IDs follow semantic Label sort, independent of map, address, position and traversal order
attack	A09	REJECTED	absent destination writes destination-unknown only, no href; hit rectangle and visual children remain
attack	A10	REJECTED	cross-page labels are absent from page-local context and no filename, URI or route synthesis exists
attack	A11	REJECTED	external URL bypasses destination context and XmlWriter performs attribute escaping
attack	A12	REJECTED	label text is diagnostic XML data only; fragment identity uses generated safe ID shared by edge and node
attack	A13	REJECTED	render_link emits the original transparent hit rectangle then recursively renders every child once
attack	A14	REJECTED	group transform encloses link hit area and children once; destination node uses independent measured page-local position
attack	A15	REJECTED	pipeline passes the same derived context to explicit fontless and with-fonts exporter branches
attack	A16	REJECTED	current first-page path calls svg_destination_context_for_page(doc, 1) and filters exact page membership
attack	A17	REJECTED	both legacy wrappers delegate to their explicit variants with SvgDestinationContext::empty()
policy	unknown	PASS	missing, cross-page, nonfinite or otherwise absent facts never emit internal href or synthetic node/position/route; Unknown is not promoted to Preserved
policy	mutation-score	PASS	17/17 valid semantic attacks rejected; final logical score 1.0, corroborated by focused tests and static witnesses
scope	isolation	LIMITED	shared mutable workspace and inherited context prevent full isolation attestation; verifier read only the three authorized candidate files and did not edit code, L0, preseal, contract, oracles or attacks
scope	claim	INFO	certificate covers only immutable page-local SVG destination context and the frozen P1247 observable fragment; it does not certify public link expansion or cross-page routing
