phase	command_or_basis	population	result	artifact
preseal	sha256 plus git HEAD/status/diff and protected inputs	one execution state	9d7e791769d303c364a5474e71eb24b09b38b7e279c854551b9d88ac8595f96a unchanged	/tmp/p1275-cert.74JOb3/p1275-preseal.txt
discarded-run	first P1266 chain	96 fixtures	DISCARDED;runner overwrote file misclassified as preseal	p1275-discarded-run.tsv
productive-envelope	python3 lab/parity/matrix/p1266_generalize.py with frozen inputs;candidate target/debug/typst	96 fixtures	raw outputs complete;expected historical fallback-boundary exception	/tmp/p1275-cert.74JOb3/run2/raw
adjudication	python3 /tmp/p1275-cert.74JOb3/run2/p1275-adjudicator.py --controls-status Preserved	G01-G13 x 96	4 pairs 24/24;route P1275	p1275-fixture-gates.tsv
productive-boundary	product SVGs emitted by target/debug/typst	96 fixtures	96/96 PROMOTED-PRESERVED;zero fallback	p1275-product-boundary.tsv
negative-boundary	target/debug/typst compile for Linear/Radial x Hsv/Oklch/Hsl/Luma/CMYK	10 pairs	10/10 FALLBACK-PRESERVED;zero native servers	p1275-negative-pairs.tsv
numeric	P1268 frozen budgets	384 metrics	384/384	p1275-numeric.tsv
graph-and-raster	fresh P1266 raw plus G06/G07A/G07B adjudication	96 graph;96 raster	96/96;96/96	p1275-graph.tsv;p1275-raster.tsv
interval-cost	P1268 frozen formula	1224 intervals	1224/1224	p1275-interval-cost.tsv
domain-and-determinism	fresh P1266 chain	28 invalid;192 repeat/inverse	28/28;192/192	p1275-invalid-domain.tsv;p1275-determinism.tsv
attacks-and-opacity	fresh adjudication	24 valid negatives;10 opaque	24/24 killed;10/10 excluded	p1275-mutants.tsv;p1275-opaque.tsv
focused-controls	p1227_;p1271_;p1262_p1237_full_dump;p1274_	4;4;1;5 tests	14/14 PASS	p1275-controls.tsv
workspace-tests	cargo test --workspace --offline	workspace	PASS;zero failed;3 doc tests ignored	/tmp/p1275-cert.74JOb3/run2/workspace-tests.log
workspace-build	cargo build --workspace --offline	workspace	PASS	/tmp/p1275-cert.74JOb3/run2/workspace-build.log
format-and-syntax	cargo fmt --all -- --check;python3 -m py_compile	workspace and runners	PASS	repository
diff-and-tekt	git diff --check;crystalline-lint --checks v1,v5,v15,v26 .;crystalline-lint .	repository	PASS;zero blocking violations;preexisting advisory findings retained	repository
postseal	sha256 of preseal and protected inputs	7 protected inputs	7/7 UNCHANGED	p1275-preseal-receipt.tsv
